Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.418067,4.464088,4.372046,4.372046,1.487141,83400
1985-01-29,4.372046,4.418067,4.372046,4.372046,1.487141,54800
1985-01-30,4.372046,4.510110,4.326024,4.418067,1.502795,43900
1985-01-31,4.418067,4.418067,4.326024,4.372046,1.487141,17700
1985-02-01,4.372046,4.418067,4.326024,4.418067,1.502795,14500
1985-02-04,4.418067,4.418067,4.326024,4.395056,1.494968,29100
1985-02-05,4.395056,4.464088,4.372046,4.418067,1.502795,275300
1985-02-06,4.441078,4.510110,4.441078,4.487099,1.526276,235000
1985-02-07,4.487099,4.510110,4.418067,4.510110,1.534104,12800
1985-02-08,4.510110,4.510110,4.464088,4.510110,1.534104,136200
1985-02-11,4.510110,4.510110,4.464088,4.510110,1.534104,40000
1985-02-12,4.510110,4.510110,4.464088,4.464088,1.518449,79200
1985-02-13,4.464088,4.510110,4.464088,4.510110,1.534104,9100
1985-02-14,4.510110,4.533121,4.464088,4.487099,1.526276,211800
1985-02-15,4.487099,4.556131,4.464088,4.556131,1.549757,58000
1985-02-19,4.556131,4.602153,4.510110,4.556131,1.549757,169800
1985-02-20,4.556131,4.602153,4.556131,4.602153,1.565411,15500
1985-02-21,4.602153,4.648175,4.556131,4.602153,1.565411,81400
1985-02-22,4.602153,4.625164,4.602153,4.602153,1.565411,14500
1985-02-25,4.602153,4.648175,4.556131,4.602153,1.565411,129600
1985-02-26,4.602153,4.648175,4.556131,4.602153,1.565411,712100
1985-02-27,4.602153,4.648175,4.602153,4.602153,1.565411,6400
1985-02-28,4.602153,4.602153,4.556131,4.556131,1.549757,181200
1985-03-01,4.556131,4.648175,4.556131,4.602153,1.565411,98700
1985-03-04,4.602153,4.648175,4.602153,4.625164,1.573239,301900
1985-03-05,4.625164,4.648175,4.602153,4.648175,1.581065,341400
1985-03-06,4.648175,4.648175,4.602153,4.625164,1.573239,192800
1985-03-07,4.625164,4.648175,4.602153,4.602153,1.565411,48800
1985-03-08,4.602153,4.648175,4.602153,4.602153,1.565411,18200
1985-03-11,4.602153,4.648175,4.602153,4.625164,1.573239,40700
1985-03-12,4.602153,4.602153,4.510110,4.556131,1.549757,811300
1985-03-13,4.556131,4.602153,4.556131,4.556131,1.549757,69300
1985-03-14,4.556131,4.602153,4.556131,4.602153,1.565411,125900
1985-03-15,4.602153,4.602153,4.556131,4.602153,1.565411,16200
1985-03-18,4.602153,4.602153,4.602153,4.602153,1.565411,27600
1985-03-19,4.602153,4.648175,4.602153,4.625164,1.573239,60200
1985-03-20,4.625164,4.648175,4.602153,4.602153,1.565411,5900
1985-03-21,4.602153,4.648175,4.556131,4.602153,1.565411,136200
1985-03-22,4.602153,4.648175,4.602153,4.625164,1.573239,297000
1985-03-25,4.625164,4.648175,4.602153,4.602153,1.565411,10100
1985-03-26,4.602153,4.648175,4.602153,4.648175,1.581065,14500
1985-03-27,4.602153,4.602153,4.602153,4.602153,1.565411,3200
1985-03-28,4.602153,4.694196,4.602153,4.694196,1.596720,47600
1985-03-29,4.694196,4.740218,4.602153,4.740218,1.612374,39500
1985-04-01,4.740218,4.740218,4.694196,4.694196,1.596720,291100
1985-04-02,4.694196,4.740218,4.694196,4.694196,1.596720,23200
1985-04-03,4.694196,4.740218,4.694196,4.694196,1.596720,77000
1985-04-04,4.694196,4.740218,4.694196,4.740218,1.612374,271600
1985-04-08,4.740218,4.740218,4.694196,4.694196,1.596720,120900
1985-04-09,4.694196,4.740218,4.694196,4.740218,1.612374,10800
1985-04-10,4.740218,4.740218,4.694196,4.740218,1.612374,110100
1985-04-11,4.740218,4.809250,4.740218,4.786239,1.628027,52100
1985-04-12,4.740218,4.740218,4.740218,4.740218,1.612374,1900
1985-04-15,4.740218,4.786239,4.740218,4.740218,1.612374,67100
1985-04-16,4.740218,4.786239,4.740218,4.763228,1.620201,115000
1985-04-17,4.763228,4.786239,4.740218,4.786239,1.628027,39500
1985-04-18,4.786239,4.786239,4.740218,4.740218,1.612374,48800
1985-04-19,4.740218,4.786239,4.740218,4.740218,1.612374,19000
1985-04-22,4.740218,4.786239,4.740218,4.786239,1.628027,23700
1985-04-23,4.786239,4.786239,4.740218,4.786239,1.628027,124900
1985-04-24,4.786239,4.786239,4.740218,4.786239,1.628027,31300
1985-04-25,4.786239,4.832261,4.740218,4.832261,1.643682,20400
1985-04-26,4.832261,4.832261,4.740218,4.786239,1.628027,232300
1985-04-29,4.786239,4.832261,4.786239,4.832261,1.643682,90600
1985-04-30,4.832261,4.832261,4.786239,4.832261,1.643682,94300
1985-05-01,4.832261,4.832261,4.786239,4.786239,1.628027,17200
1985-05-02,4.786239,4.832261,4.786239,4.832261,1.643682,116700
1985-05-03,4.786239,4.786239,4.786239,4.786239,1.628027,2700
1985-05-06,4.786239,4.832261,4.786239,4.809250,1.635856,215000
1985-05-07,4.786239,4.786239,4.786239,4.786239,1.628027,20900
1985-05-08,4.786239,4.832261,4.786239,4.786239,1.628027,41200
1985-05-09,4.809250,4.924304,4.809250,4.924304,1.674991,31300
1985-05-10,4.924304,4.924304,4.832261,4.924304,1.674991,6400
1985-05-13,4.924304,4.924304,4.832261,4.832261,1.643682,8600
