Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,4.109375,4.140625,4.031250,4.093750,1.429347,458400
1985-01-29,4.093750,4.125000,4.046875,4.125000,1.440258,293600
1985-01-30,4.140625,4.281250,4.140625,4.187500,1.462080,838400
1985-01-31,4.187500,4.234375,4.140625,4.218750,1.472991,234400
1985-02-01,4.218750,4.296875,4.203125,4.296875,1.500269,443200
1985-02-04,4.296875,4.359375,4.281250,4.343750,1.516635,394400
1985-02-05,4.343750,4.359375,4.203125,4.250000,1.483901,271200
1985-02-06,4.250000,4.312500,4.250000,4.265625,1.489357,600000
1985-02-07,4.281250,4.343750,4.281250,4.312500,1.505724,816800
1985-02-08,4.312500,4.375000,4.312500,4.375000,1.527546,656800
1985-02-11,4.375000,4.406250,4.328125,4.343750,1.516635,174400
1985-02-12,4.343750,4.375000,4.062500,4.062500,1.418436,2118400
1985-02-13,4.046875,4.046875,4.000000,4.031250,1.407525,1192000
1985-02-14,4.031250,4.078125,4.000000,4.046875,1.412980,729600
1985-02-15,4.046875,4.078125,3.937500,4.015625,1.402069,952800
1985-02-19,4.015625,4.031250,3.968750,4.015625,1.402069,289600
1985-02-20,4.015625,4.015625,3.968750,3.968750,1.385702,354400
1985-02-21,3.968750,3.984375,3.937500,3.937500,1.374792,163200
1985-02-22,3.937500,3.968750,3.859375,3.875000,1.352970,238400
1985-02-25,3.875000,3.890625,3.828125,3.843750,1.342058,448000
1985-02-26,3.843750,3.968750,3.843750,3.968750,1.385702,488800
1985-02-27,3.968750,4.000000,3.937500,3.968750,1.385702,445600
1985-02-28,3.968750,4.000000,3.937500,4.000000,1.396614,260000
1985-03-01,4.000000,4.062500,3.984375,4.031250,1.407525,279200
1985-03-04,4.031250,4.031250,3.953125,4.000000,1.396614,264000
1985-03-05,4.000000,4.031250,3.953125,4.031250,1.407525,280000
1985-03-06,4.031250,4.062500,3.937500,3.937500,1.374792,167200
1985-03-07,3.937500,3.953125,3.921875,3.937500,1.374792,172000
1985-03-08,3.937500,4.000000,3.921875,3.984375,1.391158,532000
1985-03-11,3.984375,4.000000,3.953125,3.968750,1.385702,125600
1985-03-12,3.984375,4.031250,3.984375,4.015625,1.402069,113600
1985-03-13,4.015625,4.031250,3.937500,3.968750,1.385702,221600
1985-03-14,3.984375,4.046875,3.984375,3.984375,1.391158,152000
1985-03-15,3.984375,4.015625,3.921875,3.937500,1.374792,299200
1985-03-18,3.937500,3.968750,3.906250,3.921875,1.369336,752800
1985-03-19,3.953125,4.031250,3.953125,4.015625,1.402069,88000
1985-03-20,4.015625,4.031250,3.968750,4.000000,1.396614,227200
1985-03-21,4.000000,4.062500,3.953125,4.062500,1.418436,362400
1985-03-22,4.062500,4.093750,4.015625,4.031250,1.407525,340000
1985-03-25,4.031250,4.031250,3.984375,3.984375,1.391158,128000
1985-03-26,3.984375,4.000000,3.984375,3.984375,1.391158,206400
1985-03-27,4.000000,4.093750,4.000000,4.046875,1.412980,256000
1985-03-28,4.062500,4.125000,4.062500,4.109375,1.434802,316000
1985-03-29,4.109375,4.125000,4.078125,4.125000,1.440258,91200
1985-04-01,4.125000,4.187500,4.093750,4.125000,1.440258,313600
1985-04-02,4.125000,4.171875,4.125000,4.156250,1.451169,348800
1985-04-03,4.156250,4.187500,4.062500,4.062500,1.418436,464800
1985-04-04,4.062500,4.078125,4.015625,4.062500,1.418436,96800
1985-04-08,4.046875,4.046875,3.968750,4.000000,1.396614,185600
1985-04-09,4.000000,4.000000,3.937500,3.968750,1.385702,188000
1985-04-10,3.968750,4.046875,3.968750,4.000000,1.396614,154400
1985-04-11,4.015625,4.156250,4.015625,4.156250,1.451169,308000
1985-04-12,4.156250,4.234375,4.156250,4.187500,1.462080,326400
1985-04-15,4.187500,4.218750,4.093750,4.125000,1.440258,305600
1985-04-16,4.125000,4.156250,4.093750,4.156250,1.451169,457600
1985-04-17,4.156250,4.187500,4.156250,4.187500,1.462080,232000
1985-04-18,4.218750,4.281250,4.218750,4.234375,1.478447,644800
1985-04-19,4.234375,4.250000,4.203125,4.250000,1.483901,335200
1985-04-22,4.250000,4.250000,4.218750,4.250000,1.483901,224800
1985-04-23,4.250000,4.296875,4.203125,4.265625,1.489357,305600
1985-04-24,4.265625,4.312500,4.265625,4.281250,1.494813,368000
1985-04-25,4.281250,4.296875,4.265625,4.296875,1.500269,72000
1985-04-26,4.296875,4.296875,4.218750,4.250000,1.483901,102400
1985-04-29,4.250000,4.312500,4.218750,4.312500,1.505724,208000
1985-04-30,4.312500,4.328125,4.281250,4.296875,1.500269,486400
1985-05-01,4.296875,4.312500,4.265625,4.281250,1.494813,306400
1985-05-02,4.281250,4.437500,4.250000,4.437500,1.549368,318400
1985-05-03,4.421875,4.421875,4.359375,4.406250,1.538457,298400
1985-05-06,4.406250,4.468750,4.390625,4.468750,1.560280,136800
1985-05-07,4.500000,4.625000,4.500000,4.515625,1.576646,254400
1985-05-08,4.515625,4.578125,4.515625,4.546875,1.587557,197600
1985-05-09,4.546875,4.609375,4.531250,4.578125,1.598468,229600
1985-05-10,4.609375,4.750000,4.609375,4.703125,1.642112,464800
1985-05-13,4.687500,4.687500,4.640625,4.671875,1.631201,236800
1985-05-14,4.671875,4.734375,4.671875,4.687500,1.636656,448800
1985-05-15,4.687500,4.734375,4.625000,4.718750,1.647568,266400
1985-05-16,4.718750,4.750000,4.687500,4.750000,1.658478,300000
1985-05-17,4.781250,4.859375,4.781250,4.828125,1.685755,359200
1985-05-20,4.843750,4.937500,4.843750,4.875000,1.702124,866400
1985-05-21,4.875000,4.906250,4.734375,4.796875,1.674845,574400
1985-05-22,4.796875,4.796875,4.718750,4.781250,1.669390,294400
1985-05-23,4.781250,4.828125,4.781250,4.796875,1.674845,524800
1985-05-24,4.796875,4.828125,4.781250,4.812500,1.680301,146400
1985-05-28,4.828125,4.921875,4.828125,4.921875,1.718489,303200
1985-05-29,4.937500,4.984375,4.937500,4.953125,1.729401,1065600
1985-05-30,4.953125,4.968750,4.921875,4.937500,1.723944,112000
1985-05-31,4.937500,4.968750,4.921875,4.937500,1.723944,380000
1985-06-03,4.937500,4.968750,4.812500,4.843750,1.691212,207200
1985-06-04,4.843750,4.890625,4.812500,4.843750,1.691212,133600
1985-06-05,4.843750,4.906250,4.781250,4.781250,1.669390,187200
1985-06-06,4.781250,4.859375,4.781250,4.828125,1.685755,200000
1985-06-07,4.828125,4.828125,4.781250,4.828125,1.685755,457600
1985-06-10,4.828125,4.828125,4.796875,4.812500,1.680301,141600
1985-06-11,4.812500,4.843750,4.781250,4.796875,1.674845,140000
1985-06-12,4.796875,4.812500,4.781250,4.781250,1.669390,152000
1985-06-13,4.781250,4.812500,4.781250,4.781250,1.669390,133600
1985-06-14,4.781250,4.812500,4.781250,4.796875,1.674845,399200
1985-06-17,4.796875,4.796875,4.781250,4.781250,1.669390,72000
1985-06-18,4.781250,4.812500,4.734375,4.781250,1.669390,353600
1985-06-19,4.781250,4.828125,4.781250,4.781250,1.669390,185600
1985-06-20,4.781250,4.812500,4.781250,4.796875,1.674845,203200
1985-06-21,4.812500,4.953125,4.812500,4.906250,1.713035,357600
1985-06-24,4.890625,4.890625,4.828125,4.828125,1.685755,178400
1985-06-25,4.859375,4.921875,4.859375,4.906250,1.713035,229600
1985-06-26,4.906250,4.968750,4.718750,4.718750,1.647568,612000
1985-06-27,4.750000,4.828125,4.750000,4.828125,1.685755,143200
1985-06-28,4.828125,4.859375,4.781250,4.812500,1.680301,556800
1985-07-01,4.765625,4.812500,4.765625,4.796875,1.674845,72800
1985-07-02,4.796875,4.796875,4.718750,4.718750,1.647568,253600
1985-07-03,4.718750,4.859375,4.562500,4.625000,1.614835,307200
1985-07-05,4.625000,4.625000,4.593750,4.625000,1.614835,567200
1985-07-08,4.625000,4.687500,4.609375,4.687500,1.636656,336000
1985-07-09,4.687500,4.703125,4.671875,4.703125,1.642112,250400
1985-07-10,4.703125,4.750000,4.671875,4.750000,1.658478,229600
1985-07-11,4.750000,4.875000,4.718750,4.843750,1.691212,200000
1985-07-12,4.843750,4.906250,4.843750,4.875000,1.702124,231200
1985-07-15,4.875000,4.890625,4.781250,4.796875,1.674845,108800
1985-07-16,4.796875,4.843750,4.765625,4.781250,1.669390,483200
1985-07-17,4.781250,4.843750,4.750000,4.843750,1.691212,385600
1985-07-18,4.843750,4.875000,4.812500,4.843750,1.691212,188800
1985-07-19,4.843750,4.921875,4.843750,4.875000,1.702124,189600
1985-07-22,4.890625,4.953125,4.890625,4.921875,1.718489,100800
1985-07-23,4.921875,4.937500,4.875000,4.875000,1.702124,92000
1985-07-24,4.875000,5.000000,4.843750,4.937500,1.723944,304000
1985-07-25,4.937500,4.984375,4.843750,4.875000,1.702124,479200
1985-07-26,4.875000,4.921875,4.875000,4.906250,1.713035,110400
1985-07-29,4.906250,4.937500,4.875000,4.937500,1.723944,260000
1985-07-30,4.937500,4.953125,4.890625,4.921875,1.718489,362400
1985-07-31,4.921875,4.953125,4.890625,4.890625,1.707579,90400
1985-08-01,4.890625,4.937500,4.890625,4.937500,1.723944,186400
1985-08-02,4.937500,4.937500,4.906250,4.906250,1.713035,81600
1985-08-05,4.906250,4.921875,4.828125,4.843750,1.691212,152800
1985-08-06,4.843750,4.890625,4.796875,4.828125,1.685755,295200
1985-08-07,4.812500,4.812500,4.734375,4.734375,1.653023,192000
1985-08-08,4.734375,4.828125,4.734375,4.828125,1.685755,104000
1985-08-09,4.828125,4.937500,4.812500,4.906250,1.713035,176000
1985-08-12,4.906250,4.921875,4.890625,4.906250,1.713035,28800
1985-08-13,4.906250,4.906250,4.875000,4.890625,1.707579,87200
1985-08-14,4.890625,4.906250,4.875000,4.906250,1.713035,149600
1985-08-15,4.906250,4.921875,4.875000,4.875000,1.702124,408800
1985-08-16,4.875000,4.906250,4.843750,4.843750,1.691212,59200
1985-08-19,4.828125,4.828125,4.656250,4.656250,1.625746,355200
1985-08-20,4.656250,4.781250,4.656250,4.750000,1.658478,834400
1985-08-21,4.750000,4.750000,4.718750,4.750000,1.658478,114400
1985-08-22,4.750000,4.812500,4.718750,4.765625,1.663935,251200
1985-08-23,4.734375,4.734375,4.703125,4.703125,1.642112,124800
1985-08-26,4.703125,4.734375,4.687500,4.687500,1.646722,124000
1985-08-27,4.687500,4.718750,4.687500,4.703125,1.652212,196000
1985-08-28,4.703125,4.718750,4.703125,4.718750,1.657701,292000
1985-08-29,4.703125,4.703125,4.687500,4.687500,1.646722,278400
1985-08-30,4.687500,4.703125,4.640625,4.656250,1.635745,145600
1985-09-03,4.656250,4.687500,4.609375,4.671875,1.641233,274400
1985-09-04,4.671875,4.687500,4.640625,4.671875,1.641233,88800
1985-09-05,4.671875,4.718750,4.640625,4.687500,1.646722,496000
1985-09-06,4.687500,4.687500,4.640625,4.656250,1.635745,124000
1985-09-09,4.656250,4.687500,4.640625,4.687500,1.646722,197600
1985-09-10,4.687500,4.687500,4.500000,4.531250,1.591832,96000
1985-09-11,4.531250,4.546875,4.375000,4.437500,1.558897,134400
1985-09-12,4.437500,4.468750,4.156250,4.187500,1.471072,256800
1985-09-13,4.187500,4.343750,4.187500,4.343750,1.525963,601600
1985-09-16,4.375000,4.484375,4.375000,4.453125,1.564387,946400
1985-09-17,4.453125,4.453125,4.406250,4.453125,1.564387,448000
1985-09-18,4.453125,4.468750,4.406250,4.453125,1.564387,305600
1985-09-19,4.453125,4.500000,4.437500,4.468750,1.569876,594400
1985-09-20,4.468750,4.515625,4.468750,4.484375,1.575364,188800
1985-09-23,4.484375,4.562500,4.484375,4.531250,1.591832,124800
1985-09-24,4.531250,4.578125,4.515625,4.515625,1.586344,328000
1985-09-25,4.515625,4.531250,4.421875,4.437500,1.558897,420000
1985-09-26,4.437500,4.437500,4.343750,4.421875,1.553408,270400
1985-09-30,4.437500,4.468750,4.437500,4.468750,1.569876,360800
1985-10-01,4.468750,4.484375,4.421875,4.453125,1.564387,133600
1985-10-02,4.453125,4.468750,4.390625,4.390625,1.542431,606400
1985-10-03,4.390625,4.421875,4.375000,4.406250,1.547919,67200
