Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,8.687500,8.687500,8.625000,8.687500,2.579520,42800
1985-01-29,8.687500,8.718750,8.687500,8.718750,2.588798,47200
1985-01-30,8.718750,8.812500,8.718750,8.781250,2.607356,40800
1985-01-31,8.781250,8.812500,8.750000,8.750000,2.598078,111600
1985-02-01,8.750000,8.812500,8.625000,8.718750,2.588798,116000
1985-02-04,8.718750,8.718750,8.625000,8.718750,2.588798,84800
1985-02-05,8.625000,8.625000,8.562500,8.625000,2.560962,45600
1985-02-06,8.625000,8.656250,8.593750,8.625000,2.560962,48400
1985-02-07,8.625000,8.687500,8.593750,8.656250,2.570242,33600
1985-02-08,8.656250,8.687500,8.656250,8.656250,2.570242,18000
1985-02-11,8.625000,8.625000,8.500000,8.500000,2.523848,24400
1985-02-12,8.500000,8.562500,8.468750,8.531250,2.533125,19200
1985-02-13,8.500000,8.500000,8.437500,8.500000,2.523848,8000
1985-02-14,8.468750,8.468750,8.406250,8.468750,2.514569,32400
1985-02-15,8.468750,8.468750,8.375000,8.468750,2.514569,26800
1985-02-19,8.468750,8.468750,8.375000,8.406250,2.496012,62400
1985-02-20,8.406250,8.500000,8.406250,8.406250,2.496012,73600
1985-02-21,8.406250,8.468750,8.312500,8.375000,2.486732,36800
1985-02-22,8.375000,8.375000,8.281250,8.281250,2.458895,36400
1985-02-25,8.281250,8.343750,8.125000,8.125000,2.412501,45600
1985-02-26,8.125000,8.187500,8.093750,8.156250,2.421779,43200
1985-02-27,8.156250,8.156250,8.062500,8.062500,2.393944,19600
1985-02-28,8.062500,8.093750,8.062500,8.093750,2.403222,18400
1985-03-01,8.093750,8.250000,8.062500,8.250000,2.449616,152800
1985-03-04,8.250000,8.281250,8.187500,8.250000,2.449616,45200
1985-03-05,8.250000,8.250000,8.187500,8.187500,2.431057,141600
1985-03-06,8.187500,8.218750,8.156250,8.156250,2.421779,17600
1985-03-07,8.156250,8.218750,8.125000,8.218750,2.440337,19600
1985-03-08,8.218750,8.218750,8.187500,8.187500,2.431057,18800
1985-03-11,8.187500,8.187500,8.156250,8.156250,2.421779,22000
1985-03-12,8.156250,8.156250,8.093750,8.156250,2.421779,36400
1985-03-13,8.156250,8.156250,8.093750,8.156250,2.421779,18000
1985-03-14,8.156250,8.156250,8.093750,8.093750,2.403222,27200
1985-03-15,8.093750,8.125000,8.093750,8.125000,2.412501,49200
1985-03-18,8.093750,8.093750,8.093750,8.093750,2.403222,10000
1985-03-19,8.093750,8.156250,8.093750,8.156250,2.421779,48400
1985-03-20,8.156250,8.156250,8.093750,8.156250,2.421779,11200
1985-03-21,8.156250,8.250000,8.093750,8.187500,2.431057,55600
1985-03-22,8.187500,8.250000,8.187500,8.250000,2.449616,13200
1985-03-25,8.250000,8.250000,8.187500,8.187500,2.431057,64000
1985-03-26,8.187500,8.250000,8.187500,8.187500,2.431057,13600
1985-03-27,8.187500,8.281250,8.187500,8.281250,2.458895,56000
1985-03-28,8.281250,8.312500,8.218750,8.312500,2.468174,23200
1985-03-29,8.312500,8.343750,8.250000,8.312500,2.468174,12400
1985-04-01,8.312500,8.343750,8.250000,8.343750,2.477453,13600
1985-04-02,8.312500,8.312500,8.250000,8.250000,2.449616,28000
1985-04-03,8.250000,8.343750,8.250000,8.250000,2.449616,90000
1985-04-04,8.250000,8.312500,8.250000,8.250000,2.449616,4800
1985-04-08,8.250000,8.312500,8.250000,8.312500,2.468174,64400
1985-04-09,8.312500,8.343750,8.281250,8.312500,2.468174,812000
1985-04-10,8.312500,8.375000,8.281250,8.343750,2.477453,22400
1985-04-11,8.375000,8.406250,8.375000,8.406250,2.496012,71200
1985-04-12,8.406250,8.406250,8.281250,8.375000,2.486732,434800
1985-04-15,8.375000,8.375000,8.312500,8.343750,2.477453,102000
1985-04-16,8.343750,8.375000,8.343750,8.375000,2.486732,98800
1985-04-17,8.375000,8.375000,8.343750,8.343750,2.477453,27200
1985-04-18,8.343750,8.375000,8.343750,8.343750,2.477453,18400
1985-04-19,8.343750,8.375000,8.343750,8.375000,2.486732,131200
1985-04-22,8.375000,8.375000,8.343750,8.375000,2.486732,85600
1985-04-23,8.375000,8.406250,8.343750,8.406250,2.496012,9600
1985-04-24,8.406250,8.500000,8.375000,8.406250,2.496012,179200
1985-04-25,8.406250,8.437500,8.406250,8.406250,2.496012,22000
1985-04-26,8.406250,8.625000,8.406250,8.625000,2.560962,324800
1985-04-29,8.625000,8.718750,8.593750,8.687500,2.579520,241200
1985-04-30,8.687500,8.718750,8.656250,8.656250,2.570242,12800
1985-05-01,8.656250,8.750000,8.656250,8.750000,2.598078,286800
1985-05-02,8.750000,8.750000,8.718750,8.718750,2.588798,20800
1985-05-03,8.718750,8.781250,8.718750,8.781250,2.607356,70800
1985-05-06,8.781250,8.781250,8.718750,8.781250,2.607356,35600
1985-05-07,8.781250,8.781250,8.718750,8.718750,2.588798,60000
1985-05-08,8.718750,8.781250,8.718750,8.781250,2.607356,66000
1985-05-09,8.781250,8.781250,8.718750,8.750000,2.598078,34000
1985-05-10,8.750000,8.812500,8.718750,8.812500,2.616635,116800
1985-05-13,8.812500,8.812500,8.781250,8.781250,2.607356,204400
1985-05-14,8.781250,8.843750,8.781250,8.812500,2.616635,278400
1985-05-15,8.812500,8.843750,8.812500,8.843750,2.625914,39600
1985-05-16,8.843750,8.968750,8.843750,8.968750,2.663030,160800
1985-05-17,8.968750,9.062500,8.937500,9.000000,2.672307,62000
1985-05-20,9.031250,9.250000,9.031250,9.187500,2.727982,97200
1985-05-21,9.187500,9.312500,9.187500,9.187500,2.727982,72800
1985-05-22,9.187500,9.250000,9.187500,9.187500,2.727982,130000
1985-05-23,9.187500,9.250000,9.187500,9.250000,2.746538,89600
1985-05-24,9.250000,9.375000,9.250000,9.375000,2.783654,168400
1985-05-28,9.375000,9.375000,9.312500,9.312500,2.765096,18400
1985-05-29,9.312500,9.437500,9.312500,9.343750,2.774376,50000
1985-05-30,9.375000,9.562500,9.375000,9.531250,2.830049,75600
