Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.507813,1.507813,1.507813,1.507813,0.465344,102400
1985-01-29,1.507813,1.523438,1.500000,1.523438,0.470166,585600
1985-01-30,1.523438,1.531250,1.507813,1.531250,0.472577,329600
1985-01-31,1.531250,1.546875,1.523438,1.546875,0.477400,108800
1985-02-01,1.539063,1.539063,1.531250,1.531250,0.472577,828800
1985-02-04,1.531250,1.531250,1.523438,1.531250,0.472577,416000
1985-02-05,1.531250,1.539063,1.523438,1.531250,0.472577,492800
1985-02-06,1.531250,1.546875,1.531250,1.546875,0.477400,752000
1985-02-07,1.546875,1.585938,1.546875,1.585938,0.489455,342400
1985-02-08,1.585938,1.617188,1.585938,1.601563,0.494277,518400
1985-02-11,1.601563,1.617188,1.593750,1.609375,0.496689,406400
1985-02-12,1.609375,1.617188,1.601563,1.601563,0.494277,256000
1985-02-13,1.625000,1.648438,1.625000,1.648438,0.508744,745600
1985-02-14,1.664063,1.679688,1.664063,1.671875,0.515977,896000
1985-02-15,1.679688,1.734375,1.679688,1.726563,0.532855,1756800
1985-02-19,1.726563,1.734375,1.726563,1.726563,0.532855,371200
1985-02-20,1.714844,1.714844,1.695313,1.703125,0.525622,611200
1985-02-21,1.703125,1.707031,1.687500,1.687500,0.520800,240000
1985-02-22,1.679688,1.679688,1.648438,1.648438,0.508744,374400
1985-02-25,1.640625,1.640625,1.585938,1.609375,0.496689,1062400
1985-02-26,1.609375,1.617188,1.601563,1.617188,0.499100,467200
1985-02-27,1.617188,1.625000,1.609375,1.617188,0.499100,233600
1985-02-28,1.625000,1.640625,1.625000,1.632813,0.503922,1923200
1985-03-01,1.640625,1.648438,1.640625,1.648438,0.508744,982400
1985-03-04,1.648438,1.664063,1.648438,1.664063,0.513566,604800
1985-03-05,1.664063,1.679688,1.664063,1.679688,0.518388,1900800
1985-03-06,1.679688,1.679688,1.664063,1.664063,0.513566,70400
1985-03-07,1.664063,1.664063,1.656250,1.656250,0.511155,25600
1985-03-08,1.656250,1.671875,1.632813,1.640625,0.506333,496000
1985-03-11,1.640625,1.640625,1.632813,1.640625,0.506333,99200
1985-03-12,1.632813,1.632813,1.617188,1.632813,0.503922,230400
1985-03-13,1.632813,1.640625,1.625000,1.632813,0.503922,166400
1985-03-14,1.632813,1.648438,1.632813,1.632813,0.503922,176000
1985-03-15,1.632813,1.648438,1.632813,1.632813,0.503922,217600
1985-03-18,1.640625,1.656250,1.640625,1.640625,0.506333,192000
1985-03-19,1.640625,1.664063,1.640625,1.664063,0.513566,432000
1985-03-20,1.664063,1.664063,1.656250,1.664063,0.513566,92800
1985-03-21,1.664063,1.664063,1.656250,1.656250,0.511155,153600
1985-03-22,1.656250,1.656250,1.632813,1.632813,0.503922,428800
1985-03-25,1.632813,1.640625,1.632813,1.640625,0.506333,124800
1985-03-26,1.632813,1.632813,1.617188,1.632813,0.601260,332800
1985-03-27,1.632813,1.632813,1.625000,1.625000,0.598382,182400
1985-03-28,1.625000,1.632813,1.625000,1.625000,0.598382,92800
1985-03-29,1.625000,1.628906,1.625000,1.625000,0.598382,473600
1985-04-01,1.625000,1.625000,1.617188,1.617188,0.595506,320000
1985-04-02,1.617188,1.625000,1.609375,1.609375,0.592629,569600
1985-04-03,1.609375,1.609375,1.593750,1.609375,0.592629,3376000
1985-04-04,1.601563,1.601563,1.593750,1.593750,0.586875,76800
1985-04-08,1.593750,1.601563,1.593750,1.593750,0.586875,204800
1985-04-09,1.585938,1.585938,1.585938,1.585938,0.583998,6400
1985-04-10,1.585938,1.593750,1.585938,1.589844,0.585437,150400
1985-04-11,1.589844,1.589844,1.585938,1.585938,0.583998,73600
1985-04-12,1.585938,1.593750,1.585938,1.585938,0.583998,6400
1985-04-15,1.585938,1.593750,1.585938,1.593750,0.586875,1715200
1985-04-16,1.593750,1.593750,1.585938,1.585938,0.583998,822400
1985-04-17,1.585938,1.601563,1.582031,1.601563,0.589752,3513600
1985-04-18,1.609375,1.632813,1.609375,1.632813,0.601260,1734400
