Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,3.010417,3.031250,2.968750,3.031250,1.579327,1825200
1985-01-29,3.041667,3.041667,2.979167,3.041667,1.584756,2773200
1985-01-30,3.062500,3.083333,3.020833,3.031250,1.579327,2611200
1985-01-31,3.020833,3.031250,2.989583,3.000000,1.563047,1196400
1985-02-01,3.000000,3.020833,2.989583,2.989583,1.557619,573600
1985-02-04,2.937500,3.052083,2.937500,3.041667,1.584756,2203200
1985-02-05,3.083333,3.135417,3.072917,3.114583,1.622746,3750000
1985-02-06,3.104167,3.125000,3.083333,3.093750,1.611892,2901600
1985-02-07,3.104167,3.166667,3.093750,3.156250,1.644456,2362800
1985-02-08,3.135417,3.156250,3.125000,3.145833,1.639028,1599600
1985-02-11,3.145833,3.145833,3.104167,3.114583,1.622746,792000
1985-02-12,3.093750,3.125000,3.041667,3.041667,1.584756,715200
1985-02-13,3.000000,3.166667,3.000000,3.156250,1.652835,3781200
1985-02-14,3.229167,3.270833,3.208333,3.270833,1.712839,6086400
1985-02-15,3.229167,3.270833,3.208333,3.250000,1.701929,2618400
1985-02-19,3.239583,3.250000,3.229167,3.239583,1.696473,849600
1985-02-20,3.229167,3.281250,3.208333,3.250000,1.701929,3006000
1985-02-21,3.270833,3.270833,3.208333,3.208333,1.680109,1192800
1985-02-22,3.166667,3.187500,3.145833,3.145833,1.647380,1456800
1985-02-25,3.145833,3.145833,3.062500,3.083333,1.614651,1226400
1985-02-26,3.083333,3.135417,3.083333,3.104167,1.625560,1737600
1985-02-27,3.125000,3.135417,3.104167,3.135417,1.641925,514800
1985-02-28,3.083333,3.114583,3.072917,3.083333,1.614651,1875600
1985-03-01,3.083333,3.156250,3.083333,3.156250,1.652835,2344800
1985-03-04,3.166667,3.166667,3.083333,3.104167,1.625560,633600
1985-03-05,3.104167,3.114583,3.072917,3.104167,1.625560,1764000
1985-03-06,3.145833,3.166667,3.135417,3.135417,1.641925,1840800
1985-03-07,3.135417,3.156250,3.093750,3.104167,1.625560,3717600
1985-03-08,3.104167,3.125000,3.083333,3.083333,1.614651,2185200
1985-03-11,3.041667,3.083333,3.020833,3.083333,1.614651,2542800
1985-03-12,3.083333,3.114583,3.072917,3.093750,1.620106,634800
1985-03-13,3.145833,3.177083,3.125000,3.145833,1.647380,1188000
1985-03-14,3.145833,3.197917,3.145833,3.156250,1.652835,2013600
1985-03-15,3.145833,3.197917,3.083333,3.083333,1.614651,2046000
1985-03-18,3.083333,3.125000,3.072917,3.072917,1.609195,1544400
1985-03-19,3.062500,3.114583,3.031250,3.114583,1.631015,2612400
1985-03-20,3.125000,3.166667,3.083333,3.166667,1.658290,1940400
1985-03-21,3.197917,3.250000,3.187500,3.187500,1.669199,1885200
1985-03-22,3.187500,3.218750,3.125000,3.156250,1.652835,1414800
1985-03-25,3.135417,3.187500,3.135417,3.166667,1.658290,871200
1985-03-26,3.166667,3.166667,3.135417,3.145833,1.647380,1056000
1985-03-27,3.156250,3.187500,3.145833,3.177083,1.663744,1922400
1985-03-28,3.187500,3.218750,3.166667,3.177083,1.663744,2506800
1985-03-29,3.197917,3.239583,3.177083,3.239583,1.696473,685200
1985-04-01,3.250000,3.291667,3.229167,3.270833,1.712839,878400
1985-04-02,3.302083,3.312500,3.208333,3.218750,1.685564,1788000
1985-04-03,3.229167,3.239583,3.166667,3.197917,1.674654,1428000
1985-04-04,3.177083,3.197917,3.104167,3.104167,1.625560,1690800
1985-04-08,3.083333,3.093750,3.041667,3.041667,1.592831,891600
1985-04-09,3.041667,3.083333,3.020833,3.041667,1.592831,2095200
1985-04-10,3.041667,3.083333,3.020833,3.072917,1.609195,1662000
1985-04-11,3.083333,3.083333,3.020833,3.062500,1.603741,2781600
1985-04-12,3.052083,3.104167,3.052083,3.104167,1.625560,1366800
1985-04-15,3.093750,3.125000,3.093750,3.104167,1.625560,1326000
1985-04-16,3.125000,3.177083,3.114583,3.156250,1.652835,1773600
1985-04-17,3.135417,3.239583,3.135417,3.218750,1.685564,2742000
1985-04-18,3.218750,3.250000,3.218750,3.239583,1.696473,3382800
1985-04-19,3.218750,3.270833,3.208333,3.250000,1.701929,909600
1985-04-22,3.250000,3.291667,3.239583,3.291667,1.723748,980400
1985-04-23,3.270833,3.281250,3.229167,3.250000,1.701929,1569600
1985-04-24,3.250000,3.291667,3.239583,3.291667,1.723748,1177200
1985-04-25,3.250000,3.395833,3.250000,3.375000,1.767388,2998800
1985-04-26,3.375000,3.375000,3.291667,3.312500,1.734659,1412400
1985-04-29,3.312500,3.312500,3.239583,3.239583,1.696473,1261200
1985-04-30,3.229167,3.229167,3.145833,3.156250,1.652835,2583600
1985-05-01,3.135417,3.145833,3.083333,3.093750,1.620106,1335600
1985-05-02,3.083333,3.083333,2.989583,3.020833,1.581921,3567600
1985-05-03,3.062500,3.208333,3.062500,3.187500,1.669199,3708000
1985-05-06,3.166667,3.208333,3.166667,3.166667,1.658290,1431600
1985-05-07,3.187500,3.250000,3.187500,3.250000,1.701929,1866000
1985-05-08,3.250000,3.333333,3.229167,3.333333,1.745568,4447200
1985-05-09,3.333333,3.354167,3.291667,3.354167,1.756478,2330400
1985-05-10,3.375000,3.427083,3.364583,3.395833,1.778298,1546800
1985-05-13,3.416667,3.437500,3.354167,3.375000,1.767388,1465200
1985-05-14,3.364583,3.427083,3.354167,3.364583,1.770020,856800
1985-05-15,3.364583,3.437500,3.364583,3.395833,1.786461,2001600
1985-05-16,3.416667,3.520833,3.416667,3.500000,1.841259,3381600
1985-05-17,3.500000,3.583333,3.489583,3.541667,1.863179,4821600
1985-05-20,3.531250,3.583333,3.458333,3.541667,1.863179,3934800
1985-05-21,3.541667,3.541667,3.427083,3.510417,1.846739,1779600
1985-05-22,3.489583,3.572917,3.479167,3.552083,1.868657,4947600
1985-05-23,3.562500,3.562500,3.520833,3.520833,1.852219,976800
1985-05-24,3.520833,3.572917,3.500000,3.572917,1.879620,1245600
1985-05-28,3.583333,3.583333,3.531250,3.531250,1.857698,1532400
1985-05-29,3.520833,3.531250,3.479167,3.531250,1.857698,1657200
1985-05-30,3.510417,3.593750,3.510417,3.531250,1.857698,2908800
1985-05-31,3.583333,3.666667,3.572917,3.666667,1.928938,3618000
1985-06-03,3.666667,3.708333,3.593750,3.656250,1.923459,3462000
1985-06-04,3.666667,3.770833,3.666667,3.729167,1.961816,6151200
1985-06-05,3.750000,3.750000,3.708333,3.729167,1.961816,2898000
1985-06-06,3.729167,3.770833,3.687500,3.770833,1.983738,3025200
1985-06-07,3.770833,3.770833,3.677083,3.687500,1.939897,3357600
1985-06-10,3.666667,3.666667,3.625000,3.625000,1.907019,934800
1985-06-11,3.625000,3.645833,3.552083,3.635417,1.912498,2484000
1985-06-12,3.614583,3.656250,3.614583,3.625000,1.907019,584400
1985-06-13,3.604167,3.625000,3.500000,3.541667,1.863179,2790000
1985-06-14,3.520833,3.562500,3.510417,3.562500,1.874139,2352000
1985-06-17,3.562500,3.562500,3.510417,3.541667,1.863179,955200
1985-06-18,3.520833,3.541667,3.468750,3.500000,1.841259,2890800
1985-06-19,3.500000,3.500000,3.468750,3.468750,1.824820,2182800
1985-06-20,3.468750,3.531250,3.468750,3.510417,1.846739,4644000
1985-06-21,3.520833,3.583333,3.520833,3.572917,1.879620,3944400
1985-06-24,3.552083,3.583333,3.531250,3.572917,1.879620,678000
1985-06-25,3.562500,3.614583,3.562500,3.583333,1.885099,4250400
1985-06-26,3.583333,3.583333,3.500000,3.583333,1.885099,2011200
1985-06-27,3.520833,3.541667,3.479167,3.520833,1.852219,1194000
1985-06-28,3.520833,3.541667,3.510417,3.520833,1.852219,2038800
1985-07-01,3.520833,3.531250,3.479167,3.510417,1.846739,1599600
1985-07-02,3.541667,3.541667,3.416667,3.447917,1.813859,1878000
1985-07-03,3.447917,3.447917,3.375000,3.427083,1.802900,3979200
1985-07-05,3.427083,3.458333,3.395833,3.416667,1.797419,1510800
1985-07-08,3.416667,3.489583,3.395833,3.489583,1.835779,2010000
1985-07-09,3.468750,3.500000,3.385417,3.385417,1.780980,5096400
1985-07-10,3.406250,3.479167,3.395833,3.458333,1.819338,2004000
1985-07-11,3.458333,3.468750,3.322917,3.354167,1.764540,9399600
1985-07-12,3.322917,3.343750,3.291667,3.333333,1.753580,6820800
1985-07-15,3.322917,3.385417,3.302083,3.385417,1.780980,2317200
1985-07-16,3.395833,3.479167,3.385417,3.479167,1.830299,1224000
1985-07-17,3.500000,3.520833,3.437500,3.479167,1.830299,3304800
1985-07-18,3.458333,3.479167,3.437500,3.479167,1.830299,794400
1985-07-19,3.479167,3.479167,3.427083,3.468750,1.824820,2455200
1985-07-22,3.437500,3.458333,3.427083,3.447917,1.813859,928800
1985-07-23,3.468750,3.489583,3.406250,3.416667,1.797419,987600
1985-07-24,3.406250,3.406250,3.260417,3.281250,1.726180,1894800
1985-07-25,3.260417,3.291667,3.229167,3.291667,1.731660,2469600
1985-07-26,3.291667,3.291667,3.250000,3.260417,1.715220,1263600
1985-07-29,3.270833,3.270833,3.208333,3.218750,1.693301,2215200
1985-07-30,3.197917,3.208333,3.166667,3.197917,1.682341,2526000
1985-07-31,3.177083,3.250000,3.166667,3.229167,1.698780,2013600
1985-08-01,3.270833,3.312500,3.270833,3.302083,1.737140,1329600
1985-08-02,3.302083,3.302083,3.250000,3.250000,1.709741,2026800
1985-08-05,3.229167,3.260417,3.208333,3.250000,1.709741,1148400
1985-08-06,3.239583,3.250000,3.208333,3.218750,1.693301,2480400
1985-08-07,3.208333,3.239583,3.208333,3.218750,1.693301,4212000
1985-08-08,3.229167,3.364583,3.229167,3.354167,1.764540,3628800
1985-08-09,3.354167,3.354167,3.312500,3.322917,1.748101,1540800
1985-08-12,3.312500,3.322917,3.291667,3.322917,1.748101,514800
1985-08-13,3.333333,3.354167,3.312500,3.354167,1.764540,1254000
1985-08-14,3.302083,3.354167,3.302083,3.302083,1.745164,462000
1985-08-15,3.322917,3.333333,3.312500,3.333333,1.761679,552000
1985-08-16,3.291667,3.333333,3.270833,3.281250,1.734152,782400
1985-08-19,3.270833,3.322917,3.250000,3.312500,1.750669,451200
1985-08-20,3.333333,3.375000,3.322917,3.343750,1.767183,901200
1985-08-21,3.343750,3.375000,3.302083,3.333333,1.761679,786000
1985-08-22,3.343750,3.343750,3.291667,3.291667,1.739658,506400
1985-08-23,3.291667,3.291667,3.218750,3.239583,1.712131,2308800
1985-08-26,3.260417,3.270833,3.197917,3.208333,1.695616,1173600
1985-08-27,3.208333,3.250000,3.208333,3.250000,1.717636,3195600
1985-08-28,3.250000,3.302083,3.250000,3.270833,1.728648,1742400
1985-08-29,3.270833,3.333333,3.270833,3.312500,1.750669,3195600
1985-08-30,3.322917,3.333333,3.291667,3.302083,1.745164,2251200
