Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.000000,5.185185,5.000000,5.111111,2.277847,238900
1985-01-29,5.111111,5.166667,5.074074,5.166667,2.302607,152500
1985-01-30,5.166667,5.240741,5.111111,5.222222,2.327365,406300
1985-01-31,5.222222,5.259259,5.185185,5.240741,2.335619,290200
1985-02-01,5.240741,5.574074,5.222222,5.481482,2.442910,500800
1985-02-04,5.481482,5.518518,5.425926,5.518518,2.459415,224500
1985-02-05,5.518518,5.648148,5.481482,5.648148,2.517187,329400
1985-02-06,5.759259,6.000000,5.759259,5.907407,2.632730,846900
1985-02-07,5.907407,5.981482,5.870370,5.962963,2.657489,334800
1985-02-08,5.962963,5.962963,5.851852,5.851852,2.607969,342000
1985-02-11,5.888889,6.074074,5.888889,6.074074,2.707009,649300
1985-02-12,6.111111,6.481482,6.111111,6.370370,2.839055,2079000
1985-02-13,6.370370,6.388889,6.259259,6.370370,2.839055,1536300
1985-02-14,6.407407,6.648148,6.407407,6.629630,2.954599,921100
1985-02-15,6.629630,6.648148,6.574074,6.629630,2.954599,494500
1985-02-19,6.611111,6.611111,6.296296,6.481482,2.888574,788800
1985-02-20,6.481482,6.500000,6.370370,6.500000,2.896828,406800
1985-02-21,6.500000,6.518518,6.444445,6.500000,2.896828,479200
1985-02-22,6.462963,6.462963,6.370370,6.407407,2.855562,178200
1985-02-25,6.370370,6.370370,6.222222,6.222222,2.773032,224500
1985-02-26,6.222222,6.444445,6.018518,6.425926,2.863816,774000
1985-02-27,6.462963,6.648148,6.462963,6.629630,2.954599,342900
1985-02-28,6.574074,6.574074,6.444445,6.500000,2.896828,178200
1985-03-01,6.500000,6.592593,6.481482,6.518518,2.905080,342900
1985-03-04,6.518518,6.555555,6.000000,6.074074,2.707009,341500
1985-03-05,6.111111,6.259259,6.111111,6.222222,2.773032,378000
1985-03-06,6.222222,6.222222,6.111111,6.185185,2.756525,450000
1985-03-07,6.185185,6.185185,6.074074,6.074074,2.707009,71500
1985-03-08,6.074074,6.074074,6.000000,6.018518,2.682247,69300
1985-03-11,5.962963,5.962963,5.777778,5.962963,2.657489,648400
1985-03-12,5.962963,6.129630,5.925926,6.129630,2.731767,1226200
