Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,2.732510,2.765432,2.732510,2.748971,2.271150,108100
1985-01-29,2.748971,2.748971,2.716049,2.716049,2.243951,48700
1985-01-30,2.732510,2.831276,2.732510,2.781893,2.298350,396900
1985-01-31,2.781893,2.880658,2.748971,2.864197,2.366347,80200
1985-02-01,2.864197,2.880658,2.798354,2.831276,2.339148,106600
1985-02-04,2.831276,2.979424,2.781893,2.897119,2.393547,182200
1985-02-05,2.897119,2.913580,2.847737,2.847737,2.352748,21100
1985-02-06,2.847737,2.864197,2.831276,2.831276,2.339148,60700
1985-02-07,2.831276,2.897119,2.831276,2.897119,2.393547,23100
1985-02-08,2.897119,2.897119,2.831276,2.831276,2.339148,109500
1985-02-11,2.831276,2.864197,2.814815,2.847737,2.352748,71700
1985-02-12,2.847737,2.880658,2.814815,2.814815,2.325549,40600
1985-02-13,2.831276,2.995885,2.831276,2.995885,2.475145,339000
1985-02-14,2.962963,2.962963,2.897119,2.930041,2.420747,343500
1985-02-15,2.962963,3.012346,2.962963,2.995885,2.475145,85200
1985-02-19,3.012346,3.078189,3.012346,3.078189,2.543144,132400
1985-02-20,3.078189,3.094650,2.995885,3.078189,2.543144,155200
1985-02-21,3.061728,3.061728,3.012346,3.012346,2.488746,455500
1985-02-22,3.012346,3.028807,2.962963,2.962963,2.447945,143100
1985-02-25,2.962963,2.962963,2.946502,2.962963,2.447945,58000
1985-02-26,2.962963,2.979424,2.946502,2.979424,2.461546,148600
1985-02-27,2.979424,3.061728,2.979424,3.028807,2.502345,161200
1985-02-28,3.028807,3.078189,3.028807,3.028807,2.502345,74800
1985-03-01,3.028807,3.226337,3.028807,3.209877,2.651942,230800
1985-03-04,3.209877,3.374485,3.209877,3.308642,2.733539,474000
1985-03-05,3.341564,3.423868,3.341564,3.358025,2.774338,402900
1985-03-06,3.358025,3.374485,3.226337,3.259259,2.692740,60900
1985-03-07,3.259259,3.275720,3.242798,3.259259,2.692740,81000
1985-03-08,3.259259,3.275720,3.226337,3.242798,2.679141,56700
1985-03-11,3.259259,3.325103,3.259259,3.275720,2.706340,97200
1985-03-12,3.259259,3.259259,3.193416,3.209877,2.651942,113500
1985-03-13,3.209877,3.209877,2.979424,3.012346,2.488746,138600
1985-03-14,2.979424,2.979424,2.831276,2.880658,2.379947,162900
1985-03-15,2.880658,2.880658,2.831276,2.847737,2.352748,177400
1985-03-18,2.847737,2.847737,2.798354,2.831276,2.339148,58900
1985-03-19,2.831276,2.864197,2.765432,2.864197,2.366347,478800
1985-03-20,2.880658,2.979424,2.880658,2.979424,2.461546,125700
1985-03-21,2.979424,2.995885,2.962963,2.962963,2.447945,48700
1985-03-22,2.962963,3.045268,2.897119,2.930041,2.420747,152100
1985-03-25,2.930041,2.979424,2.930041,2.930041,2.420747,75700
1985-03-26,2.930041,2.995885,2.913580,2.962963,2.447945,64000
1985-03-27,2.962963,3.045268,2.897119,2.930041,2.420747,100500
1985-03-28,2.930041,2.962963,2.913580,2.946502,2.434346,53500
1985-03-29,2.946502,3.061728,2.897119,3.061728,2.529545,1271700
1985-04-01,3.094650,3.176955,3.094650,3.127572,2.583943,270600
1985-04-02,3.127572,3.160494,3.094650,3.094650,2.556744,136900
1985-04-03,3.061728,3.061728,2.979424,3.028807,2.502345,47400
1985-04-04,3.028807,3.045268,2.995885,3.028807,2.502345,65700
1985-04-08,3.028807,3.111111,3.028807,3.028807,2.502345,71100
1985-04-09,3.028807,3.045268,3.012346,3.045268,2.515945,56700
1985-04-10,3.061728,3.094650,3.061728,3.094650,2.556744,94000
1985-04-11,3.094650,3.127572,3.078189,3.094650,2.556744,27600
1985-04-12,3.094650,3.193416,3.094650,3.193416,2.638341,39300
1985-04-15,3.193416,3.275720,3.160494,3.275720,2.706340,226800
1985-04-16,3.275720,3.292181,3.242798,3.292181,2.719939,263200
1985-04-17,3.275720,3.275720,3.226337,3.275720,2.706340,81900
1985-04-18,3.275720,3.275720,3.193416,3.193416,2.638341,12300
1985-04-19,3.176955,3.176955,3.144033,3.160494,2.611143,22500
1985-04-22,3.160494,3.193416,3.111111,3.144033,2.597543,33700
1985-04-23,3.144033,3.209877,3.094650,3.209877,2.651942,120300
1985-04-24,3.193416,3.193416,3.160494,3.160494,2.611143,17100
1985-04-25,3.127572,3.127572,3.094650,3.127572,2.583943,39700
1985-04-26,3.127572,3.176955,3.127572,3.176955,2.624743,14100
1985-04-29,3.176955,3.176955,2.995885,3.012346,2.488746,40600
1985-04-30,3.012346,3.012346,2.962963,3.012346,2.488746,69700
1985-05-01,3.012346,3.045268,2.995885,3.012346,2.488746,22500
1985-05-02,2.995885,2.995885,2.979424,2.979424,2.461546,21100
1985-05-03,2.979424,3.045268,2.979424,3.045268,2.515945,44500
1985-05-06,3.078189,3.160494,3.078189,3.094650,2.556744,49900
1985-05-07,3.094650,3.144033,3.094650,3.094650,2.556744,41400
1985-05-08,3.094650,3.127572,3.094650,3.094650,2.556744,19500
1985-05-09,3.094650,3.127572,3.045268,3.111111,2.570343,67000
1985-05-10,3.127572,3.193416,3.127572,3.193416,2.638341,54600
1985-05-13,3.193416,3.242798,3.160494,3.193416,2.638341,96000
1985-05-14,3.193416,3.193416,3.144033,3.144033,2.597543,55900
1985-05-15,3.144033,3.160494,3.094650,3.094650,2.556744,48600
1985-05-16,3.094650,3.111111,3.028807,3.111111,2.570343,36400
1985-05-17,3.111111,3.160494,3.094650,3.160494,2.611143,33700
