Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,0.437500,0.437500,0.437500,0.437500,0.378066,48000
1994-02-18,1.421875,1.437500,1.312500,1.421875,1.228714,39870400
1994-02-22,1.406250,1.437500,1.359375,1.421875,1.228714,9164800
1994-02-23,1.390625,1.421875,1.359375,1.375000,1.188206,5124800
1994-02-24,1.375000,1.375000,1.312500,1.312500,1.134197,2246400
1994-02-25,1.359375,1.375000,1.312500,1.359375,1.174704,2414400
1994-02-28,1.343750,1.375000,1.343750,1.343750,1.161202,1006400
1994-03-01,1.375000,1.375000,1.343750,1.359375,1.174704,952000
1994-03-02,1.359375,1.359375,1.312500,1.343750,1.161202,2105600
1994-03-03,1.359375,1.359375,1.328125,1.359375,1.174704,680000
1994-03-04,1.328125,1.484375,1.328125,1.484375,1.282723,1984000
1994-03-07,1.484375,1.531250,1.468750,1.515625,1.309728,1929600
1994-03-08,1.515625,1.515625,1.468750,1.500000,1.296226,1313600
1994-03-09,1.468750,1.515625,1.468750,1.515625,1.309728,2572800
1994-03-10,1.468750,1.515625,1.453125,1.453125,1.255718,2112000
1994-03-11,1.453125,1.484375,1.437500,1.484375,1.282723,260800
1994-03-14,1.484375,1.484375,1.437500,1.476563,1.275972,81600
1994-03-15,1.484375,1.484375,1.390625,1.390625,1.201709,1931200
1994-03-16,1.390625,1.437500,1.390625,1.421875,1.228714,211200
1994-03-17,1.437500,1.468750,1.406250,1.468750,1.269221,528000
1994-03-18,1.468750,1.515625,1.453125,1.484375,1.282723,1096000
1994-03-21,1.484375,1.546875,1.484375,1.546875,1.336732,920000
1994-03-22,1.531250,1.578125,1.531250,1.562500,1.350235,1142400
1994-03-23,1.531250,1.578125,1.531250,1.578125,1.363737,635200
1994-03-24,1.578125,1.578125,1.500000,1.546875,1.336732,2140800
1994-03-25,1.484375,1.484375,1.484375,1.484375,1.282723,11200
1994-03-28,1.484375,1.531250,1.453125,1.453125,1.255718,1056000
1994-03-29,1.437500,1.468750,1.437500,1.437500,1.242216,182400
1994-03-30,1.437500,1.468750,1.421875,1.468750,1.269221,387200
1994-03-31,1.406250,1.437500,1.359375,1.437500,1.242216,1528000
1994-04-04,1.421875,1.437500,1.375000,1.375000,1.188206,2270400
1994-04-05,1.421875,1.468750,1.406250,1.453125,1.255718,872000
1994-04-06,1.468750,1.468750,1.468750,1.468750,1.269221,8000
1994-04-07,1.421875,1.468750,1.421875,1.468750,1.269221,166400
1994-04-08,1.421875,1.421875,1.421875,1.421875,1.228714,3200
1994-04-11,1.437500,1.468750,1.421875,1.468750,1.269221,230400
1994-04-12,1.445313,1.445313,1.437500,1.437500,1.242216,76800
1994-04-13,1.437500,1.445313,1.421875,1.421875,1.228714,219200
1994-04-14,1.453125,1.453125,1.406250,1.453125,1.255718,145600
1994-04-15,1.421875,1.453125,1.421875,1.453125,1.255718,16000
1994-04-18,1.453125,1.500000,1.421875,1.421875,1.228714,784000
1994-04-19,1.453125,1.453125,1.406250,1.406250,1.215212,89600
1994-04-20,1.437500,1.437500,1.437500,1.437500,1.242216,80000
1994-04-21,1.453125,1.453125,1.406250,1.453125,1.255718,17600
1994-04-22,1.406250,1.453125,1.375000,1.421875,1.228714,182400
1994-04-25,1.421875,1.421875,1.375000,1.375000,1.188206,200000
1994-04-26,1.359375,1.375000,1.359375,1.367188,1.181455,1544000
1994-04-28,1.359375,1.437500,1.359375,1.406250,1.215212,388800
1994-04-29,1.437500,1.515625,1.437500,1.515625,1.309728,2176000
1994-05-02,1.515625,1.515625,1.453125,1.515625,1.309728,4124800
1994-05-03,1.468750,1.484375,1.468750,1.484375,1.282723,137600
1994-05-04,1.468750,1.484375,1.468750,1.476563,1.275972,428800
1994-05-05,1.453125,1.500000,1.453125,1.476563,1.275972,734400
1994-05-06,1.453125,1.500000,1.453125,1.476563,1.275972,595200
1994-05-09,1.453125,1.460938,1.453125,1.453125,1.255718,187200
1994-05-10,1.484375,1.484375,1.390625,1.437500,1.242216,782400
1994-05-11,1.437500,1.437500,1.421875,1.421875,1.228714,1304000
1994-05-12,1.453125,1.468750,1.453125,1.468750,1.269221,324800
1994-05-13,1.437500,1.437500,1.437500,1.437500,1.242216,1600
1994-05-16,1.437500,1.468750,1.437500,1.437500,1.242216,467200
1994-05-17,1.437500,1.484375,1.437500,1.484375,1.282723,472000
1994-05-18,1.445313,1.445313,1.421875,1.429688,1.235465,755200
1994-05-19,1.453125,1.453125,1.421875,1.421875,1.228714,9600
1994-05-20,1.453125,1.453125,1.453125,1.453125,1.255718,19200
1994-05-23,1.421875,1.445313,1.421875,1.437500,1.242216,294400
1994-05-24,1.421875,1.453125,1.421875,1.453125,1.255718,12800
1994-05-25,1.421875,1.421875,1.421875,1.421875,1.228714,20800
1994-05-26,1.453125,1.484375,1.453125,1.460938,1.262470,174400
1994-05-27,1.437500,1.484375,1.437500,1.453125,1.255718,41600
1994-05-31,1.460938,1.500000,1.437500,1.500000,1.296226,836800
1994-06-01,1.515625,1.562500,1.468750,1.500000,1.296226,579200
1994-06-02,1.500000,1.562500,1.500000,1.562500,1.350235,108800
1994-06-03,1.500000,1.578125,1.500000,1.562500,1.350235,211200
1994-06-06,1.581050,1.632813,1.581050,1.632813,1.410996,328000
1994-06-07,1.609375,1.625000,1.578125,1.585938,1.370488,168000
1994-06-08,1.546875,1.578125,1.531250,1.531250,1.323230,313600
1994-06-09,1.562500,1.562500,1.523438,1.523438,1.316479,1526400
1994-06-10,1.562500,1.562500,1.515625,1.515625,1.309728,448000
1994-06-13,1.562500,1.578125,1.562500,1.562500,1.350235,164800
1994-06-14,1.578125,1.578125,1.531250,1.578125,1.363737,100800
1994-06-15,1.578125,1.578125,1.531250,1.562500,1.350235,113600
1994-06-16,1.578125,1.578125,1.531250,1.531250,1.323230,120000
1994-06-17,1.562500,1.562500,1.562500,1.562500,1.350235,3200
1994-06-20,1.515625,1.546875,1.500000,1.546875,1.336732,302400
1994-06-21,1.515625,1.515625,1.515625,1.515625,1.309728,32000
1994-06-22,1.515625,1.515625,1.515625,1.515625,1.309728,1600
1994-06-23,1.539063,1.539063,1.500000,1.500000,1.296226,323200
1994-06-24,1.531250,1.546875,1.515625,1.515625,1.309728,219200
1994-06-27,1.539063,1.554688,1.515625,1.515625,1.309728,198400
1994-06-28,1.562500,1.562500,1.562500,1.562500,1.350235,19200
1994-06-29,1.562500,1.562500,1.562500,1.562500,1.350235,3200
1994-06-30,1.546875,1.578125,1.531250,1.578125,1.363737,267200
1994-07-01,1.609375,1.609375,1.562500,1.578125,1.363737,44800
1994-07-05,1.562500,1.562500,1.562500,1.562500,1.350235,8000
1994-07-06,1.562500,1.570313,1.531250,1.531250,1.323230,171200
1994-07-07,1.554688,1.562500,1.546875,1.546875,1.336732,1633600
1994-07-08,1.578125,1.625000,1.562500,1.578125,1.363737,748800
1994-07-11,1.578125,1.578125,1.578125,1.578125,1.363737,1600
1994-07-12,1.578125,1.578125,1.578125,1.578125,1.363737,3200
1994-07-13,1.625000,1.671875,1.625000,1.632813,1.410996,457600
1994-07-14,1.656250,1.687500,1.640625,1.640625,1.417746,619200
1994-07-15,1.687500,1.703125,1.656250,1.664063,1.438000,353600
1994-07-18,1.703125,1.765625,1.703125,1.718750,1.485258,739200
1994-07-19,1.742188,1.781250,1.718750,1.765625,1.525765,1092800
1994-07-20,1.781250,1.781250,1.656250,1.687500,1.458254,931200
1994-07-21,1.656250,1.671875,1.656250,1.671875,1.444751,188800
1994-07-22,1.671875,1.687500,1.671875,1.687500,1.458254,48000
1994-07-25,1.656250,1.703125,1.656250,1.687500,1.458254,118400
1994-07-26,1.671875,1.687500,1.671875,1.679688,1.451502,100800
1994-07-27,1.703125,1.718750,1.656250,1.687500,1.458254,1369600
1994-07-28,1.656250,1.703125,1.640625,1.640625,1.417746,203200
1994-07-29,1.671875,1.671875,1.671875,1.671875,1.444751,1600
1994-08-01,1.656250,1.671875,1.656250,1.671875,1.444751,252800
1994-08-02,1.656250,1.687500,1.656250,1.687500,1.458254,337600
1994-08-03,1.656250,1.656250,1.625000,1.625000,1.404244,113600
1994-08-04,1.625000,1.671875,1.593750,1.593750,1.377240,131200
1994-08-05,1.609375,1.609375,1.562500,1.562500,1.350235,19200
1994-08-08,1.593750,1.625000,1.562500,1.625000,1.404244,8000
1994-08-09,1.578125,1.625000,1.578125,1.578125,1.363737,35200
1994-08-10,1.578125,1.609375,1.578125,1.593750,1.377240,41600
1994-08-11,1.578125,1.578125,1.578125,1.578125,1.363737,4800
1994-08-12,1.578125,1.625000,1.578125,1.625000,1.404244,44800
1994-08-15,1.625000,1.625000,1.593750,1.593750,1.377240,30400
1994-08-16,1.656250,1.656250,1.593750,1.609375,1.390742,244800
1994-08-17,1.625000,1.625000,1.593750,1.609375,1.390742,14400
1994-08-18,1.593750,1.625000,1.562500,1.609375,1.390742,28800
1994-08-19,1.562500,1.578125,1.562500,1.578125,1.363737,17600
1994-08-22,1.585938,1.585938,1.562500,1.562500,1.350235,20800
1994-08-23,1.546875,1.593750,1.546875,1.593750,1.377240,171200
1994-08-24,1.546875,1.625000,1.546875,1.609375,1.390742,270400
1994-08-25,1.625000,1.625000,1.578125,1.578125,1.363737,649600
1994-08-26,1.640625,1.640625,1.632813,1.632813,1.410996,1126400
1994-08-29,1.671875,1.671875,1.625000,1.648438,1.424498,86400
1994-08-30,1.664063,1.671875,1.625000,1.671875,1.444751,1432000
1994-08-31,1.648438,1.687500,1.625000,1.687500,1.458254,796800
1994-09-01,1.656250,1.703125,1.640625,1.703125,1.471756,2044800
1994-09-02,1.718750,1.718750,1.671875,1.671875,1.444751,59200
1994-09-06,1.656250,1.718750,1.656250,1.656250,1.431249,260800
1994-09-07,1.656250,1.656250,1.656250,1.656250,1.431249,52800
1994-09-08,1.656250,1.656250,1.656250,1.656250,1.431249,19200
1994-09-09,1.656250,1.671875,1.656250,1.656250,1.431249,804800
1994-09-12,1.695313,1.703125,1.640625,1.687500,1.458254,5683200
1994-09-13,1.687500,1.687500,1.679688,1.679688,1.451502,73600
1994-09-14,1.687500,1.687500,1.671875,1.671875,1.444751,49600
1994-09-15,1.671875,1.718750,1.671875,1.718750,1.485258,52800
1994-09-16,1.718750,1.718750,1.656250,1.671875,1.444751,361600
1994-09-19,1.687500,1.687500,1.687500,1.687500,1.458254,1600
1994-09-20,1.640625,1.687500,1.640625,1.664063,1.438000,76800
1994-09-21,1.671875,1.687500,1.656250,1.656250,1.431249,2356800
1994-09-22,1.699219,1.699219,1.656250,1.687500,1.458254,163200
1994-09-23,1.703125,1.703125,1.656250,1.656250,1.431249,54400
1994-09-26,1.703125,1.703125,1.656250,1.703125,1.471756,193600
1994-09-27,1.656250,1.656250,1.656250,1.656250,1.431249,6400
1994-09-28,1.687500,1.703125,1.656250,1.695313,1.465005,752000
1994-09-29,1.656250,1.703125,1.656250,1.687500,1.458254,108800
1994-09-30,1.664063,1.750000,1.664063,1.746094,1.508887,484800
1994-10-03,1.718750,1.765625,1.671875,1.734375,1.498761,435200
1994-10-04,1.742188,1.742188,1.742188,1.742188,1.505512,3200
1994-10-05,1.718750,1.718750,1.640625,1.664063,1.438000,625600
1994-10-06,1.640625,1.640625,1.640625,1.640625,1.417746,19200
1994-10-07,1.640625,1.656250,1.640625,1.656250,1.431249,17600
1994-10-10,1.687500,1.687500,1.640625,1.656250,1.431249,979200
1994-10-11,1.640625,1.687500,1.640625,1.687500,1.458254,316800
1994-10-12,1.703125,1.703125,1.656250,1.671875,1.444751,1036800
1994-10-13,1.648438,1.656250,1.640625,1.640625,1.417746,808000
1994-10-14,1.640625,1.640625,1.640625,1.640625,1.417746,17600
1994-10-17,1.640625,1.640625,1.640625,1.640625,1.417746,0
1994-10-18,1.687500,1.703125,1.687500,1.703125,1.471756,22400
1994-10-19,1.703125,1.703125,1.664063,1.664063,1.438000,27200
1994-10-20,1.640625,1.687500,1.640625,1.687500,1.458254,9600
1994-10-21,1.640625,1.671875,1.593750,1.593750,1.377240,2240000
1994-10-24,1.640625,1.640625,1.484375,1.492188,1.289474,3180800
1994-10-25,1.484375,1.546875,1.484375,1.546875,1.336732,948800
1994-10-26,1.546875,1.609375,1.546875,1.609375,1.390742,806400
1994-10-27,1.625000,1.640625,1.593750,1.625000,1.404244,833600
1994-10-28,1.640625,1.648438,1.625000,1.632813,1.410996,427200
1994-10-31,1.656250,1.656250,1.625000,1.656250,1.431249,716800
1994-11-01,1.656250,1.656250,1.593750,1.593750,1.377240,179200
1994-11-02,1.593750,1.640625,1.593750,1.640625,1.417746,60800
1994-11-03,1.593750,1.640625,1.593750,1.640625,1.417746,41600
1994-11-04,1.640625,1.640625,1.562500,1.562500,1.350235,372800
1994-11-07,1.609375,1.609375,1.562500,1.562500,1.350235,155200
1994-11-08,1.578125,1.578125,1.523438,1.523438,1.316479,120000
1994-11-09,1.523438,1.562500,1.500000,1.500000,1.296226,1137600
1994-11-10,1.500000,1.546875,1.500000,1.500000,1.296226,1198400
1994-11-11,1.546875,1.546875,1.500000,1.500000,1.296226,3200
1994-11-14,1.531250,1.531250,1.531250,1.531250,1.323230,9600
1994-11-15,1.515625,1.562500,1.500000,1.562500,1.350235,4619200
1994-11-16,1.531250,1.562500,1.515625,1.531250,1.323230,1784000
1994-11-17,1.500000,1.531250,1.500000,1.500000,1.296226,64000
1994-11-18,1.500000,1.500000,1.500000,1.500000,1.296226,1600
1994-11-21,1.515625,1.515625,1.515625,1.515625,1.309728,24000
1994-11-22,1.515625,1.531250,1.484375,1.484375,1.282723,2844800
1994-11-23,1.468750,1.500000,1.468750,1.476563,1.275972,57600
1994-11-25,1.492188,1.492188,1.492188,1.492188,1.289474,20800
1994-11-28,1.492188,1.492188,1.492188,1.492188,1.289474,0
1994-11-29,1.453125,1.453125,1.453125,1.453125,1.255718,128000
1994-11-30,1.515625,1.515625,1.515625,1.515625,1.309728,140800
1994-12-01,1.492188,1.492188,1.488281,1.488281,1.286099,412800
1994-12-02,1.468750,1.468750,1.468750,1.468750,1.269221,81600
