Date,Open,High,Low,Close,Adj Close,Volume
1986-11-06,7.062500,7.156250,6.875000,7.000000,2.097583,17902800
1986-11-07,7.000000,7.000000,6.843750,6.968750,2.088217,6288000
1986-11-10,6.906250,6.906250,6.750000,6.781250,2.032032,3060000
1986-11-11,6.781250,6.875000,6.781250,6.875000,2.060126,1130000
1986-11-12,6.875000,6.937500,6.812500,6.875000,2.060126,2082800
1986-11-13,6.843750,6.843750,6.812500,6.812500,2.041398,891200
1986-11-14,6.812500,6.875000,6.781250,6.875000,2.060126,952000
1986-11-17,6.812500,6.843750,6.750000,6.750000,2.022668,1055200
1986-11-18,6.750000,6.781250,6.593750,6.625000,1.985211,2426400
1986-11-19,6.625000,6.625000,6.500000,6.531250,1.957118,2026000
1986-11-20,6.593750,6.656250,6.531250,6.625000,1.985211,3253600
1986-11-21,6.718750,6.718750,6.656250,6.718750,2.013304,639600
1986-11-24,6.687500,6.718750,6.656250,6.656250,1.994576,660000
1986-11-25,6.656250,6.718750,6.562500,6.687500,2.003939,1080000
1986-11-26,6.687500,6.750000,6.562500,6.687500,2.003939,963200
1986-11-28,6.687500,6.718750,6.656250,6.718750,2.013304,521600
1986-12-01,6.687500,6.750000,6.687500,6.750000,2.022668,662000
1986-12-02,6.750000,6.875000,6.750000,6.875000,2.060126,1161200
1986-12-03,6.875000,7.062500,6.875000,6.968750,2.088217,1210400
1986-12-04,6.968750,6.968750,6.875000,6.906250,2.069489,1446400
1986-12-05,6.875000,6.906250,6.843750,6.843750,2.050760,737600
1986-12-08,6.812500,6.843750,6.750000,6.750000,2.022668,703600
1986-12-09,6.750000,6.781250,6.750000,6.750000,2.022668,444800
1986-12-10,6.750000,6.781250,6.718750,6.718750,2.013304,902400
1986-12-11,6.750000,6.781250,6.593750,6.687500,2.003939,550400
1986-12-12,6.687500,6.750000,6.656250,6.750000,2.022668,356800
1986-12-15,6.718750,6.750000,6.656250,6.718750,2.013304,521200
1986-12-16,6.687500,6.718750,6.625000,6.656250,1.994576,835600
1986-12-17,6.656250,6.656250,6.625000,6.625000,1.985211,803600
1986-12-18,6.625000,6.656250,6.531250,6.593750,1.975847,1108000
1986-12-19,6.500000,6.625000,6.500000,6.625000,1.985211,556000
1986-12-22,6.562500,6.562500,6.500000,6.562500,1.966483,1456000
1986-12-23,6.531250,6.562500,6.500000,6.562500,1.966483,574000
1986-12-24,6.687500,6.687500,6.500000,6.531250,1.957118,322400
1986-12-26,6.500000,6.562500,6.500000,6.562500,1.966483,486000
1986-12-29,6.531250,6.531250,6.468750,6.531250,1.957118,693200
1986-12-30,6.531250,6.562500,6.437500,6.562500,1.966483,910000
1986-12-31,6.500000,6.718750,6.500000,6.718750,2.013304,841600
1987-01-02,6.687500,6.812500,6.625000,6.812500,2.041398,264800
1987-01-05,6.812500,6.968750,6.812500,6.937500,2.078852,668400
1987-01-06,6.875000,6.968750,6.843750,6.968750,2.088217,554400
1987-01-07,6.937500,7.156250,6.937500,7.156250,2.144403,748400
1987-01-08,7.125000,7.562500,7.093750,7.562500,2.266138,596800
1987-01-09,7.531250,7.750000,7.406250,7.625000,2.284867,759600
1987-01-12,7.562500,7.781250,7.562500,7.625000,2.284867,1196800
1987-01-13,7.562500,7.593750,7.343750,7.406250,2.219316,504800
1987-01-14,7.468750,7.593750,7.437500,7.500000,2.247409,611600
1987-01-15,7.468750,7.593750,7.468750,7.500000,2.247409,463200
1987-01-16,7.531250,7.656250,7.437500,7.625000,2.284867,412800
1987-01-19,7.562500,7.625000,7.500000,7.562500,2.266138,161600
1987-01-20,7.593750,7.625000,7.531250,7.593750,2.337315,642000
1987-01-21,7.562500,7.625000,7.531250,7.531250,2.318078,505200
1987-01-22,7.531250,7.531250,7.375000,7.437500,2.289222,618000
1987-01-23,7.468750,7.625000,7.437500,7.625000,2.346934,573200
1987-01-26,7.500000,7.500000,7.375000,7.375000,2.269984,594800
1987-01-27,7.312500,7.500000,7.281250,7.468750,2.298840,488400
1987-01-28,7.437500,7.531250,7.437500,7.437500,2.289222,462000
1987-01-29,7.406250,7.500000,7.375000,7.375000,2.269984,574000
1987-01-30,7.375000,7.468750,7.343750,7.375000,2.269984,265600
1987-02-02,7.500000,7.531250,7.343750,7.531250,2.318078,900000
1987-02-03,7.562500,7.625000,7.500000,7.531250,2.318078,1131600
1987-02-04,7.500000,7.500000,7.406250,7.468750,2.298840,498800
1987-02-05,7.343750,7.531250,7.312500,7.406250,2.279604,1638800
1987-02-06,7.437500,7.531250,7.406250,7.531250,2.318078,673600
1987-02-09,7.468750,7.562500,7.406250,7.500000,2.308459,487600
1987-02-10,7.468750,7.500000,7.437500,7.468750,2.298840,300800
1987-02-11,7.468750,7.531250,7.468750,7.500000,2.308459,228000
1987-02-12,7.531250,7.593750,7.500000,7.531250,2.318078,324800
1987-02-13,7.531250,7.750000,7.531250,7.750000,2.385406,402800
1987-02-17,7.750000,7.812500,7.500000,7.500000,2.308459,933200
