Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.218750,5.312500,5.203125,5.250000,0.120775,4650400
1985-01-29,5.250000,5.390625,5.218750,5.390625,0.124010,3802400
1985-01-30,5.390625,5.406250,5.171875,5.250000,0.120775,3601600
1985-01-31,5.265625,5.359375,5.234375,5.359375,0.123291,2032800
1985-02-01,5.328125,5.328125,5.281250,5.281250,0.121494,1265600
1985-02-04,5.265625,5.343750,5.234375,5.328125,0.122572,2484800
1985-02-05,5.375000,5.406250,5.312500,5.343750,0.122931,2739200
1985-02-06,5.359375,5.359375,5.265625,5.265625,0.121134,2144000
1985-02-07,5.312500,5.359375,5.296875,5.328125,0.122572,1744000
1985-02-08,5.359375,5.421875,5.343750,5.406250,0.124369,2030400
1985-02-11,5.421875,5.437500,5.234375,5.250000,0.120775,2559200
1985-02-12,5.234375,5.343750,5.234375,5.312500,0.122212,1730400
1985-02-13,5.312500,5.437500,5.312500,5.421875,0.124729,2040000
1985-02-14,5.484375,5.625000,5.484375,5.531250,0.127245,3736000
1985-02-15,5.500000,5.546875,5.484375,5.500000,0.135083,3026400
1985-02-19,5.500000,5.515625,5.437500,5.468750,0.134316,2441600
1985-02-20,5.406250,5.406250,5.265625,5.281250,0.129711,3053600
1985-02-21,5.296875,5.312500,5.250000,5.250000,0.128943,2153600
1985-02-22,5.265625,5.281250,5.218750,5.234375,0.128559,776800
1985-02-25,5.234375,5.265625,5.218750,5.250000,0.128943,1384000
1985-02-26,5.250000,5.359375,5.234375,5.359375,0.131630,1660000
1985-02-27,5.359375,5.468750,5.312500,5.328125,0.130862,4681600
1985-02-28,5.281250,5.328125,5.156250,5.234375,0.128559,4038400
1985-03-01,5.234375,5.500000,5.234375,5.421875,0.133165,6439200
1985-03-04,5.437500,5.578125,5.437500,5.531250,0.135851,2370400
1985-03-05,5.531250,5.562500,5.437500,5.468750,0.134316,2153600
1985-03-06,5.484375,5.484375,5.390625,5.390625,0.132397,1115200
1985-03-07,5.375000,5.437500,5.343750,5.375000,0.132013,2470400
1985-03-08,5.390625,5.437500,5.312500,5.343750,0.131246,1027200
1985-03-11,5.343750,5.359375,5.296875,5.328125,0.130862,1735200
1985-03-12,5.312500,5.328125,5.203125,5.218750,0.128176,4040800
1985-03-13,5.234375,5.265625,5.109375,5.156250,0.126641,2108000
1985-03-14,5.093750,5.156250,5.031250,5.109375,0.125489,2069600
1985-03-15,5.093750,5.093750,5.000000,5.000000,0.122803,1673600
1985-03-18,5.000000,5.046875,4.968750,5.031250,0.123571,1642400
1985-03-19,5.000000,5.156250,5.000000,5.125000,0.125873,2872000
1985-03-20,5.125000,5.125000,5.015625,5.015625,0.123187,1767200
1985-03-21,5.031250,5.078125,4.953125,5.000000,0.122803,1851200
1985-03-22,5.031250,5.093750,5.000000,5.000000,0.122803,3146400
1985-03-25,5.015625,5.093750,4.984375,5.078125,0.124722,855200
1985-03-26,5.093750,5.187500,5.093750,5.171875,0.127024,3099200
1985-03-27,5.140625,5.218750,5.125000,5.156250,0.126641,900000
1985-03-28,5.140625,5.250000,5.125000,5.187500,0.127408,2119200
1985-03-29,5.187500,5.187500,5.062500,5.109375,0.125489,3926400
1985-04-01,5.015625,5.046875,4.953125,5.015625,0.123187,2910400
1985-04-02,5.000000,5.015625,4.890625,4.953125,0.121652,3084800
1985-04-03,5.000000,5.000000,4.843750,4.968750,0.122036,2539200
1985-04-04,4.937500,4.968750,4.843750,4.906250,0.120500,3072000
1985-04-08,4.906250,4.953125,4.859375,4.890625,0.120117,3431200
1985-04-09,4.890625,4.984375,4.890625,4.984375,0.122419,1141600
1985-04-10,5.000000,5.062500,4.859375,4.906250,0.120500,3332000
1985-04-11,4.937500,4.953125,4.875000,4.921875,0.120884,3080800
1985-04-12,4.906250,4.921875,4.890625,4.921875,0.120884,1925600
1985-04-15,4.921875,4.968750,4.890625,4.937500,0.121268,1462400
1985-04-16,4.890625,4.906250,4.828125,4.875000,0.119733,2952800
1985-04-17,4.859375,4.890625,4.843750,4.890625,0.120117,3058400
1985-04-18,4.875000,4.890625,4.781250,4.796875,0.117814,2432800
1985-04-19,4.828125,4.859375,4.781250,4.828125,0.118582,2068000
1985-04-22,4.906250,4.906250,4.796875,4.843750,0.118965,3196000
1985-04-23,4.843750,4.921875,4.812500,4.921875,0.120884,3764800
1985-04-24,4.921875,4.953125,4.890625,4.890625,0.120117,2856000
1985-04-25,4.906250,5.046875,4.890625,5.031250,0.123571,2033600
1985-04-26,4.984375,5.031250,4.937500,4.984375,0.122419,1585600
1985-04-29,4.953125,4.953125,4.859375,4.859375,0.119349,2176000
1985-04-30,4.859375,4.859375,4.718750,4.765625,0.117047,3140800
1985-05-01,4.812500,4.812500,4.703125,4.703125,0.115512,2189600
1985-05-02,4.671875,4.718750,4.578125,4.593750,0.112825,5746400
1985-05-03,4.625000,4.703125,4.593750,4.640625,0.113977,2493600
1985-05-06,4.640625,4.671875,4.625000,4.625000,0.113593,1050400
1985-05-07,4.640625,4.750000,4.640625,4.671875,0.114744,3185600
1985-05-08,4.656250,4.671875,4.218750,4.640625,0.113977,3570400
1985-05-09,4.625000,4.734375,4.625000,4.734375,0.116279,2958400
1985-05-10,4.750000,4.921875,4.750000,4.921875,0.120884,3928000
1985-05-13,4.953125,4.984375,4.921875,4.984375,0.122419,1716800
1985-05-14,4.984375,5.046875,4.937500,5.000000,0.122803,4495200
1985-05-15,5.015625,5.109375,5.015625,5.078125,0.124722,4398400
1985-05-16,5.109375,5.109375,5.078125,5.078125,0.124722,2082400
1985-05-17,5.046875,5.046875,4.953125,5.000000,0.122803,3802400
1985-05-20,5.109375,5.125000,4.968750,5.109375,0.134946,5300000
1985-05-21,5.125000,5.203125,5.093750,5.187500,0.137010,4174400
1985-05-22,5.125000,5.125000,5.078125,5.109375,0.134946,1551200
1985-05-23,5.109375,5.125000,5.031250,5.109375,0.134946,1603200
1985-05-24,5.078125,5.109375,5.062500,5.093750,0.134534,990400
1985-05-28,5.109375,5.171875,5.109375,5.125000,0.135359,1846400
1985-05-29,5.125000,5.140625,5.093750,5.093750,0.134534,2804800
1985-05-30,5.109375,5.296875,5.093750,5.265625,0.139073,6980800
1985-05-31,5.312500,5.500000,5.312500,5.468750,0.144438,7240000
1985-06-03,5.468750,5.468750,5.375000,5.390625,0.142375,6749600
1985-06-04,5.390625,5.515625,5.390625,5.500000,0.145263,3233600
1985-06-05,5.531250,5.609375,5.531250,5.593750,0.147739,4100000
1985-06-06,5.578125,5.593750,5.546875,5.593750,0.147739,3138400
1985-06-07,5.593750,5.609375,5.562500,5.562500,0.146914,1996000
1985-06-10,5.531250,5.546875,5.500000,5.546875,0.146501,1780800
1985-06-11,5.531250,5.562500,5.453125,5.453125,0.144025,2310400
1985-06-12,5.421875,5.453125,5.390625,5.406250,0.142787,1848000
1985-06-13,5.390625,5.421875,5.250000,5.250000,0.138661,3828000
1985-06-14,5.265625,5.296875,5.203125,5.265625,0.139073,2332000
1985-06-17,5.250000,5.281250,5.203125,5.265625,0.139073,2355200
1985-06-18,5.296875,5.343750,5.265625,5.328125,0.140724,5360000
1985-06-19,5.234375,5.265625,5.187500,5.187500,0.137010,3976800
1985-06-20,5.171875,5.187500,5.015625,5.109375,0.134946,2724800
1985-06-21,5.093750,5.171875,5.078125,5.140625,0.135772,3004000
1985-06-24,5.125000,5.125000,4.890625,5.031250,0.132883,9032000
1985-06-25,5.031250,5.125000,5.000000,5.062500,0.133708,7720000
1985-06-26,5.062500,5.109375,5.046875,5.093750,0.134534,3438400
1985-06-27,5.093750,5.234375,5.093750,5.203125,0.137423,4563200
1985-06-28,5.203125,5.218750,5.140625,5.187500,0.137010,3759200
1985-07-01,5.171875,5.281250,5.125000,5.281250,0.139486,2130400
1985-07-02,5.265625,5.359375,5.265625,5.281250,0.139486,3235200
1985-07-03,5.296875,5.312500,5.187500,5.187500,0.137010,1784800
1985-07-05,5.203125,5.234375,5.156250,5.218750,0.137835,1596800
1985-07-08,5.203125,5.265625,5.171875,5.265625,0.139073,2590400
1985-07-09,5.203125,5.296875,5.187500,5.265625,0.139073,1807200
1985-07-10,5.296875,5.359375,5.296875,5.328125,0.140724,1770400
1985-07-11,5.359375,5.406250,5.359375,5.390625,0.142375,2560800
1985-07-12,5.375000,5.437500,5.296875,5.390625,0.142375,6746400
1985-07-15,5.390625,5.562500,5.390625,5.515625,0.145676,4291200
1985-07-16,5.500000,5.593750,5.500000,5.578125,0.147327,3168800
1985-07-17,5.375000,5.437500,5.281250,5.312500,0.140311,12816000
1985-07-18,5.250000,5.312500,5.218750,5.250000,0.138661,5048000
1985-07-19,5.265625,5.406250,5.250000,5.406250,0.142787,5934400
1985-07-22,5.406250,5.500000,5.390625,5.468750,0.144438,3451200
1985-07-23,5.468750,5.484375,5.375000,5.390625,0.142375,4550400
1985-07-24,5.406250,5.437500,5.390625,5.406250,0.142787,1366400
1985-07-25,5.390625,5.406250,5.312500,5.375000,0.141962,2068000
1985-07-26,5.328125,5.343750,5.250000,5.250000,0.138661,4388800
1985-07-29,5.218750,5.218750,5.125000,5.171875,0.136597,3259200
1985-07-30,5.156250,5.187500,5.140625,5.171875,0.136597,2805600
1985-07-31,5.156250,5.203125,5.156250,5.187500,0.137010,2124800
1985-08-01,5.203125,5.343750,5.203125,5.296875,0.139899,2435200
1985-08-02,5.312500,5.312500,5.234375,5.250000,0.138661,1351200
1985-08-05,5.234375,5.234375,5.171875,5.203125,0.137423,1916000
1985-08-06,5.203125,5.234375,5.093750,5.125000,0.135359,2636000
1985-08-07,5.062500,5.187500,5.046875,5.187500,0.137010,2713600
1985-08-08,5.218750,5.265625,5.125000,5.203125,0.137423,2055200
1985-08-09,5.187500,5.250000,5.171875,5.250000,0.138661,2702400
1985-08-12,5.234375,5.250000,5.187500,5.218750,0.137835,1608000
1985-08-13,5.234375,5.234375,5.140625,5.171875,0.136597,4018400
1985-08-14,5.171875,5.203125,5.125000,5.187500,0.137010,1536800
1985-08-15,5.187500,5.218750,5.187500,5.218750,0.137835,1473600
1985-08-16,5.187500,5.218750,5.125000,5.125000,0.135359,2012000
1985-08-19,5.171875,5.171875,5.078125,5.171875,0.146622,5696000
1985-08-20,5.171875,5.171875,5.125000,5.125000,0.145293,2628800
1985-08-21,5.125000,5.187500,5.125000,5.140625,0.145736,1964800
1985-08-22,5.125000,5.140625,5.109375,5.125000,0.145293,1513600
1985-08-23,5.109375,5.109375,5.015625,5.015625,0.142192,3130400
1985-08-26,4.984375,5.031250,4.937500,4.984375,0.141306,3840800
1985-08-27,4.968750,5.078125,4.968750,5.062500,0.143521,2376000
1985-08-28,5.031250,5.031250,5.000000,5.031250,0.142635,2824800
1985-08-29,5.046875,5.062500,5.000000,5.046875,0.143078,1367200
1985-08-30,5.062500,5.062500,5.000000,5.015625,0.142192,2148000
1985-09-03,5.000000,5.031250,4.984375,5.031250,0.142635,1287200
1985-09-04,5.031250,5.046875,4.968750,5.000000,0.141749,1576800
1985-09-05,5.000000,5.000000,4.906250,4.906250,0.139091,2554400
1985-09-06,4.968750,5.015625,4.937500,4.984375,0.141306,2114400
1985-09-09,4.953125,4.953125,4.859375,4.859375,0.137762,2958400
1985-09-10,4.859375,4.859375,4.796875,4.859375,0.137762,3469600
1985-09-11,4.843750,4.906250,4.828125,4.843750,0.137319,1402400
1985-09-12,4.812500,4.812500,4.734375,4.765625,0.135105,3294400
1985-09-13,4.812500,4.812500,4.734375,4.812500,0.136434,2755200
1985-09-16,4.781250,4.859375,4.765625,4.828125,0.136876,3396800
1985-09-17,4.796875,4.828125,4.750000,4.750000,0.134662,4522400
1985-09-18,4.765625,4.781250,4.718750,4.734375,0.134219,1872000
1985-09-19,4.718750,4.750000,4.671875,4.734375,0.134219,4059200
1985-09-20,4.703125,4.734375,4.671875,4.671875,0.132447,2890400
1985-09-23,4.750000,4.843750,4.750000,4.828125,0.136876,4580800
1985-09-24,4.859375,4.875000,4.796875,4.796875,0.135991,3073600
1985-09-25,4.812500,4.828125,4.796875,4.812500,0.136434,2760000
1985-09-26,4.750000,4.781250,4.671875,4.750000,0.134662,2342400
1985-09-30,4.750000,4.781250,4.625000,4.656250,0.132004,3494400
1985-10-01,4.640625,4.671875,4.625000,4.656250,0.132004,1674400
1985-10-02,4.625000,4.671875,4.609375,4.640625,0.131561,1969600
1985-10-03,4.640625,4.796875,4.625000,4.781250,0.135548,2636800
1985-10-04,4.781250,4.843750,4.687500,4.718750,0.133776,2578400
1985-10-07,4.734375,4.750000,4.656250,4.656250,0.132004,1681600
1985-10-08,4.640625,4.671875,4.593750,4.640625,0.131561,1756800
1985-10-09,4.593750,4.656250,4.531250,4.625000,0.131118,2116800
