Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.728755,1.765537,1.728755,1.758180,0.008878,958300
1985-01-29,1.758180,1.780249,1.728755,1.765537,0.008915,1226800
1985-01-30,1.772893,1.817032,1.772893,1.802319,0.009101,958300
1985-01-31,1.802319,1.839101,1.787606,1.831744,0.009250,1658400
1985-02-01,1.831744,1.839101,1.802319,1.824388,0.009212,960000
1985-02-04,1.824388,1.868526,1.765537,1.861170,0.009398,1279500
1985-02-05,1.861170,1.905308,1.853814,1.868526,0.009435,1111300
1985-02-06,1.868526,1.897952,1.809675,1.846457,0.009324,258300
1985-02-07,1.846457,1.868526,1.824388,1.831744,0.009250,1378100
1985-02-08,1.831744,1.831744,1.809675,1.809675,0.009138,1551400
1985-02-11,1.794962,1.794962,1.728755,1.743468,0.008804,1152100
1985-02-12,1.743468,1.765537,1.736111,1.765537,0.008915,693300
1985-02-13,1.765537,1.772893,1.750824,1.765537,0.008915,1237000
1985-02-14,1.765537,1.780249,1.750824,1.772893,0.008952,1926900
1985-02-15,1.772893,1.817032,1.765537,1.817032,0.009175,98600
1985-02-19,1.817032,1.883239,1.780249,1.868526,0.009435,1243800
1985-02-20,1.868526,1.883239,1.853814,1.861170,0.009398,2620200
1985-02-21,1.861170,1.890596,1.861170,1.883239,0.009510,589600
1985-02-22,1.883239,1.890596,1.861170,1.883239,0.009510,593000
1985-02-25,1.883239,1.897952,1.868526,1.883239,0.009510,2768000
1985-02-26,1.883239,1.912665,1.883239,1.912665,0.009658,1131700
1985-02-27,1.912665,1.912665,1.897952,1.905308,0.009621,593000
1985-02-28,1.905308,1.912665,1.890596,1.905308,0.009621,445200
1985-03-01,1.905308,1.927378,1.890596,1.912665,0.009658,890400
1985-03-04,1.897952,1.897952,1.875883,1.883239,0.011140,676300
1985-03-05,1.883239,1.912665,1.861170,1.912665,0.011315,1045000
1985-03-06,1.912665,1.956803,1.897952,1.912665,0.011315,839400
1985-03-07,1.912665,1.912665,1.875883,1.890596,0.011184,788400
1985-03-08,1.875883,1.875883,1.853814,1.853814,0.010966,202200
1985-03-11,1.853814,1.868526,1.846457,1.846457,0.010923,431600
1985-03-12,1.846457,1.868526,1.839101,1.853814,0.010966,681400
1985-03-13,1.853814,1.875883,1.846457,1.875883,0.011097,387400
1985-03-14,1.868526,1.868526,1.809675,1.809675,0.010705,506400
1985-03-15,1.809675,1.839101,1.802319,1.839101,0.010879,324500
1985-03-18,1.839101,1.883239,1.817032,1.875883,0.011097,2591300
1985-03-19,1.875883,1.897952,1.846457,1.883239,0.011140,839400
1985-03-20,1.868526,1.868526,1.846457,1.868526,0.011053,739200
1985-03-21,1.868526,1.868526,1.824388,1.853814,0.010966,431600
1985-03-22,1.853814,1.868526,1.853814,1.868526,0.011053,3315100
1985-03-25,1.868526,1.875883,1.839101,1.868526,0.011053,472400
1985-03-26,1.868526,1.875883,1.853814,1.861170,0.011010,445200
1985-03-27,1.861170,1.875883,1.846457,1.853814,0.010966,256600
1985-03-28,1.853814,1.868526,1.846457,1.861170,0.011010,946500
1985-03-29,1.861170,1.890596,1.861170,1.890596,0.011184,1175800
1985-04-01,1.897952,1.920021,1.897952,1.897952,0.011228,1097700
1985-04-02,1.897952,1.905308,1.868526,1.868526,0.011053,924400
1985-04-03,1.868526,1.883239,1.853814,1.853814,0.010966,1680500
1985-04-04,1.853814,1.861170,1.846457,1.846457,0.010923,1571800
1985-04-08,1.846457,1.853814,1.817032,1.824388,0.010792,922700
1985-04-09,1.817032,1.817032,1.794962,1.802319,0.010662,1548000
1985-04-10,1.802319,1.824388,1.794962,1.824388,0.010792,414600
1985-04-11,1.824388,1.846457,1.809675,1.817032,0.010749,1079000
1985-04-12,1.817032,1.846457,1.817032,1.824388,0.010792,992300
1985-04-15,1.824388,1.846457,1.817032,1.831744,0.010836,610000
1985-04-16,1.831744,1.883239,1.831744,1.875883,0.011097,1116400
1985-04-17,1.890596,1.912665,1.890596,1.897952,0.011228,429900
1985-04-18,1.897952,1.942090,1.890596,1.920021,0.011358,1595500
1985-04-19,1.905308,1.905308,1.883239,1.883239,0.011140,1157200
1985-04-22,1.883239,1.883239,1.853814,1.853814,0.010966,1864000
1985-04-23,1.861170,1.890596,1.861170,1.890596,0.011184,980400
1985-04-24,1.890596,1.905308,1.883239,1.897952,0.011228,1085800
1985-04-25,1.897952,1.942090,1.890596,1.942090,0.011489,2387400
1985-04-26,1.934734,1.934734,1.912665,1.920021,0.011358,175000
1985-04-29,1.912665,1.912665,1.897952,1.897952,0.011228,470700
1985-04-30,1.897952,1.912665,1.861170,1.883239,0.011140,2815600
1985-05-01,1.883239,1.912665,1.875883,1.875883,0.011097,474100
1985-05-02,1.875883,1.897952,1.853814,1.883239,0.011140,270200
1985-05-03,1.883239,1.934734,1.883239,1.927378,0.011402,241300
1985-05-06,1.927378,1.934734,1.897952,1.897952,0.011228,317800
1985-05-07,1.897952,1.920021,1.883239,1.897952,0.011228,829200
1985-05-08,1.897952,1.897952,1.868526,1.890596,0.011184,712000
1985-05-09,1.890596,1.897952,1.883239,1.883239,0.011140,287200
1985-05-10,1.905308,1.942090,1.905308,1.934734,0.011445,1836800
1985-05-13,1.934734,1.942090,1.912665,1.942090,0.011489,531800
1985-05-14,1.942090,1.993585,1.942090,1.956803,0.011576,598100
1985-05-15,1.964160,2.000942,1.964160,1.986229,0.011750,594700
1985-05-16,1.986229,2.015654,1.971516,2.008298,0.011880,7787400
1985-05-17,2.008298,2.015654,2.000942,2.015654,0.011924,511500
1985-05-20,2.023011,2.089218,2.023011,2.059793,0.012185,3547900
1985-05-21,2.059793,2.118644,2.045080,2.096575,0.012402,4542000
1985-05-22,2.096575,2.096575,2.015654,2.074506,0.012272,441800
1985-05-23,2.074506,2.133357,2.059793,2.118644,0.012533,3797700
1985-05-24,2.118644,2.162782,2.103931,2.148070,0.012707,1247200
1985-05-28,2.148070,2.170139,2.133357,2.155426,0.012751,1408600
1985-05-29,2.155426,2.199564,2.148070,2.184852,0.012925,4813800
1985-05-30,2.184852,2.280485,2.184852,2.192208,0.012968,2163100
1985-05-31,2.192208,2.295198,2.177495,2.251059,0.013316,1585400
1985-06-03,2.251059,2.280485,2.192208,2.206921,0.013055,433300
1985-06-04,2.206921,2.214277,2.133357,2.199564,0.014902,2604900
1985-06-05,2.199564,2.228990,2.199564,2.206921,0.014952,1260800
1985-06-06,2.206921,2.265772,2.192208,2.258416,0.015301,1813000
1985-06-07,2.258416,2.265772,2.192208,2.199564,0.014902,1174100
1985-06-10,2.199564,2.228990,2.192208,2.192208,0.014853,654200
1985-06-11,2.192208,2.192208,2.118644,2.126000,0.014404,474100
1985-06-12,2.118644,2.118644,2.015654,2.089218,0.014155,988900
1985-06-13,2.089218,2.103931,2.059793,2.089218,0.014155,915900
1985-06-14,2.103931,2.162782,2.103931,2.148070,0.014554,671200
1985-06-17,2.140713,2.140713,2.118644,2.118644,0.014354,282100
1985-06-18,2.118644,2.155426,2.089218,2.096575,0.014205,1157200
1985-06-19,2.096575,2.118644,2.096575,2.103931,0.014255,710300
1985-06-20,2.111288,2.162782,2.111288,2.155426,0.014603,494500
1985-06-21,2.155426,2.236346,2.148070,2.236346,0.015152,771400
1985-06-24,2.221634,2.221634,2.162782,2.177495,0.014753,628700
1985-06-25,2.177495,2.214277,2.177495,2.214277,0.015002,939700
1985-06-26,2.214277,2.228990,2.206921,2.214277,0.015002,304200
1985-06-27,2.214277,2.228990,2.214277,2.221634,0.015052,299100
1985-06-28,2.221634,2.243703,2.221634,2.236346,0.015152,572600
1985-07-01,2.214277,2.251059,2.214277,2.214277,0.015002,774800
1985-07-02,2.221634,2.251059,2.221634,2.236346,0.015152,2258200
1985-07-03,2.236346,2.236346,2.177495,2.192208,0.014853,927800
1985-07-05,2.199564,2.221634,2.199564,2.221634,0.015052,435000
1985-07-08,2.199564,2.221634,2.199564,2.221634,0.015052,435000
1985-07-09,2.221634,2.221634,2.148070,2.177495,0.014753,1298200
1985-07-10,2.177495,2.206921,2.170139,2.192208,0.014853,3612500
1985-07-11,2.192208,2.258416,2.177495,2.258416,0.015301,1857200
1985-07-12,2.258416,2.273129,2.236346,2.273129,0.015401,883600
1985-07-15,2.273129,2.331980,2.258416,2.331980,0.015800,1235300
1985-07-16,2.331980,2.412900,2.331980,2.412900,0.016348,2248000
1985-07-17,2.412900,2.412900,2.383475,2.398187,0.016248,2839400
1985-07-18,2.368762,2.368762,2.339336,2.354049,0.015949,1629500
1985-07-19,2.354049,2.376118,2.339336,2.368762,0.016049,1238700
1985-07-22,2.354049,2.354049,2.317267,2.331980,0.015800,443500
1985-07-23,2.331980,2.346693,2.317267,2.324623,0.015750,2227700
1985-07-24,2.324623,2.339336,2.265772,2.265772,0.015351,1116400
1985-07-25,2.265772,2.273129,2.199564,2.236346,0.015152,2698300
1985-07-26,2.236346,2.251059,2.221634,2.236346,0.015152,261700
1985-07-29,2.236346,2.236346,2.192208,2.199564,0.014902,2285400
1985-07-30,2.199564,2.221634,2.177495,2.221634,0.015052,1677100
1985-07-31,2.221634,2.258416,2.206921,2.206921,0.014952,3631200
1985-08-01,2.206921,2.236346,2.199564,2.214277,0.015002,2924300
1985-08-02,2.214277,2.236346,2.214277,2.221634,0.015052,2363600
1985-08-05,2.221634,2.236346,2.214277,2.214277,0.015002,282100
1985-08-06,2.214277,2.236346,2.199564,2.199564,0.014902,931200
1985-08-07,2.199564,2.199564,2.162782,2.184852,0.014803,742600
1985-08-08,2.192208,2.251059,2.192208,2.251059,0.015251,985500
1985-08-09,2.251059,2.273129,2.236346,2.258416,0.015301,553900
1985-08-12,2.258416,2.258416,2.221634,2.236346,0.015152,346600
