Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.599634,1.628199,1.542505,1.628199,0.469261,394200
1985-01-29,1.628199,1.628199,1.571069,1.628199,0.469261,670800
1985-01-30,1.628199,1.628199,1.542505,1.599634,0.461029,442400
1985-01-31,1.599634,1.713894,1.571069,1.685329,0.485726,1485600
1985-02-01,1.856718,1.970978,1.856718,1.942413,0.559821,3673200
1985-02-04,1.942413,2.028108,1.942413,1.999543,0.576286,2144600
1985-02-05,1.999543,1.999543,1.913848,1.913848,0.551588,1023900
1985-02-06,1.942413,1.999543,1.913848,1.970978,0.568053,1097900
1985-02-07,1.970978,2.256627,1.942413,2.256627,0.650380,2752000
1985-02-08,2.228062,2.428016,2.199497,2.342322,0.675078,2317500
1985-02-11,2.370887,2.370887,2.199497,2.285192,0.658612,1136400
1985-02-12,2.285192,2.285192,2.113803,2.228062,0.642147,1016900
1985-02-13,2.256627,2.256627,2.170932,2.228062,0.642147,516300
1985-02-14,2.199497,2.199497,2.142367,2.170932,0.625681,680000
1985-02-15,2.142367,2.170932,2.113803,2.142367,0.617449,502300
1985-02-19,2.113803,2.142367,2.085238,2.085238,0.600984,275200
1985-02-20,2.056673,2.113803,2.028108,2.113803,0.609216,487400
1985-02-21,2.085238,2.313757,2.085238,2.256627,0.650380,1120600
1985-02-22,2.285192,2.370887,2.285192,2.342322,0.675078,1056800
1985-02-25,2.342322,2.342322,2.228062,2.285192,0.658612,480900
1985-02-26,2.285192,2.285192,2.228062,2.256627,0.650380,383700
1985-02-27,2.285192,2.370887,2.228062,2.370887,0.683310,571000
1985-02-28,2.342322,2.485146,2.342322,2.428016,0.699776,2070200
1985-03-01,2.513711,2.513711,2.313757,2.342322,0.675078,2442600
1985-03-04,2.342322,2.428016,2.313757,2.399451,0.691543,855000
1985-03-05,2.399451,2.399451,2.313757,2.313757,0.666845,497100
1985-03-06,2.342322,2.370887,2.313757,2.370887,0.683310,333800
1985-03-07,2.370887,2.370887,2.313757,2.342322,0.675078,277800
1985-03-08,2.342322,2.342322,2.256627,2.285192,0.658612,448900
1985-03-11,2.285192,2.285192,2.170932,2.199497,0.633915,620500
1985-03-12,2.256627,2.285192,2.199497,2.285192,0.658612,715900
1985-03-13,2.285192,2.285192,2.256627,2.256627,0.650380,229300
1985-03-14,2.285192,2.285192,2.228062,2.256627,0.650380,389900
1985-03-15,2.256627,2.285192,2.199497,2.228062,0.642147,636700
1985-03-18,2.228062,2.228062,2.113803,2.142367,0.617449,592000
1985-03-19,2.170932,2.170932,2.113803,2.170932,0.625681,361800
1985-03-20,2.170932,2.199497,1.970978,1.999543,0.576286,735100
1985-03-21,1.999543,2.056673,1.970978,1.999543,0.576286,341700
1985-03-22,2.028108,2.085238,2.028108,2.028108,0.584518,263800
1985-03-25,2.056673,2.056673,1.999543,2.056673,0.592751,174100
1985-03-26,2.028108,2.056673,2.028108,2.056673,0.592751,99300
1985-03-27,2.028108,2.113803,2.028108,2.113803,0.609216,268200
1985-03-28,2.142367,2.228062,2.113803,2.142367,0.617449,338200
1985-03-29,2.170932,2.228062,2.170932,2.228062,0.642147,427900
1985-04-01,2.199497,2.256627,2.199497,2.228062,0.642147,191200
1985-04-02,2.256627,2.313757,2.199497,2.228062,0.642147,547400
1985-04-03,2.199497,2.342322,2.199497,2.342322,0.675078,909700
1985-04-04,2.370887,2.513711,2.170932,2.485146,0.716240,1735000
1985-04-08,2.542276,2.542276,2.485146,2.513711,0.724473,1128100
1985-04-09,2.570841,2.599406,2.513711,2.542276,0.732706,1157800
1985-04-10,2.542276,2.627971,2.428016,2.428016,0.699776,1313200
1985-04-11,2.485146,2.570841,2.456581,2.542276,0.732706,557900
1985-04-12,2.542276,2.570841,2.513711,2.542276,0.732706,533800
1985-04-15,2.542276,2.599406,2.542276,2.570841,0.740939,598600
1985-04-16,2.570841,2.599406,2.485146,2.542276,0.732706,240600
1985-04-17,2.542276,2.770795,2.485146,2.770795,0.798568,2057500
1985-04-18,2.656536,2.685101,2.570841,2.599406,0.749172,1882100
1985-04-19,2.599406,2.685101,2.570841,2.685101,0.773869,634000
1985-04-22,2.656536,2.656536,2.570841,2.599406,0.749172,592000
1985-04-23,2.570841,2.599406,2.428016,2.485146,0.716240,650200
1985-04-24,2.513711,2.513711,2.399451,2.399451,0.691543,469100
1985-04-25,2.399451,2.513711,2.399451,2.513711,0.724473,468600
1985-04-26,2.513711,2.570841,2.456581,2.513711,0.724473,1204700
1985-04-29,2.542276,2.599406,2.513711,2.570841,0.740939,742100
1985-04-30,2.627971,2.627971,2.513711,2.542276,0.732706,800300
1985-05-01,2.542276,2.570841,2.485146,2.513711,0.724473,196000
1985-05-02,2.485146,2.570841,2.485146,2.542276,0.732706,459000
1985-05-03,2.570841,2.570841,2.485146,2.513711,0.724473,585500
1985-05-06,2.513711,2.513711,2.456581,2.485146,0.716240,539900
