Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,6.062500,6.145833,6.062500,6.145833,0.592001,80400
1985-01-29,6.145833,6.250000,6.135417,6.208333,0.598022,705600
1985-01-30,6.208333,6.239583,6.187500,6.208333,0.598022,99600
1985-01-31,6.208333,6.208333,6.177083,6.187500,0.596014,30000
1985-02-01,6.187500,6.208333,6.156250,6.208333,0.598022,501600
1985-02-04,6.208333,6.208333,6.166667,6.208333,0.598022,74400
1985-02-05,6.208333,6.208333,6.177083,6.187500,0.596014,33600
1985-02-06,6.208333,6.229167,6.208333,6.229167,0.600028,7200
1985-02-07,6.229167,6.312500,6.187500,6.270833,0.604042,163200
1985-02-08,6.270833,6.302083,6.229167,6.229167,0.600028,177600
1985-02-11,6.229167,6.229167,6.187500,6.187500,0.596014,321600
1985-02-12,6.197917,6.250000,6.197917,6.197917,0.597018,202800
1985-02-13,6.197917,6.250000,6.197917,6.250000,0.602035,211200
1985-02-14,6.250000,6.250000,6.218750,6.229167,0.600028,27600
1985-02-15,6.208333,6.208333,6.187500,6.208333,0.673683,8400
1985-02-19,6.229167,6.250000,6.229167,6.250000,0.678204,7200
1985-02-20,6.281250,6.385417,6.281250,6.385417,0.692899,129600
1985-02-21,6.385417,6.416667,6.375000,6.395833,0.694030,50400
1985-02-22,6.395833,6.395833,6.385417,6.395833,0.694030,14400
1985-02-25,6.385417,6.385417,6.364583,6.364583,0.690638,32400
1985-02-26,6.385417,6.416667,6.385417,6.416667,0.696290,7200
1985-02-27,6.427083,6.437500,6.427083,6.427083,0.697420,25200
1985-02-28,6.427083,6.427083,6.427083,6.427083,0.697420,2400
1985-03-01,6.447917,6.500000,6.447917,6.447917,0.699681,88800
1985-03-04,6.447917,6.489583,6.447917,6.479167,0.703072,18000
1985-03-05,6.479167,6.479167,6.458333,6.479167,0.703072,4800
1985-03-06,6.458333,6.458333,6.447917,6.447917,0.699681,36000
1985-03-07,6.447917,6.458333,6.427083,6.437500,0.698551,44400
1985-03-08,6.437500,6.458333,6.427083,6.458333,0.700811,39600
1985-03-11,6.458333,6.468750,6.427083,6.447917,0.699681,27600
1985-03-12,6.437500,6.437500,6.416667,6.427083,0.697420,30000
1985-03-13,6.427083,6.437500,6.385417,6.385417,0.692899,18000
1985-03-14,6.385417,6.416667,6.375000,6.406250,0.695159,48000
1985-03-15,6.385417,6.385417,6.354167,6.354167,0.689507,21600
1985-03-18,6.333333,6.333333,6.260417,6.260417,0.679335,36000
1985-03-19,6.260417,6.312500,6.260417,6.312500,0.684986,20400
1985-03-20,6.312500,6.312500,6.187500,6.291667,0.682726,100800
1985-03-21,6.291667,6.406250,6.270833,6.406250,0.695159,80400
1985-03-22,6.406250,6.479167,6.395833,6.437500,0.698551,147600
1985-03-25,6.437500,6.437500,6.385417,6.406250,0.695159,32400
1985-03-26,6.406250,6.458333,6.385417,6.458333,0.700811,16800
1985-03-27,6.437500,6.437500,6.437500,6.437500,0.698551,6000
1985-03-28,6.437500,6.500000,6.416667,6.458333,0.700811,64800
1985-03-29,6.447917,6.447917,6.416667,6.416667,0.696290,34800
1985-04-01,6.416667,6.416667,6.416667,6.416667,0.696290,4800
1985-04-02,6.395833,6.395833,6.375000,6.395833,0.694030,100800
1985-04-03,6.395833,6.395833,6.333333,6.354167,0.689507,25200
1985-04-04,6.354167,6.375000,6.333333,6.333333,0.687247,7200
1985-04-08,6.333333,6.375000,6.302083,6.375000,0.691768,56400
1985-04-09,6.375000,6.375000,6.260417,6.260417,0.679335,614400
1985-04-10,6.260417,6.312500,6.250000,6.312500,0.684986,91200
1985-04-11,6.312500,6.333333,6.302083,6.302083,0.683856,25200
1985-04-12,6.302083,6.312500,6.291667,6.291667,0.682726,70800
1985-04-15,6.291667,6.291667,6.208333,6.229167,0.675943,43200
1985-04-16,6.229167,6.270833,6.187500,6.229167,0.675943,334800
1985-04-17,6.208333,6.208333,6.187500,6.197917,0.672553,37200
1985-04-18,6.197917,6.208333,6.177083,6.197917,0.672553,92400
1985-04-19,6.218750,6.250000,6.218750,6.250000,0.678204,6000
1985-04-22,6.250000,6.250000,6.177083,6.208333,0.673683,44400
1985-04-23,6.187500,6.187500,6.166667,6.166667,0.669162,37200
1985-04-24,6.166667,6.166667,6.135417,6.135417,0.665770,22800
1985-04-25,6.156250,6.197917,6.156250,6.197917,0.672553,40800
1985-04-26,6.177083,6.177083,6.166667,6.166667,0.669162,34800
1985-04-29,6.166667,6.166667,6.135417,6.156250,0.668031,13200
1985-04-30,6.156250,6.187500,6.145833,6.187500,0.671422,25200
1985-05-01,6.187500,6.187500,6.166667,6.187500,0.671422,4800
1985-05-02,6.166667,6.166667,6.114583,6.114583,0.663510,73200
1985-05-03,6.104167,6.104167,6.083333,6.104167,0.662379,36000
1985-05-06,6.104167,6.125000,6.104167,6.104167,0.662379,8400
1985-05-07,6.083333,6.083333,6.041667,6.062500,0.657858,14400
1985-05-08,6.062500,6.062500,6.041667,6.041667,0.655598,127200
1985-05-09,6.020833,6.020833,6.020833,6.020833,0.653337,121200
1985-05-10,6.020833,6.020833,5.937500,5.979167,0.648815,153600
