Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,8.993228,9.189955,8.993228,9.105643,0.386938,1690900
1985-01-29,9.105643,9.189955,9.077539,9.175902,0.389923,2284200
1985-01-30,9.175902,9.260214,9.175902,9.260214,0.393506,1490700
1985-01-31,9.260214,9.274266,9.218059,9.246162,0.392909,1524500
1985-02-01,9.232110,9.302370,9.232110,9.232110,0.392312,2789500
1985-02-04,9.232110,9.232110,9.175902,9.204006,0.391118,2483400
1985-02-05,9.189955,9.189955,9.105643,9.133747,0.388132,2334000
1985-02-06,9.133747,9.274266,9.105643,9.189955,0.390520,2617700
1985-02-07,9.204006,9.274266,9.204006,9.204006,0.391118,1753200
1985-02-08,9.204006,9.274266,9.204006,9.232110,0.392312,1144600
1985-02-11,9.232110,9.288318,9.218059,9.260214,0.393506,594100
1985-02-12,9.260214,9.316422,9.218059,9.302370,0.395297,277400
1985-02-13,9.302370,9.485044,9.302370,9.456941,0.401866,1180300
1985-02-14,9.456941,9.470993,9.358578,9.414785,0.400074,983600
1985-02-15,9.414785,9.527201,9.386682,9.456941,0.401866,839600
1985-02-19,9.485044,9.513148,9.485044,9.499097,0.403657,822600
1985-02-20,9.499097,9.541252,9.456941,9.485044,0.403060,1391200
1985-02-21,9.485044,9.485044,9.358578,9.386682,0.398880,1146500
1985-02-22,9.400733,9.470993,9.400733,9.414785,0.400074,1010300
1985-02-25,9.414785,9.414785,9.344525,9.386682,0.398880,478400
1985-02-26,9.386682,9.456941,9.386682,9.414785,0.400074,2577800
1985-02-27,9.414785,9.428837,9.386682,9.400733,0.399477,1072700
1985-02-28,9.386682,9.386682,9.316422,9.344525,0.397089,716900
1985-03-01,9.344525,9.372629,9.330474,9.344525,0.397089,986300
1985-03-04,9.344525,9.386682,9.288318,9.344525,0.397089,1359200
1985-03-05,9.344525,9.386682,9.260214,9.288318,0.394700,1196300
1985-03-06,9.288318,9.302370,9.232110,9.232110,0.392312,918700
1985-03-07,9.232110,9.288318,9.161851,9.260214,0.393506,1344000
1985-03-08,9.260214,9.288318,9.218059,9.246162,0.392909,759400
1985-03-11,9.246162,9.288318,9.246162,9.274266,0.394103,877000
1985-03-12,9.274266,9.302370,9.260214,9.302370,0.395297,918700
1985-03-13,9.302370,9.372629,9.260214,9.316422,0.395894,815600
1985-03-14,9.316422,9.400733,9.274266,9.386682,0.398880,1553000
1985-03-15,9.386682,9.485044,9.344525,9.344525,0.397089,1881200
1985-03-18,9.344525,9.400733,9.330474,9.372629,0.398283,658100
1985-03-19,9.372629,9.555305,9.372629,9.541252,0.405449,2849100
1985-03-20,9.541252,9.569356,9.485044,9.485044,0.403060,807600
1985-03-21,9.485044,9.541252,9.442889,9.485044,0.403060,816500
1985-03-22,9.485044,9.541252,9.456941,9.541252,0.405449,1661600
1985-03-25,9.414785,9.414785,9.330474,9.358578,0.405814,857400
1985-03-26,9.358578,9.372629,9.288318,9.288318,0.402768,686600
1985-03-27,9.288318,9.344525,9.274266,9.302370,0.403377,1200700
1985-03-28,9.302370,9.358578,9.274266,9.358578,0.405814,858300
1985-03-29,9.344525,9.344525,9.316422,9.344525,0.405205,687500
1985-04-01,9.344525,9.400733,9.344525,9.400733,0.407642,453500
1985-04-02,9.400733,9.513148,9.400733,9.470993,0.410689,641200
1985-04-03,9.400733,9.400733,9.330474,9.344525,0.405205,1126000
1985-04-04,9.344525,9.414785,9.330474,9.358578,0.405814,973100
1985-04-08,9.358578,9.400733,9.302370,9.302370,0.403377,942700
1985-04-09,9.302370,9.330474,9.274266,9.288318,0.402768,393100
1985-04-10,9.358578,9.442889,9.358578,9.372629,0.406423,748000
1985-04-11,9.386682,9.527201,9.386682,9.485044,0.411298,948100
1985-04-12,9.499097,9.583408,9.442889,9.541252,0.413736,728400
1985-04-15,9.541252,9.555305,9.499097,9.527201,0.413126,777300
1985-04-16,9.527201,9.611512,9.513148,9.569356,0.414954,710600
1985-04-17,9.569356,9.597460,9.499097,9.555305,0.414345,657200
1985-04-18,9.555305,9.555305,9.442889,9.499097,0.411907,520300
1985-04-19,9.499097,9.625564,9.485044,9.597460,0.416173,474000
1985-04-22,9.597460,9.653667,9.555305,9.653667,0.418610,349500
1985-04-23,9.653667,9.723927,9.625564,9.681771,0.419829,514000
1985-04-24,9.681771,9.752031,9.653667,9.737979,0.422266,322800
1985-04-25,9.737979,9.808239,9.695824,9.808239,0.425313,652800
1985-04-26,9.808239,9.892550,9.780135,9.822290,0.425922,878700
1985-04-29,9.822290,9.836343,9.723927,9.836343,0.426531,1118000
1985-04-30,9.822290,9.822290,9.737979,9.794187,0.424703,887600
1985-05-01,9.794187,9.864447,9.780135,9.780135,0.424094,1797700
1985-05-02,9.752031,9.752031,9.681771,9.737979,0.422266,342300
1985-05-03,9.752031,9.836343,9.752031,9.794187,0.424703,922300
1985-05-06,9.794187,9.794187,9.681771,9.709875,0.421047,620700
1985-05-07,9.709875,9.723927,9.625564,9.625564,0.417392,760500
1985-05-08,9.625564,9.681771,9.611512,9.653667,0.418610,1087800
1985-05-09,9.639616,9.695824,9.639616,9.639616,0.418001,625300
1985-05-10,9.653667,9.766083,9.653667,9.695824,0.420438,1050400
1985-05-13,9.695824,9.766083,9.653667,9.752031,0.422876,705300
1985-05-14,9.752031,9.794187,9.709875,9.794187,0.424703,484700
1985-05-15,9.794187,9.822290,9.752031,9.808239,0.425313,549600
1985-05-16,9.808239,9.906602,9.794187,9.878498,0.428359,810300
1985-05-17,9.892550,10.187640,9.892550,10.173589,0.441155,1016600
1985-05-20,10.173589,10.215744,10.061173,10.061173,0.436281,1255900
1985-05-21,10.061173,10.089277,9.892550,10.004966,0.433843,1801200
1985-05-22,10.004966,10.019017,9.836343,9.892550,0.428969,1251500
1985-05-23,9.892550,9.892550,9.836343,9.836343,0.426531,442000
1985-05-24,9.836343,9.976862,9.822290,9.948758,0.431406,792500
1985-05-28,9.948758,10.033070,9.948758,9.948758,0.431406,473000
1985-05-29,9.934706,9.934706,9.864447,9.906602,0.429578,838700
1985-05-30,9.920654,10.019017,9.920654,10.004966,0.433843,586100
1985-05-31,10.004966,10.117381,10.004966,10.103329,0.438109,1095800
1985-06-03,10.103329,10.215744,10.103329,10.173589,0.441155,852900
1985-06-04,10.201693,10.300056,10.201693,10.257900,0.444812,617200
1985-06-05,10.286004,10.370316,10.286004,10.300056,0.446640,562100
1985-06-06,10.300056,10.384367,10.229796,10.356263,0.449077,736400
1985-06-07,10.356263,10.510835,10.356263,10.426523,0.452123,879700
1985-06-10,10.370316,10.370316,10.257900,10.314108,0.447249,823500
1985-06-11,10.314108,10.370316,10.271952,10.271952,0.445421,883200
