Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.500000,8.000000,7.437500,7.500000,6.759676,6212400
1995-06-19,7.562500,7.625000,7.062500,7.187500,6.478022,1528200
1995-06-20,7.250000,7.312500,7.187500,7.187500,6.478022,863000
1995-06-21,7.250000,7.250000,7.000000,7.062500,6.365362,629000
1995-06-22,7.062500,7.562500,7.000000,7.312500,6.590688,546200
1995-06-23,7.375000,7.437500,7.250000,7.312500,6.590688,365000
1995-06-26,7.312500,7.375000,7.000000,7.062500,6.365362,515400
1995-06-27,7.125000,7.125000,7.000000,7.000000,6.309032,270800
1995-06-28,7.062500,7.062500,7.000000,7.000000,6.309032,500400
1995-06-29,7.000000,7.125000,7.000000,7.000000,6.309032,309200
1995-06-30,7.062500,7.187500,7.062500,7.125000,6.421694,95000
1995-07-03,7.062500,7.125000,7.062500,7.062500,6.365362,9200
1995-07-05,7.125000,7.125000,7.062500,7.062500,6.365362,75600
1995-07-06,7.062500,7.125000,7.062500,7.062500,6.365362,81400
1995-07-07,7.062500,7.625000,7.062500,7.562500,6.816009,475000
1995-07-10,7.500000,7.750000,7.500000,7.750000,6.985000,241400
1995-07-11,7.625000,8.562500,7.625000,8.500000,7.660970,538600
1995-07-12,8.500000,9.062500,8.375000,9.000000,8.111608,496200
1995-07-13,9.000000,9.000000,8.812500,8.937500,8.055281,384000
1995-07-14,8.937500,8.937500,8.750000,8.937500,8.055281,102200
1995-07-17,9.062500,9.500000,9.062500,9.437500,8.505925,480200
1995-07-18,9.437500,9.437500,9.000000,9.062500,8.167946,359200
1995-07-19,9.000000,9.000000,8.812500,8.875000,7.998952,101600
1995-07-20,8.750000,8.750000,8.437500,8.687500,7.829965,119600
1995-07-21,8.750000,8.750000,8.687500,8.687500,7.829965,13000
1995-07-24,8.687500,8.812500,8.562500,8.562500,7.717299,112000
1995-07-25,8.562500,8.812500,8.562500,8.750000,7.886292,201000
1995-07-26,8.875000,9.187500,8.875000,9.125000,8.224270,287800
1995-07-27,9.187500,9.375000,9.187500,9.312500,8.393268,101600
1995-07-28,9.375000,9.437500,9.312500,9.312500,8.393268,100400
1995-07-31,9.375000,9.375000,9.062500,9.250000,8.336939,60800
1995-08-01,9.187500,9.187500,9.000000,9.062500,8.167946,57600
1995-08-02,9.000000,9.000000,8.875000,8.875000,7.998952,41000
1995-08-03,8.812500,8.812500,8.750000,8.750000,7.886292,12600
1995-08-04,8.625000,8.687500,8.562500,8.625000,7.773626,9000
1995-08-07,8.562500,8.750000,8.562500,8.687500,7.829965,12200
1995-08-08,8.625000,8.687500,8.562500,8.562500,7.717299,3200
1995-08-09,8.437500,8.437500,8.187500,8.187500,7.379315,24000
1995-08-10,8.250000,8.250000,8.125000,8.125000,7.322982,6800
1995-08-11,8.125000,8.125000,8.125000,8.125000,7.322982,10000
1995-08-14,8.062500,8.125000,7.937500,8.000000,7.210321,28200
1995-08-15,8.000000,8.062500,8.000000,8.000000,7.210321,9400
1995-08-16,8.062500,8.250000,8.062500,8.187500,7.379315,11800
1995-08-17,8.187500,8.312500,8.187500,8.250000,7.435643,6200
1995-08-18,8.375000,8.375000,8.250000,8.250000,7.435643,9800
1995-08-21,8.250000,8.437500,8.250000,8.375000,7.548312,8600
1995-08-22,8.312500,8.437500,8.312500,8.437500,7.604632,12400
1995-08-23,8.500000,8.687500,8.500000,8.562500,7.717299,28800
1995-08-24,8.625000,8.750000,8.625000,8.750000,7.886292,16200
1995-08-25,8.625000,8.625000,8.562500,8.562500,7.717299,30200
1995-08-28,8.562500,8.562500,8.437500,8.437500,7.604632,9200
1995-08-29,8.375000,8.375000,8.187500,8.187500,7.379315,9200
1995-08-30,8.250000,8.250000,8.187500,8.187500,7.379315,1400
1995-08-31,8.125000,8.187500,8.125000,8.125000,7.322982,13800
1995-09-01,8.000000,8.062500,8.000000,8.062500,7.266655,9200
1995-09-05,8.000000,8.062500,8.000000,8.000000,7.210321,12200
1995-09-06,7.937500,8.062500,7.812500,7.812500,7.041330,23400
1995-09-07,7.812500,7.875000,7.625000,7.750000,6.985000,48800
1995-09-08,7.750000,8.000000,7.750000,7.937500,7.153992,140200
1995-09-11,7.937500,7.937500,7.812500,7.875000,7.097661,104000
1995-09-12,7.937500,8.000000,7.937500,8.000000,7.210321,11000
1995-09-13,8.125000,8.125000,7.812500,7.812500,7.041330,14600
1995-09-14,7.625000,7.812500,7.625000,7.812500,7.041330,14800
1995-09-15,7.750000,7.750000,7.687500,7.750000,6.985000,6200
1995-09-18,7.750000,7.750000,7.500000,7.500000,6.759676,41600
1995-09-19,7.562500,7.625000,7.500000,7.500000,6.759676,5000
1995-09-20,7.500000,7.500000,7.187500,7.250000,6.534354,20800
1995-09-21,7.187500,7.375000,7.125000,7.375000,6.647015,61000
1995-09-22,7.437500,7.500000,7.375000,7.375000,6.647015,53400
1995-09-25,7.437500,7.500000,7.312500,7.312500,6.590688,28200
1995-09-26,7.250000,7.375000,7.125000,7.312500,6.590688,265000
1995-09-27,7.312500,7.312500,7.062500,7.062500,6.365362,95200
1995-09-28,7.125000,7.187500,7.062500,7.187500,6.478022,68600
1995-09-29,7.125000,7.187500,7.125000,7.187500,6.478022,12200
1995-10-02,7.187500,7.187500,7.062500,7.125000,6.421694,77400
1995-10-03,7.125000,7.125000,6.750000,6.750000,6.083711,141400
1995-10-04,6.625000,6.625000,6.562500,6.562500,5.914718,49000
1995-10-05,6.437500,7.375000,6.437500,7.375000,6.647015,180400
1995-10-06,7.562500,7.562500,7.437500,7.562500,6.816009,64800
1995-10-09,7.500000,7.500000,7.312500,7.312500,6.590688,46200
1995-10-10,7.312500,7.312500,7.250000,7.312500,6.590688,22800
1995-10-11,7.312500,7.312500,7.312500,7.312500,6.590688,3400
1995-10-12,7.375000,7.437500,7.312500,7.375000,6.647015,20200
1995-10-13,7.437500,7.500000,7.437500,7.500000,6.759676,6800
1995-10-16,7.500000,7.500000,7.437500,7.437500,6.703347,7400
1995-10-17,7.437500,7.500000,7.250000,7.312500,6.590688,264800
1995-10-18,7.250000,7.250000,6.750000,6.750000,6.083711,54400
1995-10-19,6.750000,6.875000,6.625000,6.750000,6.083711,108800
1995-10-20,6.750000,6.750000,6.500000,6.500000,5.858387,17000
1995-10-23,6.312500,6.437500,6.250000,6.312500,5.689396,414800
1995-10-24,6.312500,6.375000,6.250000,6.250000,5.633064,174400
1995-10-25,6.312500,6.375000,6.187500,6.375000,5.745726,941600
1995-10-26,6.437500,6.437500,6.187500,6.187500,5.576736,50000
1995-10-27,6.187500,6.187500,6.000000,6.000000,5.407744,64400
1995-10-30,6.000000,6.000000,5.062500,5.125000,4.619114,244400
1995-10-31,5.125000,5.125000,4.312500,4.375000,3.943146,1446200
1995-11-01,4.375000,4.562500,4.312500,4.500000,4.055804,787000
1995-11-02,4.500000,4.687500,4.500000,4.687500,4.224798,427800
1995-11-03,4.750000,5.125000,4.687500,5.125000,4.619114,153400
1995-11-06,5.250000,5.312500,4.812500,4.875000,4.393787,100200
1995-11-07,4.875000,4.937500,4.812500,4.875000,4.393787,32600
1995-11-08,4.937500,5.000000,4.875000,4.937500,4.450121,60800
1995-11-09,5.000000,5.000000,4.750000,4.750000,4.281130,37200
1995-11-10,4.750000,4.812500,4.562500,4.562500,4.112135,71400
1995-11-13,4.562500,4.562500,4.375000,4.437500,4.008259,59200
1995-11-14,4.500000,4.687500,4.437500,4.500000,4.064716,82600
1995-11-15,4.437500,4.562500,4.437500,4.500000,4.064716,21400
1995-11-16,4.500000,4.562500,4.437500,4.562500,4.121170,19400
1995-11-17,4.562500,4.562500,4.437500,4.437500,4.008259,23400
1995-11-20,4.500000,4.625000,4.437500,4.562500,4.121170,29200
1995-11-21,4.625000,4.625000,4.437500,4.625000,4.177625,50200
1995-11-22,4.625000,4.687500,4.500000,4.562500,4.121170,70600
1995-11-24,4.562500,4.562500,4.500000,4.562500,4.121170,22400
1995-11-27,4.625000,4.625000,4.500000,4.500000,4.064716,151200
1995-11-28,4.437500,4.562500,4.375000,4.562500,4.121170,590800
1995-11-29,4.625000,4.625000,4.562500,4.625000,4.177625,18800
1995-11-30,4.687500,4.750000,4.625000,4.625000,4.177625,137400
1995-12-01,4.625000,4.687500,4.625000,4.687500,4.234080,145200
1995-12-04,4.625000,4.687500,4.625000,4.687500,4.234080,15800
1995-12-05,4.687500,4.687500,4.437500,4.437500,4.008259,36200
1995-12-06,4.437500,4.500000,4.312500,4.312500,3.895351,41400
1995-12-07,4.375000,4.500000,4.312500,4.500000,4.064716,124800
1995-12-08,4.437500,4.500000,4.375000,4.437500,4.008259,68600
1995-12-11,4.375000,4.437500,4.375000,4.375000,3.951806,36600
1995-12-12,4.437500,4.500000,4.437500,4.437500,4.008259,29800
1995-12-13,4.437500,4.437500,4.375000,4.375000,3.951806,72400
1995-12-14,4.437500,4.437500,4.312500,4.375000,3.951806,400200
1995-12-15,4.312500,4.375000,4.312500,4.375000,3.951806,39400
1995-12-18,4.500000,4.625000,4.437500,4.500000,4.064716,202400
1995-12-19,4.500000,4.812500,4.437500,4.812500,4.346986,232400
1995-12-20,4.812500,4.875000,4.687500,4.750000,4.290534,182000
1995-12-21,4.750000,4.750000,4.625000,4.687500,4.234080,377400
1995-12-22,4.687500,4.750000,4.625000,4.687500,4.234080,253800
1995-12-26,4.750000,4.750000,4.625000,4.687500,4.234080,386800
1995-12-27,4.750000,5.125000,4.687500,5.125000,4.629261,476600
1995-12-28,5.125000,5.375000,5.062500,5.250000,4.742167,366800
1995-12-29,5.312500,5.375000,5.250000,5.312500,4.798622,171600
1996-01-02,5.312500,5.375000,5.125000,5.187500,4.685712,88600
1996-01-03,5.187500,5.187500,4.875000,5.000000,4.516353,101400
1996-01-04,4.937500,5.062500,4.937500,5.000000,4.516353,122600
1996-01-05,5.000000,5.000000,4.875000,5.000000,4.516353,67800
1996-01-08,5.000000,5.000000,4.937500,4.937500,4.459898,82600
1996-01-09,5.000000,5.000000,4.812500,4.812500,4.346986,177400
1996-01-10,4.875000,4.875000,4.687500,4.687500,4.234080,110400
1996-01-11,4.750000,4.750000,4.625000,4.750000,4.290534,58000
1996-01-12,4.750000,4.750000,4.625000,4.687500,4.234080,73200
1996-01-15,4.750000,4.750000,4.687500,4.750000,4.290534,74000
1996-01-16,4.687500,4.750000,4.625000,4.625000,4.177625,56800
1996-01-17,4.687500,4.687500,4.625000,4.625000,4.177625,64800
1996-01-18,4.562500,4.562500,4.437500,4.562500,4.121170,122800
1996-01-19,4.500000,4.625000,4.437500,4.562500,4.121170,64400
1996-01-22,4.625000,4.687500,4.562500,4.625000,4.177625,38000
1996-01-23,4.625000,4.687500,4.625000,4.687500,4.234080,51600
1996-01-24,4.625000,4.625000,4.562500,4.625000,4.177625,58800
1996-01-25,4.625000,4.625000,4.500000,4.562500,4.121170,73600
1996-01-26,4.562500,4.625000,4.500000,4.562500,4.121170,31600
1996-01-29,4.625000,4.625000,4.562500,4.625000,4.177625,118600
1996-01-30,4.625000,4.750000,4.625000,4.750000,4.290534,125000
1996-01-31,4.750000,4.750000,4.625000,4.625000,4.177625,62000
1996-02-01,4.625000,4.625000,4.562500,4.625000,4.177625,53600
1996-02-02,4.562500,4.625000,4.500000,4.625000,4.177625,105600
1996-02-05,4.625000,4.625000,4.500000,4.562500,4.121170,427800
1996-02-06,4.562500,4.625000,4.500000,4.625000,4.177625,124200
1996-02-07,4.687500,4.937500,4.687500,4.875000,4.403441,349600
1996-02-08,4.937500,5.000000,4.875000,4.937500,4.459898,295000
1996-02-09,4.937500,5.000000,4.812500,4.875000,4.403441,115200
1996-02-12,4.875000,5.125000,4.875000,5.062500,4.572806,73600
1996-02-13,5.000000,5.250000,5.000000,5.250000,4.742167,131800
1996-02-14,5.312500,5.375000,5.250000,5.312500,4.798622,64200
1996-02-15,5.375000,5.375000,5.250000,5.250000,4.742167,91200
1996-02-16,5.312500,5.625000,5.250000,5.562500,5.024440,146400
1996-02-20,5.687500,5.750000,5.500000,5.625000,5.080895,202600
1996-02-21,5.750000,5.812500,5.562500,5.625000,5.080895,79600
1996-02-22,5.750000,6.062500,5.750000,5.875000,5.306714,390600
1996-02-23,5.937500,5.937500,5.812500,5.937500,5.363168,99000
1996-02-26,5.937500,5.937500,5.750000,5.750000,5.193803,181800
1996-02-27,5.812500,5.875000,5.687500,5.750000,5.193803,44000
1996-02-28,5.750000,5.750000,5.625000,5.687500,5.137349,44200
1996-02-29,5.687500,5.750000,5.625000,5.750000,5.193803,30800
1996-03-01,5.750000,5.875000,5.750000,5.750000,5.193803,42800
1996-03-04,5.750000,5.937500,5.750000,5.812500,5.250257,170200
1996-03-05,5.812500,5.812500,5.750000,5.812500,5.259306,82000
1996-03-06,5.812500,5.812500,5.500000,5.562500,5.033098,75000
1996-03-07,5.625000,5.625000,5.500000,5.500000,4.976548,55600
1996-03-08,5.375000,5.437500,5.125000,5.187500,4.693788,122800
1996-03-11,5.125000,5.312500,5.062500,5.312500,4.806893,121200
1996-03-12,5.250000,5.437500,5.187500,5.312500,4.806893,201600
1996-03-13,5.375000,5.625000,5.375000,5.437500,4.919993,362000
1996-03-14,5.500000,5.500000,5.375000,5.375000,4.863445,83400
1996-03-15,5.375000,5.375000,5.250000,5.250000,4.750341,72400
1996-03-18,5.250000,5.500000,5.250000,5.500000,4.976548,151800
1996-03-19,5.500000,5.500000,5.312500,5.312500,4.806893,131600
1996-03-20,5.312500,5.375000,5.312500,5.312500,4.806893,86200
1996-03-21,5.375000,5.437500,5.312500,5.312500,4.806893,19800
1996-03-22,5.312500,5.437500,5.312500,5.437500,4.919993,38200
1996-03-25,5.437500,5.437500,5.312500,5.375000,4.863445,38200
1996-03-26,5.312500,5.437500,5.312500,5.437500,4.919993,78000
1996-03-27,5.500000,5.500000,5.437500,5.500000,4.976548,86200
1996-03-28,5.437500,5.500000,5.437500,5.437500,4.919993,99400
1996-03-29,5.375000,5.375000,5.375000,5.375000,4.863445,66000
1996-04-01,5.437500,5.437500,5.375000,5.375000,4.863445,196800
1996-04-02,5.437500,5.500000,5.375000,5.437500,4.919993,132600
1996-04-03,5.437500,5.500000,5.375000,5.437500,4.919993,103000
1996-04-04,5.437500,5.437500,5.375000,5.375000,4.863445,34800
1996-04-08,5.312500,5.375000,5.312500,5.375000,4.863445,45000
1996-04-09,5.437500,5.437500,5.375000,5.437500,4.919993,22000
1996-04-10,5.375000,5.437500,5.375000,5.375000,4.863445,31000
1996-04-11,5.437500,5.562500,5.375000,5.562500,5.033098,46600
1996-04-12,5.500000,5.937500,5.500000,5.812500,5.259306,93000
1996-04-15,5.875000,5.875000,5.750000,5.750000,5.202755,17600
1996-04-16,5.812500,5.937500,5.812500,5.875000,5.315858,48000
1996-04-17,5.875000,5.875000,5.750000,5.750000,5.202755,85400
1996-04-18,5.687500,5.937500,5.687500,5.875000,5.315858,31200
1996-04-19,5.937500,6.375000,5.875000,6.187500,5.598615,127400
1996-04-22,6.312500,6.812500,6.250000,6.437500,5.824824,201400
1996-04-23,6.625000,6.687500,6.437500,6.500000,5.881374,142800
1996-04-24,6.500000,6.500000,6.250000,6.312500,5.711719,106600
1996-04-25,6.187500,6.562500,6.187500,6.500000,5.881374,341600
1996-04-26,6.750000,6.875000,6.625000,6.812500,6.164135,96600
1996-04-29,6.750000,6.812500,6.750000,6.750000,6.107583,102800
1996-04-30,6.687500,7.062500,6.437500,7.062500,6.390338,105800
1996-05-01,7.000000,7.000000,6.875000,6.875000,6.220684,77200
1996-05-02,6.812500,6.812500,6.437500,6.437500,5.824824,127800
1996-05-03,6.500000,6.562500,6.437500,6.562500,5.937924,47400
1996-05-06,6.500000,6.562500,6.500000,6.562500,5.937924,15000
1996-05-07,6.625000,6.687500,6.500000,6.625000,5.994475,26000
1996-05-08,6.562500,6.562500,6.500000,6.562500,5.937924,63400
1996-05-09,6.500000,6.562500,6.437500,6.437500,5.824824,32800
1996-05-10,6.437500,6.500000,6.437500,6.437500,5.824824,12800
1996-05-13,6.312500,6.500000,6.125000,6.437500,5.833884,108000
1996-05-14,6.500000,6.500000,6.187500,6.375000,5.777247,54800
1996-05-15,6.375000,6.437500,6.375000,6.375000,5.777247,6600
1996-05-16,6.375000,6.437500,6.312500,6.312500,5.720605,14000
1996-05-17,6.250000,6.437500,6.250000,6.375000,5.777247,21400
1996-05-20,6.250000,6.250000,6.125000,6.187500,5.607326,195800
1996-05-21,6.125000,6.312500,6.125000,6.250000,5.663965,103200
1996-05-22,6.312500,6.750000,6.312500,6.562500,5.947165,123600
1996-05-23,6.500000,6.625000,6.500000,6.500000,5.890525,23200
1996-05-24,6.500000,6.625000,6.500000,6.562500,5.947165,181800
