Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1.542969,1.542969,1.515625,1.523438,0.092008,2636800
1985-01-29,1.523438,1.531250,1.519531,1.531250,0.092480,1251200
1985-01-30,1.539063,1.554688,1.539063,1.542969,0.093188,2243200
1985-01-31,1.542969,1.554688,1.531250,1.539063,0.092952,848000
1985-02-01,1.546875,1.562500,1.546875,1.562500,0.094367,2505600
1985-02-04,1.562500,1.613281,1.550781,1.609375,0.097198,1027200
1985-02-05,1.617188,1.656250,1.617188,1.644531,0.099321,3587200
1985-02-06,1.644531,1.664063,1.632813,1.664063,0.100501,2688000
1985-02-07,1.664063,1.687500,1.660156,1.675781,0.101209,1472000
1985-02-08,1.675781,1.695313,1.671875,1.671875,0.100973,976000
1985-02-11,1.656250,1.656250,1.632813,1.640625,0.114163,873600
1985-02-12,1.640625,1.656250,1.628906,1.632813,0.113619,1561600
1985-02-13,1.632813,1.656250,1.621094,1.656250,0.115250,1760000
1985-02-14,1.664063,1.691406,1.664063,1.687500,0.117425,1385600
1985-02-15,1.687500,1.687500,1.671875,1.679688,0.116881,739200
1985-02-19,1.671875,1.671875,1.660156,1.664063,0.115794,1168000
1985-02-20,1.664063,1.667969,1.648438,1.656250,0.115250,1305600
1985-02-21,1.656250,1.660156,1.652344,1.656250,0.115250,780800
1985-02-22,1.656250,1.675781,1.656250,1.671875,0.116337,1686400
1985-02-25,1.671875,1.683594,1.664063,1.679688,0.116881,2057600
1985-02-26,1.679688,1.707031,1.675781,1.675781,0.116609,1356800
1985-02-27,1.675781,1.683594,1.667969,1.667969,0.116065,496000
1985-02-28,1.664063,1.664063,1.640625,1.660156,0.115522,1049600
1985-03-01,1.660156,1.667969,1.652344,1.656250,0.115250,1059200
1985-03-04,1.656250,1.660156,1.644531,1.644531,0.114434,592000
1985-03-05,1.644531,1.656250,1.628906,1.628906,0.113347,1526400
1985-03-06,1.621094,1.621094,1.550781,1.558594,0.108454,1337600
1985-03-07,1.558594,1.558594,1.507813,1.515625,0.105465,3449600
1985-03-08,1.515625,1.535156,1.515625,1.527344,0.106280,5270400
1985-03-11,1.527344,1.546875,1.527344,1.535156,0.106824,1040000
1985-03-12,1.535156,1.597656,1.535156,1.578125,0.109814,1408000
1985-03-13,1.578125,1.582031,1.562500,1.562500,0.108726,716800
1985-03-14,1.566406,1.589844,1.566406,1.585938,0.110357,812800
1985-03-15,1.585938,1.601563,1.578125,1.582031,0.110085,857600
1985-03-18,1.582031,1.593750,1.566406,1.570313,0.109270,1721600
1985-03-19,1.570313,1.589844,1.566406,1.589844,0.110629,2915200
1985-03-20,1.589844,1.601563,1.589844,1.597656,0.111173,1574400
1985-03-21,1.601563,1.648438,1.601563,1.644531,0.114434,1017600
1985-03-22,1.648438,1.664063,1.648438,1.652344,0.114978,694400
1985-03-25,1.652344,1.667969,1.652344,1.664063,0.115794,684800
1985-03-26,1.664063,1.667969,1.652344,1.656250,0.115250,1072000
1985-03-27,1.656250,1.675781,1.652344,1.664063,0.115794,604800
1985-03-28,1.664063,1.675781,1.664063,1.671875,0.116337,1257600
1985-03-29,1.671875,1.699219,1.671875,1.695313,0.117968,758400
1985-04-01,1.691406,1.691406,1.679688,1.683594,0.117153,1033600
1985-04-02,1.679688,1.679688,1.652344,1.652344,0.114978,1017600
1985-04-03,1.652344,1.652344,1.632813,1.648438,0.114706,3072000
1985-04-04,1.648438,1.652344,1.632813,1.640625,0.114163,1494400
1985-04-08,1.640625,1.648438,1.628906,1.628906,0.113347,1004800
1985-04-09,1.628906,1.628906,1.574219,1.582031,0.110085,976000
1985-04-10,1.585938,1.628906,1.585938,1.628906,0.113347,3900800
1985-04-11,1.632813,1.644531,1.632813,1.632813,0.113619,3014400
1985-04-12,1.632813,1.644531,1.628906,1.632813,0.113619,1446400
1985-04-15,1.632813,1.640625,1.632813,1.632813,0.113619,1049600
1985-04-16,1.632813,1.632813,1.625000,1.625000,0.113075,1740800
1985-04-17,1.625000,1.628906,1.617188,1.625000,0.113075,1296000
1985-04-18,1.625000,1.625000,1.613281,1.621094,0.112804,1100800
1985-04-19,1.617188,1.617188,1.593750,1.593750,0.110901,1081600
1985-04-22,1.593750,1.601563,1.574219,1.601563,0.111445,1027200
1985-04-23,1.601563,1.601563,1.593750,1.601563,0.111445,969600
1985-04-24,1.601563,1.601563,1.589844,1.593750,0.110901,1152000
1985-04-25,1.593750,1.601563,1.589844,1.597656,0.111173,902400
1985-04-26,1.597656,1.605469,1.585938,1.585938,0.110357,822400
1985-04-29,1.593750,1.613281,1.593750,1.605469,0.111716,995200
1985-04-30,1.605469,1.605469,1.562500,1.562500,0.108726,1907200
1985-05-01,1.574219,1.585938,1.574219,1.578125,0.109814,1884800
1985-05-02,1.578125,1.589844,1.570313,1.570313,0.109270,1478400
1985-05-03,1.570313,1.574219,1.554688,1.558594,0.108454,2704000
1985-05-06,1.558594,1.562500,1.539063,1.539063,0.107095,896000
1985-05-07,1.539063,1.546875,1.539063,1.539063,0.107095,828800
1985-05-08,1.539063,1.542969,1.531250,1.539063,0.107095,838400
1985-05-09,1.562500,1.562500,1.539063,1.554688,0.108183,4460800
1985-05-10,1.585938,1.632813,1.585938,1.625000,0.113075,1899200
1985-05-13,1.640625,1.687500,1.640625,1.656250,0.115250,2523200
1985-05-14,1.656250,1.656250,1.632813,1.648438,0.122898,1838400
1985-05-15,1.648438,1.664063,1.632813,1.648438,0.122898,814400
1985-05-16,1.648438,1.664063,1.648438,1.656250,0.123481,1822400
1985-05-17,1.656250,1.671875,1.656250,1.664063,0.124063,1265600
1985-05-20,1.664063,1.703125,1.656250,1.703125,0.126976,1772800
1985-05-21,1.703125,1.750000,1.703125,1.742188,0.129888,2353600
1985-05-22,1.742188,1.765625,1.742188,1.757813,0.131053,913600
