Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,5.250000,5.291667,5.250000,5.270833,0.410753,858000
1985-01-29,5.312500,5.312500,5.270833,5.270833,0.410753,94200
1985-01-30,5.270833,5.333333,5.270833,5.270833,0.410753,2022000
1985-01-31,5.291667,5.312500,5.270833,5.291667,0.412377,161400
1985-02-01,5.166667,5.187500,5.125000,5.187500,0.404259,126000
1985-02-04,5.166667,5.250000,5.166667,5.208333,0.405883,408000
1985-02-05,5.187500,5.229167,5.166667,5.166667,0.402635,76200
1985-02-06,5.187500,5.208333,5.166667,5.187500,0.404259,93600
1985-02-07,5.187500,5.229167,5.187500,5.229167,0.407506,387600
1985-02-08,5.250000,5.291667,5.250000,5.270833,0.410753,322200
1985-02-11,5.250000,5.270833,5.104167,5.229167,0.407506,340200
1985-02-12,5.250000,5.291667,5.229167,5.270833,0.410753,184200
1985-02-13,5.291667,5.291667,5.229167,5.270833,0.410753,694200
1985-02-14,5.291667,5.312500,5.270833,5.291667,0.412377,276000
1985-02-15,5.291667,5.312500,5.270833,5.291667,0.412377,277200
1985-02-19,5.250000,5.312500,5.250000,5.291667,0.412377,235200
1985-02-20,5.270833,5.312500,5.250000,5.270833,0.410753,813600
1985-02-21,5.312500,5.333333,5.291667,5.291667,0.412377,277800
1985-02-22,5.312500,5.312500,5.270833,5.270833,0.410753,201600
1985-02-25,5.229167,5.250000,5.229167,5.229167,0.407506,478800
1985-02-26,5.250000,5.250000,5.229167,5.229167,0.407506,334800
1985-02-27,5.250000,5.270833,5.229167,5.250000,0.409130,267600
1985-02-28,5.270833,5.291667,5.229167,5.229167,0.407506,102000
1985-03-01,5.270833,5.312500,5.250000,5.291667,0.412377,751200
1985-03-04,5.333333,5.333333,5.270833,5.291667,0.412377,368400
1985-03-05,5.291667,5.312500,5.270833,5.312500,0.414000,382800
1985-03-06,5.291667,5.312500,5.270833,5.312500,0.414000,52800
1985-03-07,5.291667,5.312500,5.270833,5.312500,0.414000,109200
1985-03-08,5.312500,5.312500,5.270833,5.291667,0.412377,337800
1985-03-11,5.250000,5.291667,5.229167,5.270833,0.410753,130200
1985-03-12,5.229167,5.250000,5.187500,5.187500,0.404259,222600
1985-03-13,5.208333,5.250000,5.166667,5.208333,0.405883,182400
1985-03-14,5.229167,5.250000,5.208333,5.250000,0.409130,76200
1985-03-15,5.208333,5.270833,5.208333,5.250000,0.409130,404400
1985-03-18,5.250000,5.291667,5.229167,5.291667,0.412377,1509000
1985-03-19,5.291667,5.375000,5.291667,5.354167,0.417247,307800
1985-03-20,5.437500,5.437500,5.375000,5.375000,0.418871,249000
1985-03-21,5.354167,5.395833,5.312500,5.395833,0.420495,126000
1985-03-22,5.375000,5.458333,5.354167,5.416667,0.422118,570000
1985-03-25,5.416667,5.458333,5.416667,5.458333,0.425365,196800
1985-03-26,5.416667,5.437500,5.375000,5.416667,0.422118,511800
1985-03-27,5.416667,5.458333,5.416667,5.458333,0.425365,616800
1985-03-28,5.458333,5.458333,5.395833,5.437500,0.423741,226200
1985-03-29,5.416667,5.458333,5.375000,5.437500,0.423741,441600
1985-04-01,5.458333,5.500000,5.416667,5.479167,0.426989,352800
1985-04-02,5.500000,5.541667,5.437500,5.541667,0.431859,774600
1985-04-03,5.562500,5.583333,5.541667,5.562500,0.433483,360600
1985-04-04,5.541667,5.583333,5.541667,5.583333,0.435106,158400
1985-04-08,5.583333,5.604167,5.541667,5.583333,0.435106,361200
1985-04-09,5.583333,5.583333,5.541667,5.562500,0.433483,58200
1985-04-10,5.541667,5.583333,5.541667,5.541667,0.431859,194400
1985-04-11,5.541667,5.583333,5.541667,5.562500,0.433483,310800
1985-04-12,5.604167,5.604167,5.541667,5.604167,0.436730,174000
1985-04-15,5.583333,5.604167,5.562500,5.604167,0.436730,361800
1985-04-16,5.604167,5.625000,5.562500,5.604167,0.436730,254400
1985-04-17,5.625000,5.645833,5.583333,5.625000,0.438353,550200
1985-04-18,5.625000,5.666667,5.625000,5.625000,0.438353,81600
1985-04-19,5.625000,5.645833,5.604167,5.625000,0.438353,129000
1985-04-22,5.562500,5.645833,5.562500,5.645833,0.439977,942000
1985-04-23,5.645833,5.645833,5.625000,5.625000,0.438353,430200
1985-04-24,5.604167,5.666667,5.604167,5.645833,0.439977,140400
1985-04-25,5.666667,5.770833,5.666667,5.750000,0.448095,59400
1985-04-26,5.729167,5.750000,5.708333,5.729167,0.446471,567600
1985-04-29,5.708333,5.750000,5.708333,5.750000,0.448095,291000
1985-04-30,5.729167,5.770833,5.729167,5.750000,0.448095,1581000
1985-05-01,5.625000,5.750000,5.604167,5.666667,0.441600,556200
1985-05-02,5.645833,5.687500,5.625000,5.666667,0.441600,834600
1985-05-03,5.666667,5.729167,5.666667,5.708333,0.444847,211200
1985-05-06,5.729167,5.770833,5.708333,5.770833,0.449718,78600
1985-05-07,5.791667,5.875000,5.770833,5.875000,0.457836,459600
1985-05-08,5.875000,5.895833,5.854167,5.854167,0.456212,259800
1985-05-09,5.895833,5.916667,5.854167,5.895833,0.459459,172200
1985-05-10,5.916667,5.937500,5.916667,5.916667,0.461083,299400
1985-05-13,5.958333,5.979167,5.875000,5.916667,0.461083,173400
1985-05-14,5.937500,5.958333,5.895833,5.937500,0.462706,367800
1985-05-15,5.937500,6.000000,5.916667,5.937500,0.462706,126000
1985-05-16,6.000000,6.083333,6.000000,6.000000,0.467577,804600
1985-05-17,6.020833,6.166667,6.000000,6.145833,0.478942,782400
1985-05-20,6.270833,6.395833,6.270833,6.291667,0.490306,804000
1985-05-21,6.333333,6.333333,6.166667,6.166667,0.480565,313200
1985-05-22,6.166667,6.229167,6.166667,6.208333,0.483812,219600
1985-05-23,6.208333,6.229167,6.187500,6.187500,0.482189,194400
1985-05-24,6.208333,6.208333,6.125000,6.145833,0.478942,168000
1985-05-28,6.104167,6.145833,6.083333,6.125000,0.477318,415200
1985-05-29,6.083333,6.145833,6.083333,6.125000,0.477318,88200
1985-05-30,6.104167,6.145833,6.104167,6.145833,0.478942,440400
1985-05-31,6.145833,6.208333,6.125000,6.208333,0.483812,627600
1985-06-03,6.187500,6.270833,6.187500,6.229167,0.485436,635400
1985-06-04,6.229167,6.291667,6.208333,6.229167,0.485436,70800
1985-06-05,6.270833,6.333333,6.250000,6.333333,0.493553,112800
1985-06-06,6.333333,6.375000,6.250000,6.270833,0.488683,346200
