((0, (1,)),) 	 (81, 1, 1)
((0, (4,)),) 	 (485, 1, 1)
((0, (2,)),) 	 (308, 1, 1)
((0, (5,)),) 	 (315, 1, 1)
((0, (3,)),) 	 (310, 1, 1)
((1, (1,)),) 	 (155, 1, 1)
((1, (3,)),) 	 (508, 1, 1)
((1, (2,)),) 	 (716, 1, 1)
((1, (4,)),) 	 (109, 1, 1)
((1, (5,)),) 	 (11, 1, 1)
((2, (1,)),) 	 (15, 1, 1)
((2, (3,)),) 	 (619, 1, 1)
((2, (2,)),) 	 (207, 1, 1)
((2, (5,)),) 	 (116, 1, 1)
((2, (4,)),) 	 (542, 1, 1)
((3, (1,)),) 	 (40, 1, 1)
((3, (4,)),) 	 (337, 1, 1)
((3, (2,)),) 	 (383, 1, 1)
((3, (5,)),) 	 (53, 1, 1)
((3, (3,)),) 	 (686, 1, 1)
((4, (2,)),) 	 (536, 1, 1)
((4, (1,)),) 	 (599, 1, 1)
((4, (4,)),) 	 (93, 1, 1)
((4, (3,)),) 	 (248, 1, 1)
((4, (5,)),) 	 (23, 1, 1)
((0, (5,)), (3, (2,))) 	 (63, 2, 1)
((4, (1, 4)),) 	 (48, 2, 2)
((1, (3,)), (2, (4,))) 	 (322, 2, 1)
((1, (4,)), (2, (5,))) 	 (52, 2, 1)
((1, (2,)), (2, (3,))) 	 (435, 2, 1)
((0, (4,)), (3, (3,))) 	 (265, 2, 1)
((4, (1, 2)),) 	 (256, 2, 2)
((0, (4,)), (3, (4,))) 	 (110, 2, 1)
((1, (2,)), (2, (2,))) 	 (110, 2, 1)
((0, (5,)), (3, (3,))) 	 (119, 2, 1)
((0, (2,)), (3, (3,))) 	 (118, 2, 1)
((4, (2, 2)),) 	 (141, 2, 2)
((0, (3,)), (3, (3,))) 	 (166, 2, 1)
((0, (4,)), (3, (2,))) 	 (93, 2, 1)
((1, (2,)), (2, (4,))) 	 (157, 2, 1)
((4, (1, 3)),) 	 (109, 2, 2)
((4, (5, 1)),) 	 (18, 2, 2)
((4, (4, 1)),) 	 (54, 2, 2)
((1, (4,)), (2, (4,))) 	 (51, 2, 1)
((0, (3,)), (3, (4,))) 	 (66, 2, 1)
((4, (2, 1, 1, 2)),) 	 (30, 4, 4)
((4, (1, 2, 2)),) 	 (98, 3, 3)
((4, (4, 1, 1, 1)),) 	 (5, 4, 4)
((4, (2, 3, 1)),) 	 (59, 3, 3)
((0, (3,)), (1, (3,)), (2, (3,)), (3, (3,))) 	 (22, 4, 1)
((4, (2, 1, 2, 3)),) 	 (16, 4, 4)
((0, (1,)), (1, (1,)), (2, (2,)), (3, (2,))) 	 (28, 4, 1)
((0, (4,)), (1, (3,)), (2, (4,)), (3, (4,))) 	 (69, 4, 1)
((0, (5,)), (1, (3,)), (2, (5,))) 	 (35, 3, 1)
((0, (4,)), (1, (2,)), (2, (4,)), (3, (3,))) 	 (53, 4, 1)
((0, (5,)), (1, (2,)), (2, (4,)), (3, (3,))) 	 (19, 4, 1)
((4, (4, 1, 1, 2)),) 	 (10, 4, 4)
((4, (1, 3, 1, 2)),) 	 (15, 4, 4)
((0, (3,)), (1, (3,)), (2, (3,)), (3, (4,))) 	 (21, 4, 1)
((0, (5,)), (1, (4,)), (2, (5,)), (3, (5,))) 	 (16, 4, 1)
((4, (1, 2, 1)),) 	 (78, 3, 3)
((4, (2, 2, 2, 1)),) 	 (26, 4, 4)
((0, (4,)), (1, (4,)), (2, (4,)), (3, (4,))) 	 (16, 4, 1)
((1, (3,)), (2, (3,)), (3, (3,))) 	 (72, 3, 1)
((0, (4,)), (1, (3,)), (2, (4,)), (3, (3,))) 	 (84, 4, 1)
((0, (4,)), (1, (2,)), (2, (2,)), (3, (2,))) 	 (15, 4, 1)
((1, (1,)), (2, (2,)), (3, (2,))) 	 (72, 3, 1)
((4, (1, 3, 2, 1)),) 	 (23, 4, 4)
((1, (3,)), (2, (3,)), (3, (4,))) 	 (41, 3, 1)
((4, (3, 1, 1, 2)),) 	 (25, 4, 4)
((0, (5,)), (1, (4,)), (2, (4,)), (3, (4,))) 	 (18, 4, 1)
((0, (4,)), (1, (2,)), (2, (3,)), (3, (3,))) 	 (84, 4, 1)
((4, (2, 3, 2, 2)),) 	 (6, 4, 4)
((0, (5,)), (1, (3,)), (2, (3,)), (3, (2,))) 	 (12, 4, 1)
((1, (1,)), (2, (3,)), (3, (2,))) 	 (24, 3, 1)
((0, (1,)), (1, (1,)), (2, (4,))) 	 (6, 3, 1)
((0, (5,)), (1, (3,)), (2, (4,)), (3, (3,))) 	 (61, 4, 1)
((0, (4,)), (1, (4,)), (3, (5,))) 	 (9, 3, 1)
((0, (3,)), (1, (2,)), (2, (4,)), (3, (3,))) 	 (20, 4, 1)
((0, (5,)), (1, (3,)), (2, (4,)), (3, (4,))) 	 (38, 4, 1)
((0, (5,)), (1, (4,)), (2, (5,)), (3, (4,))) 	 (27, 4, 1)
((0, (3,)), (1, (3,)), (2, (4,)), (3, (4,))) 	 (25, 4, 1)
((0, (3,)), (1, (2,)), (2, (3,)), (3, (3,))) 	 (101, 4, 1)
((0, (5,)), (1, (5,)), (2, (5,)), (3, (5,))) 	 (9, 4, 1)
((0, (1,)), (1, (1,)), (2, (1,)), (3, (1,))) 	 (11, 4, 1)
((4, (3, 1, 1)),) 	 (56, 3, 3)
((1, (1,)), (2, (3,)), (3, (3,))) 	 (14, 3, 1)
((0, (1,)), (1, (1,)), (2, (2,))) 	 (35, 3, 1)
((0, (5,)), (1, (3,)), (2, (5,)), (3, (4,))) 	 (12, 4, 1)
((0, (4,)), (1, (3,)), (2, (3,)), (3, (2,))) 	 (12, 4, 1)
((4, (2, 2, 1, 2, 1)),) 	 (11, 5, 5)
((0, (4,)), (1, (3,)), (2, (3,)), (3, (4,))) 	 (9, 4, 1)
((0, (5,)), (1, (3,)), (2, (5,)), (3, (3,))) 	 (19, 4, 1)
((0, (5,)), (1, (2,)), (2, (5,)), (3, (3,))) 	 (6, 4, 1)
((0, (2,)), (1, (1,)), (2, (2,)), (3, (2,))) 	 (40, 4, 1)
((4, (4, 1, 1, 3, 1, 1)),) 	 (2, 6, 6)
((4, (1, 2, 2, 2, 2, 2)),) 	 (7, 6, 6)
((4, (2, 1, 2, 3, 3, 1, 1, 2)),) 	 (3, 8, 8)
((0, (3, 3)), (1, (2,)), (2, (3,)), (3, (2,))) 	 (11, 5, 2)
((4, (1, 1, 5, 1)),) 	 (8, 4, 4)
((0, (5,)), (1, (3, 2)), (2, (4, 3)), (3, (2,))) 	 (9, 6, 2)
((4, (3, 3, 1, 2)),) 	 (6, 4, 4)
((0, (2,)), (1, (1,)), (2, (2,)), (3, (1,))) 	 (10, 4, 1)
((0, (2,)), (1, (1,)), (2, (3,)), (3, (2,))) 	 (17, 4, 1)
((0, (3, 2)), (3, (2, 3))) 	 (18, 4, 2)
((4, (2, 2, 4, 3, 1)),) 	 (3, 5, 5)
((0, (3,)), (1, (2,)), (2, (2,)), (3, (2,))) 	 (28, 4, 1)
((0, (4,)), (1, (2, 2)), (2, (3, 3)), (3, (2,))) 	 (26, 6, 2)
((4, (1, 2, 2, 3, 1, 2)),) 	 (8, 6, 6)
((0, (4,)), (1, (2,)), (2, (2,)), (3, (1,))) 	 (5, 4, 1)
((0, (4, 4)), (1, (3, 2)), (2, (4, 3)), (3, (3, 3))) 	 (19, 8, 2)
