                            support  length  time
((1, (3,)),)                    192       1     1
((0, (3,)), (1, (3,)))          182       2     1
((0, (2,)),)                    181       1     1
((0, (4,)), (1, (4,)))          161       2     1
((0, (3,)), (1, (4,)))          149       2     1
((0, (3,)), (1, (2,)))          133       2     1
((0, (2,)), (1, (2,)))           98       2     1
((0, (4,)),)                     89       1     1
((1, (4,)),)                     88       1     1
((0, (1,)),)                     57       1     1
((0, (4,)), (1, (2,)))           57       2     1
((1, (1,)),)                     51       1     1
((0, (2,)), (1, (1,)))           46       2     1
((0, (5,)),)                     42       1     1
((0, (5,)), (1, (4,)))           42       2     1
((0, (1,)), (1, (1,)))           36       2     1
((0, (3,)),)                     35       1     1
((0, (4,)), (1, (5,)))           33       2     1
((1, (2,)),)                     32       1     1
((0, (4, 3)), (1, (3, 3)))       28       4     2
((0, (3,)), (1, (5,)))           21       2     1
((0, (5,)), (1, (5,)))           20       2     1
((0, (4,)), (1, (3, 4)))         17       3     2
((0, (4, 4)), (1, (3, 4)))       15       4     2
((1, (5,)),)                      9       1     1
((0, (3,)), (1, (1, 2)))          8       3     2
((0, (3,)), (1, (1, 5)))          7       3     2
