                            support  length  time
((1, (3,)),)                    343       1     1
((0, (3,)), (1, (3,)))          262       2     1
((0, (2,)),)                    177       1     1
((0, (4,)), (1, (4,)))          167       2     1
((0, (3,)), (1, (4,)))          158       2     1
((0, (4,)),)                    147       1     1
((0, (2,)), (1, (2,)))          107       2     1
((0, (3,)), (1, (2,)))          104       2     1
((0, (5,)), (1, (4,)))           43       2     1
((0, (4,)), (1, (5,)))           42       2     1
((1, (4,)),)                     39       1     1
((0, (4,)), (1, (2,)))           39       2     1
((0, (1,)),)                     36       1     1
((1, (1,)),)                     33       1     1
((0, (5,)),)                     32       1     1
((0, (1,)), (1, (2,)))           31       2     1
((0, (1,)), (1, (1,)))           26       2     1
((0, (5,)), (1, (5,)))           25       2     1
((0, (2, 3)), (1, (4,)))         21       3     2
((1, (5,)),)                     20       1     1
((0, (3,)),)                     18       1     1
((0, (2, 4)), (1, (4,)))         13       3     2
((0, (2, 4)), (1, (4, 4)))        7       4     2
((1, (2,)),)                      5       1     1
((0, (5,)), (1, (2, 4)))          4       3     2
