                            support  length  time
((1, (3,)),)                    605       1     1
((0, (3,)),)                    563       1     1
((1, (4,)),)                    459       1     1
((0, (4,)),)                    415       1     1
((0, (2,)),)                    325       1     1
((1, (2,)),)                    290       1     1
((0, (3,)), (1, (3,)))          275       2     1
((0, (4,)), (1, (4,)))          176       2     1
((0, (3,)), (1, (4,)))          162       2     1
((0, (2,)), (1, (2,)))          107       2     1
((0, (3,)), (1, (2,)))          105       2     1
((0, (5,)),)                    104       1     1
((0, (1,)),)                     93       1     1
((1, (5,)),)                     87       1     1
((1, (1,)),)                     59       1     1
((0, (5,)), (1, (4,)))           43       2     1
((0, (4,)), (1, (5,)))           43       2     1
((0, (4,)), (1, (2,)))           39       2     1
((0, (1,)), (1, (2,)))           31       2     1
((0, (1,)), (1, (1,)))           26       2     1
((0, (5,)), (1, (5,)))           25       2     1
((0, (2, 3)), (1, (4,)))         21       3     2
((0, (2, 4)), (1, (4,)))         20       3     2
((0, (2, 4)), (1, (4, 4)))        7       4     2
((0, (5,)), (1, (2, 4)))          4       3     2
