                                                                                      support  length  time
((17, (3,)),)                                                                             105       1     1
((1, (3,)),)                                                                               96       1     1
((20, (4,)),)                                                                              96       1     1
((25, (2,)),)                                                                              96       1     1
((1, (2,)),)                                                                               95       1     1
((0, (3, 3)), (5, (3, 3)))                                                                 92       4     2
((26, (2,)),)                                                                              91       1     1
((8, (2,)),)                                                                               88       1     1
((9, (3,)), (17, (3,)))                                                                    88       2     1
((1, (4,)),)                                                                               87       1     1
((18, (2,)),)                                                                              85       1     1
((5, (3,)),)                                                                               84       1     1
((6, (4,)),)                                                                               84       1     1
((0, (3,)),)                                                                               82       1     1
((15, (4,)),)                                                                              82       1     1
((20, (5,)),)                                                                              82       1     1
((20, (3,)),)                                                                              80       1     1
((15, (3,)),)                                                                              80       1     1
((10, (2,)),)                                                                              79       1     1
((4, (3,)),)                                                                               79       1     1
((8, (4,)),)                                                                               78       1     1
((21, (3,)),)                                                                              78       1     1
((17, (4,)),)                                                                              77       1     1
((20, (2,)),)                                                                              76       1     1
((12, (4,)),)                                                                              75       1     1
((14, (4,)), (22, (3,)), (27, (3,)))                                                       74       3     1
((3, (3,)),)                                                                               74       1     1
((24, (2,)),)                                                                              73       1     1
((14, (3,)),)                                                                              73       1     1
((23, (2,)),)                                                                              72       1     1
((19, (4,)),)                                                                              72       1     1
((22, (2,)),)                                                                              72       1     1
((12, (3,)),)                                                                              72       1     1
((25, (4,)),)                                                                              71       1     1
((23, (1,)),)                                                                              70       1     1
((2, (3,)),)                                                                               69       1     1
((24, (4,)),)                                                                              69       1     1
((4, (2,)),)                                                                               68       1     1
((4, (2,)), (26, (2,)))                                                                    67       2     1
((18, (3,)),)                                                                              67       1     1
((7, (3,)),)                                                                               66       1     1
((23, (3,)),)                                                                              65       1     1
((26, (3,)),)                                                                              65       1     1
((17, (2,)),)                                                                              64       1     1
((0, (4,)),)                                                                               64       1     1
((8, (3,)),)                                                                               64       1     1
((3, (4,)),)                                                                               64       1     1
((2, (2,)),)                                                                               64       1     1
((0, (2,)),)                                                                               63       1     1
((3, (2,)),)                                                                               63       1     1
((16, (2,)),)                                                                              62       1     1
((14, (2,)),)                                                                              62       1     1
((25, (1,)),)                                                                              62       1     1
((11, (3, 3)),)                                                                            61       2     2
((13, (2,)),)                                                                              60       1     1
((7, (2,)),)                                                                               60       1     1
((24, (2, 3)),)                                                                            60       2     2
((21, (2,)),)                                                                              60       1     1
((7, (2,)), (12, (3,)))                                                                    59       2     1
