                                                      support  length  time
((1, (2,)), (2, (3,)))                                    182       2     1
((0, (2,)),)                                              100       1     1
((0, (3,)), (1, (2,)), (2, (3,)), (3, (3,)))               89       4     1
((4, (3,)),)                                               83       1     1
((0, (2,)), (3, (3,)))                                     72       2     1
((4, (2,)),)                                               70       1     1
((0, (4,)), (1, (3,)), (2, (4,)), (3, (4,)))               69       4     1
((0, (4,)), (1, (2,)), (2, (3,)), (3, (3,)))               65       4     1
((0, (4,)), (1, (3,)), (2, (4,)), (3, (3,)))               65       4     1
((0, (5,)), (1, (3,)), (2, (4,)), (3, (3,)))               61       4     1
((1, (2,)), (2, (4,)))                                     59       2     1
((3, (4,)),)                                               55       1     1
((4, (1,)),)                                               54       1     1
((0, (4,)), (1, (2,)), (2, (4,)), (3, (3,)))               53       4     1
((3, (2,)),)                                               50       1     1
((0, (2,)), (1, (1,)), (2, (2,)), (3, (2,)))               40       4     1
((0, (5,)), (1, (3,)), (2, (4,)), (3, (4,)))               38       4     1
((0, (2,)), (1, (2,)), (2, (2,)), (3, (2,)))               36       4     1
((4, (1, 3)),)                                             36       2     2
((0, (4,)), (1, (3,)), (2, (3,)), (3, (3,)))               36       4     1
((1, (3,)), (2, (4,)))                                     36       2     1
((0, (4,)), (3, (2,)))                                     35       2     1
((1, (2,)), (2, (2,)))                                     31       2     1
((0, (5,)), (3, (2,)))                                     30       2     1
((4, (1, 2, 2)),)                                          30       3     3
((0, (1,)),)                                               29       1     1
((4, (1, 2, 1)),)                                          28       3     3
((0, (1,)), (1, (1,)), (2, (2,)), (3, (2,)))               28       4     1
((0, (3,)),)                                               27       1     1
((0, (5,)), (1, (4,)), (2, (5,)), (3, (4,)))               27       4     1
((4, (1, 4)),)                                             26       2     2
((4, (4,)),)                                               26       1     1
((0, (3,)), (1, (3,)), (2, (4,)), (3, (4,)))               25       4     1
((4, (2, 1, 1, 2)),)                                       25       4     4
((0, (3,)), (1, (2,)), (2, (2,)), (3, (2,)))               23       4     1
((0, (3,)), (3, (3,)))                                     23       2     1
((4, (1, 2)),)                                             22       2     2
((0, (3,)), (1, (3,)), (2, (3,)), (3, (3,)))               22       4     1
((4, (4, 1)),)                                             22       2     2
((0, (3,)), (3, (4,)))                                     20       2     1
((4, (2, 2)),)                                             20       2     2
((0, (4, 4)), (1, (3, 2)), (2, (4, 3)), (3, (3, 3)))       19       8     2
((0, (5,)), (1, (3,)), (2, (5,)), (3, (3,)))               19       4     1
((0, (5,)), (1, (2,)), (2, (4,)), (3, (3,)))               19       4     1
((0, (5,)), (1, (4,)), (2, (4,)), (3, (4,)))               18       4     1
((0, (3,)), (1, (2,)), (2, (4,)), (3, (3,)))               18       4     1
((4, (2, 3, 1)),)                                          18       3     3
((0, (2,)), (1, (1,)), (2, (3,)), (3, (2,)))               17       4     1
((3, (3,)),)                                               17       1     1
((4, (1, 3, 2, 1)),)                                       17       4     4
((0, (5,)), (1, (4,)), (2, (5,)), (3, (5,)))               16       4     1
((0, (4,)), (1, (4,)), (2, (4,)), (3, (4,)))               16       4     1
((1, (3,)), (2, (3,)), (3, (4,)))                          16       3     1
((4, (3, 1, 1, 2)),)                                       16       4     4
((0, (3,)), (1, (3,)), (2, (3,)), (3, (4,)))               16       4     1
((0, (3, 2)), (3, (2, 3)))                                 16       4     2
((0, (4,)), (1, (2,)), (2, (2,)), (3, (2,)))               15       4     1
((4, (2, 2, 2, 1)),)                                       15       4     4
((4, (3, 1, 1)),)                                          15       3     3
((3, (1,)),)                                               14       1     1
((3, (5,)),)                                               14       1     1
((1, (1,)), (2, (3,)), (3, (3,)))                          14       3     1
((2, (5,)),)                                               13       1     1
((0, (4,)), (3, (4,)))                                     12       2     1
((1, (3,)),)                                               12       1     1
((0, (5,)), (1, (3,)), (2, (5,)), (3, (4,)))               12       4     1
((0, (5,)), (1, (3,)), (2, (3,)), (3, (2,)))               12       4     1
((0, (4,)), (1, (2, 2)), (2, (3, 3)), (3, (2,)))           12       6     2
((0, (4,)), (1, (3,)), (2, (3,)), (3, (2,)))               12       4     1
((2, (3,)),)                                               11       1     1
((1, (1,)),)                                               11       1     1
((0, (1,)), (1, (1,)), (2, (1,)), (3, (1,)))               11       4     1
((4, (1, 3, 1, 2)),)                                       11       4     4
((0, (3, 3)), (1, (2,)), (2, (3,)), (3, (2,)))             11       5     2
((4, (2, 2, 1, 2, 1)),)                                    10       5     5
((0, (2,)), (1, (1,)), (2, (2,)), (3, (1,)))               10       4     1
((4, (4, 1, 1, 2)),)                                        9       4     4
((0, (4, 3)), (1, (2, 2)), (2, (3, 3)), (3, (2, 3)))        9       8     2
((0, (5,)), (1, (3, 2)), (2, (4, 3)), (3, (2,)))            9       6     2
((0, (2, 4)), (1, (2, 2)), (2, (3, 3)), (3, (3, 2)))        9       8     2
((4, (5,)),)                                                9       1     1
((0, (5,)), (1, (5,)), (2, (5,)), (3, (5,)))                9       4     1
((0, (4,)), (1, (3,)), (2, (3,)), (3, (4,)))                9       4     1
((4, (1, 2, 2, 3, 1, 2)),)                                  8       6     6
((4, (5, 1)),)                                              8       2     2
((2, (2,)),)                                                8       1     1
((4, (2, 1, 2, 3)),)                                        8       4     4
((1, (2,)),)                                                8       1     1
((0, (5,)),)                                                8       1     1
((0, (4,)), (3, (3,)))                                      8       2     1
((0, (5, 2)), (1, (2,)), (2, (4,)), (3, (2, 3)))            8       6     2
((1, (1,)), (2, (3,)), (3, (2,)))                           7       3     1
((4, (1, 2, 2, 2, 2, 2)),)                                  7       6     6
((0, (5,)), (3, (3,)))                                      7       2     1
((1, (4,)), (2, (4,)))                                      7       2     1
((0, (1,)), (1, (1,)), (2, (2,)))                           7       3     1
((0, (5,)), (1, (3,)), (2, (3,)), (3, (3,)))                7       4     1
((4, (1, 1, 5, 1)),)                                        6       4     4
((0, (1,)), (1, (1,)), (2, (4,)))                           6       3     1
((0, (5,)), (1, (2,)), (2, (5,)), (3, (3,)))                6       4     1
((1, (4,)), (2, (5,)))                                      6       2     1
((2, (4,)),)                                                6       1     1
((4, (3, 3, 1, 2)),)                                        6       4     4
((0, (4,)), (1, (2,)), (2, (2,)), (3, (1,)))                5       4     1
((1, (4,)),)                                                5       1     1
((0, (5,)), (1, (4,)), (2, (4,)), (3, (5,)))                5       4     1
