                                                                                      support  length  time
((17, (3,)),)                                                                             739       1     1
((25, (3,)),)                                                                             694       1     1
((13, (3,)),)                                                                             690       1     1
((22, (3,)),)                                                                             677       1     1
((5, (3,)),)                                                                              675       1     1
((0, (3,)),)                                                                              668       1     1
((7, (2,)),)                                                                              645       1     1
((14, (3,)),)                                                                             641       1     1
((3, (3,)),)                                                                              633       1     1
((18, (2,)),)                                                                             622       1     1
((24, (2,)),)                                                                             618       1     1
((16, (2,)),)                                                                             615       1     1
((21, (3,)),)                                                                             611       1     1
((8, (3,)),)                                                                              606       1     1
((6, (3,)),)                                                                              605       1     1
((12, (3,)),)                                                                             595       1     1
((10, (3,)),)                                                                             589       1     1
((23, (3,)),)                                                                             578       1     1
((19, (3,)),)                                                                             576       1     1
((9, (3,)),)                                                                              574       1     1
((18, (3,)),)                                                                             574       1     1
((15, (4,)),)                                                                             571       1     1
((26, (2,)),)                                                                             565       1     1
((11, (3,)),)                                                                             564       1     1
((27, (3,)),)                                                                             563       1     1
((1, (3,)),)                                                                              563       1     1
((16, (3,)),)                                                                             556       1     1
((9, (4,)),)                                                                              553       1     1
((4, (3,)),)                                                                              552       1     1
((15, (3,)),)                                                                             534       1     1
((7, (3,)),)                                                                              532       1     1
((20, (4,)),)                                                                             525       1     1
((22, (2,)),)                                                                             513       1     1
((21, (4,)),)                                                                             512       1     1
((26, (3,)),)                                                                             509       1     1
((24, (3,)),)                                                                             495       1     1
((20, (3,)),)                                                                             495       1     1
((4, (2,)),)                                                                              494       1     1
((25, (2,)),)                                                                             486       1     1
((14, (4,)),)                                                                             477       1     1
((8, (4,)),)                                                                              475       1     1
((2, (4,)),)                                                                              472       1     1
((27, (2,)),)                                                                             463       1     1
((2, (3,)),)                                                                              462       1     1
((6, (4,)),)                                                                              459       1     1
((17, (4,)),)                                                                             446       1     1
((11, (2,)),)                                                                             445       1     1
((19, (4,)),)                                                                             445       1     1
((23, (2,)),)                                                                             438       1     1
((10, (2,)),)                                                                             436       1     1
((12, (4,)),)                                                                             435       1     1
((3, (4,)),)                                                                              424       1     1
