                                     support  length  time
((0, (4,)),)                             312       1     1
((0, (3,)),)                             233       1     1
((1, (4,)), (2, (3,)))                   230       2     1
((1, (3,)), (2, (3,)))                   213       2     1
((1, (3,)), (2, (2,)))                   197       2     1
((0, (2,)),)                             129       1     1
((2, (2,)),)                             118       1     1
((1, (4,)), (2, (4,)))                   115       2     1
((1, (2,)), (2, (2,)))                   106       2     1
((1, (5,)), (2, (4,)))                    90       2     1
((1, (4,)),)                              89       1     1
((1, (5,)), (2, (3,)))                    53       2     1
((1, (2,)), (2, (3,)))                    47       2     1
((0, (5,)),)                              43       1     1
((0, (2,)), (1, (2,)), (2, (1,)))         39       3     1
((0, (3, 4, 4, 3)),)                      33       4     4
((0, (3, 3, 4, 3)),)                      30       4     4
((1, (2,)), (2, (1,)))                    28       2     1
((1, (5,)),)                              27       1     1
((0, (4, 4, 4, 3)),)                      26       4     4
((0, (5,)), (1, (4,)), (2, (4,)))         26       3     1
((0, (1,)),)                              26       1     1
((0, (3, 3, 2)),)                         24       3     3
((1, (1,)),)                              24       1     1
((1, (1,)), (2, (1,)))                    23       2     1
((0, (2,)), (1, (3,)), (2, (1,)))         23       3     1
((0, (4,)), (1, (3,)), (2, (4,)))         21       3     1
((0, (5,)), (1, (5,)), (2, (5,)))         18       3     1
((0, (3, 3, 3, 3, 4)),)                   18       5     5
((2, (4,)),)                              17       1     1
((1, (4, 4)), (2, (2, 3)))                15       4     2
((1, (4, 4)), (2, (2, 4)))                15       4     2
((0, (1,)), (1, (1,)), (2, (1,)))         14       3     1
((2, (5,)),)                              14       1     1
((1, (3,)), (2, (1,)))                    13       2     1
((0, (2, 3)), (1, (3,)), (2, (2,)))       12       4     2
((1, (2,)),)                              11       1     1
((0, (5,)), (1, (3,)), (2, (4,)))          9       3     1
((1, (3,)),)                               7       1     1
((0, (2,)), (1, (4,)), (2, (1,)))          5       3     1
((2, (3,)),)                               5       1     1
((2, (1,)),)                               4       1     1
((0, (4, 4, 4, 3, 3, 3, 4, 4)),)           4       8     8
((0, (3, 5, 3, 4, 3, 4)),)                 3       6     6
((0, (5, 3, 3, 3, 4)),)                    2       5     5
