((0, (4,)),) 	 (553, 1, 1)
((0, (5,)),) 	 (101, 1, 1)
((0, (3,)),) 	 (574, 1, 1)
((0, (2,)),) 	 (232, 1, 1)
((0, (1,)),) 	 (40, 1, 1)
((1, (3,)),) 	 (495, 1, 1)
((1, (5,)),) 	 (188, 1, 1)
((1, (2,)),) 	 (231, 1, 1)
((1, (4,)),) 	 (525, 1, 1)
((1, (1,)),) 	 (61, 1, 1)
((2, (4,)),) 	 (293, 1, 1)
((2, (2,)),) 	 (463, 1, 1)
((2, (3,)),) 	 (563, 1, 1)
((2, (1,)),) 	 (149, 1, 1)
((2, (5,)),) 	 (32, 1, 1)
((1, (2,)), (2, (2,))) 	 (106, 2, 1)
((1, (4,)), (2, (3,))) 	 (245, 2, 1)
((1, (3,)), (2, (3,))) 	 (213, 2, 1)
((1, (5,)), (2, (3,))) 	 (53, 2, 1)
((1, (2,)), (2, (3,))) 	 (47, 2, 1)
((1, (1,)), (2, (1,))) 	 (37, 2, 1)
((1, (3,)), (2, (1,))) 	 (36, 2, 1)
((1, (4,)), (2, (4,))) 	 (156, 2, 1)
((1, (3,)), (2, (2,))) 	 (209, 2, 1)
((1, (2,)), (2, (1,))) 	 (67, 2, 1)
((1, (5,)), (2, (4,))) 	 (90, 2, 1)
((0, (2,)), (1, (3,)), (2, (1,))) 	 (24, 3, 1)
((0, (5,)), (1, (4,)), (2, (4,))) 	 (29, 3, 1)
((0, (3, 3, 2)),) 	 (30, 3, 3)
((0, (2,)), (1, (4,)), (2, (1,))) 	 (5, 3, 1)
((0, (3, 4, 4, 3)),) 	 (43, 4, 4)
((0, (3, 3, 4, 3)),) 	 (42, 4, 4)
((0, (4,)), (1, (3,)), (2, (4,))) 	 (25, 3, 1)
((0, (2, 3)), (1, (3,)), (2, (2,))) 	 (14, 4, 2)
((0, (5,)), (1, (3,)), (2, (4,))) 	 (9, 3, 1)
((0, (5,)), (1, (5,)), (2, (5,))) 	 (18, 3, 1)
((0, (2,)), (1, (2,)), (2, (1,))) 	 (46, 3, 1)
((0, (4, 4, 4, 3)),) 	 (35, 4, 4)
((0, (1,)), (1, (1,)), (2, (1,))) 	 (14, 3, 1)
((0, (3, 5, 3, 4, 3, 4)),) 	 (3, 6, 6)
((0, (5, 3, 3, 3, 4)),) 	 (2, 5, 5)
((0, (3, 3, 3, 3, 4)),) 	 (18, 5, 5)
((1, (4, 4)), (2, (2, 4))) 	 (15, 4, 2)
((0, (4, 4, 4, 3, 3, 3, 4, 4)),) 	 (4, 8, 8)
((1, (4, 4)), (2, (2, 3))) 	 (15, 4, 2)
