                                                                          support  length  time
((1, (2,)), (2, (4,)))                                                        141       2     1
((1, (3,)), (2, (4,)))                                                        132       2     1
((1, (2,)), (2, (3,)))                                                        111       2     1
((0, (3,)),)                                                                  111       1     1
((0, (2,)),)                                                                   98       1     1
((0, (2, 2)), (1, (2, 2)), (2, (3, 3)))                                        77       6     2
((1, (3,)), (2, (3,)))                                                         66       2     1
((0, (4,)),)                                                                   64       1     1
((0, (2, 2)), (1, (2,)), (2, (3,)))                                            64       4     2
((4, (1, 2)),)                                                                 63       2     2
((0, (2, 3)),)                                                                 60       2     2
((3, (2,)),)                                                                   58       1     1
((3, (4,)),)                                                                   53       1     1
((3, (3,)),)                                                                   51       1     1
((4, (2,)),)                                                                   49       1     1
((4, (1,)),)                                                                   46       1     1
((3, (2, 3)),)                                                                 44       2     2
((4, (1, 2, 2)),)                                                              41       3     3
((0, (1,)),)                                                                   41       1     1
((4, (3,)),)                                                                   41       1     1
((0, (1,)), (1, (1,)))                                                         39       2     1
((3, (1,)),)                                                                   37       1     1
((3, (2, 2)),)                                                                 35       2     2
((1, (2,)), (2, (2,)))                                                         34       2     1
((4, (1, 2, 2, 2)),)                                                           33       4     4
((1, (1,)),)                                                                   32       1     1
((4, (1, 3)),)                                                                 32       2     2
((1, (2,)), (2, (2,)), (3, (1,)))                                              31       3     1
((4, (2, 2)),)                                                                 31       2     2
((4, (4,)),)                                                                   31       1     1
((0, (3, 3)), (1, (3,)), (2, (4,)))                                            30       4     2
((0, (2, 2)), (1, (2,)), (2, (4,)))                                            29       4     2
((1, (3, 2)), (2, (3, 4)))                                                     28       4     2
((3, (2, 2, 3)),)                                                              28       3     3
((0, (2, 4)), (3, (4,)))                                                       28       3     2
((3, (3, 3, 2, 3)),)                                                           28       4     4
((3, (3, 3)),)                                                                 28       2     2
((0, (1,)), (1, (1,)), (2, (3,)))                                              27       3     1
((2, (3,)),)                                                                   26       1     1
((3, (4, 3)),)                                                                 26       2     2
((0, (3, 2)), (1, (2,)), (2, (3,)))                                            26       4     2
((4, (1, 1, 2)),)                                                              25       3     3
((2, (4,)),)                                                                   25       1     1
((1, (2,)), (2, (4,)), (3, (2,)))                                              22       3     1
((2, (2,)),)                                                                   20       1     1
((4, (5,)),)                                                                   20       1     1
((1, (2,)),)                                                                   19       1     1
((0, (2, 2, 3)), (1, (2, 3)), (2, (3, 4)))                                     18       7     3
((1, (3,)), (2, (5,)))                                                         18       2     1
((1, (4,)), (2, (4,)), (3, (4,)))                                              18       3     1
((0, (3, 2, 3)), (3, (2, 3)))                                                  17       5     3
((0, (1, 3)), (3, (3,)))                                                       17       3     2
((4, (1, 5)),)                                                                 16       2     2
((4, (1, 2, 3, 2)),)                                                           16       4     4
((1, (1,)), (2, (2,)), (3, (1,)))                                              16       3     1
((3, (2, 2, 2, 3, 3)),)                                                        16       5     5
((1, (2,)), (2, (3,)), (3, (2, 2, 3, 2)))                                      16       6     4
((0, (4,)), (1, (3,)), (2, (5,)))                                              15       3     1
((0, (2, 2, 2, 2)), (1, (2, 2, 2)), (2, (4, 3, 3)))                            15      10     4
((0, (3, 3, 3)), (1, (3, 3)), (2, (4, 4)))                                     15       7     3
((0, (2,)), (1, (2,)), (2, (2,)), (3, (1,)))                                   15       4     1
((3, (2, 2, 3, 3)),)                                                           14       4     4
((4, (3, 2)),)                                                                 14       2     2
((3, (2, 3, 3)),)                                                              13       3     3
((4, (4, 2)),)                                                                 13       2     2
((4, (1, 4)),)                                                                 12       2     2
((2, (5,)),)                                                                   12       1     1
((0, (4,)), (1, (4,)), (2, (5,)))                                              12       3     1
((4, (1, 2, 5, 1)),)                                                           11       4     4
((0, (2, 2)), (1, (2,)), (2, (2,)))                                            11       4     2
((1, (2,)), (2, (4,)), (4, (1, 1, 2, 2)))                                      11       6     4
((0, (3, 2, 3)), (1, (2, 2)), (2, (3, 3)))                                     11       7     3
((4, (1, 1, 3)),)                                                              11       3     3
((4, (1, 1, 4)),)                                                              11       3     3
((4, (1, 4, 1, 1)),)                                                           11       4     4
((3, (2, 2, 4, 3)),)                                                           11       4     4
((4, (1, 3, 2, 2)),)                                                           10       4     4
((1, (4,)), (2, (4,)), (3, (4, 3)))                                            10       4     2
((1, (3,)),)                                                                   10       1     1
((3, (5,)),)                                                                   10       1     1
((0, (3, 2, 3)), (1, (2, 3)), (2, (4, 3)))                                     10       7     3
((4, (1, 1, 3, 2, 2)),)                                                         9       5     5
((4, (1, 1, 3, 2)),)                                                            9       4     4
((1, (4,)), (2, (5,)))                                                          9       2     1
((1, (4,)), (2, (4,)), (3, (5,)))                                               9       3     1
((1, (2,)), (2, (1,)), (3, (1,)))                                               9       3     1
((0, (4, 3)), (1, (3,)), (2, (4,)))                                             9       4     2
((0, (5,)),)                                                                    9       1     1
((0, (1, 2, 1)), (1, (1,)))                                                     8       4     3
((3, (2, 3, 3, 2, 3, 2, 2)),)                                                   8       7     7
((4, (1, 4, 2)),)                                                               8       3     3
((1, (5,)), (2, (4,)), (3, (5,)))                                               8       3     1
((0, (4,)), (1, (2,)), (2, (5,)))                                               8       3     1
((1, (2,)), (2, (4,)), (3, (3, 2)))                                             8       4     2
((0, (2, 4)), (1, (4,)), (3, (5,)))                                             8       4     2
((2, (1, 5)),)                                                                  8       2     2
((1, (4,)), (2, (4,)))                                                          7       2     1
((3, (2, 2, 3, 2, 3, 2, 2)),)                                                   7       7     7
((2, (1,)), (3, (1, 4)))                                                        7       3     2
((3, (2, 3, 3, 3)),)                                                            6       4     4
((1, (4,)), (2, (3, 5)))                                                        6       3     2
((4, (2, 2, 2, 2, 1, 2, 2, 2)),)                                                6       8     8
((4, (3, 1, 1)),)                                                               6       3     3
((1, (2,)), (2, (2, 1)), (3, (1, 1)))                                           6       5     2
((1, (3, 1)), (2, (2,)))                                                        6       3     2
((1, (4,)), (2, (3, 4)))                                                        5       3     2
((3, (2, 3, 3, 3, 2, 3, 3)),)                                                   5       7     7
((1, (4,)),)                                                                    5       1     1
((3, (3, 3, 4, 2)),)                                                            5       4     4
((1, (3,)), (2, (1,)), (3, (1,)))                                               5       3     1
((4, (1, 1, 5, 1)),)                                                            5       4     4
((1, (2,)), (2, (1, 2)), (3, (1,)))                                             5       4     2
((1, (2,)), (2, (1, 5)))                                                        4       3     2
((1, (5,)), (3, (5,)))                                                          4       2     1
((4, (1, 2, 4, 3, 1, 1)),)                                                      4       6     6
((2, (1,)),)                                                                    4       1     1
((3, (3,)), (4, (1, 3, 2)))                                                     3       4     3
((3, (3, 2, 2, 2, 2, 4)),)                                                      3       6     6
((3, (2, 3, 3, 4, 2, 3)),)                                                      3       6     6
((4, (1, 1, 3, 3, 1, 2, 2)),)                                                   3       7     7
((4, (4, 2, 2, 2)),)                                                            3       4     4
((0, (2, 2, 3, 2, 2, 2, 2)), (1, (2, 3, 2, 2, 2)), (2, (3, 4, 4, 3, 3)))        3      17     7
