                                                                          support  length  time
((1, (2,)),)                                                                  859       1     1
((0, (2,)),)                                                                  756       1     1
((2, (3,)),)                                                                  618       1     1
((4, (2,)),)                                                                  601       1     1
((3, (2,)),)                                                                  572       1     1
((2, (4,)),)                                                                  570       1     1
((3, (3,)),)                                                                  560       1     1
((4, (1,)),)                                                                  556       1     1
((1, (2,)), (2, (3,)))                                                        450       2     1
((0, (3,)),)                                                                  423       1     1
((1, (3,)),)                                                                  379       1     1
((1, (2,)), (2, (4,)))                                                        269       2     1
((3, (2, 3)),)                                                                245       2     2
((4, (1, 2)),)                                                                228       2     2
((1, (3,)), (2, (4,)))                                                        222       2     1
((0, (2, 3)),)                                                                216       2     2
((0, (2, 2)), (1, (2,)), (2, (3,)))                                           187       4     2
((4, (2, 2)),)                                                                177       2     2
((3, (4,)),)                                                                  164       1     1
((3, (2, 2)),)                                                                162       2     2
((4, (3,)),)                                                                  161       1     1
((3, (3, 3)),)                                                                148       2     2
((0, (4,)),)                                                                  144       1     1
((2, (2,)),)                                                                  144       1     1
((0, (1,)),)                                                                  140       1     1
((3, (1,)),)                                                                  137       1     1
((1, (1,)),)                                                                  130       1     1
((1, (2,)), (2, (4,)), (3, (2,)))                                             125       3     1
((0, (2, 2)), (1, (2, 2)), (2, (3, 3)))                                       111       6     2
((1, (3,)), (2, (3,)))                                                        104       2     1
((4, (1, 2, 2)),)                                                             100       3     3
((3, (2, 2, 3)),)                                                              98       3     3
((3, (2, 3, 3)),)                                                              98       3     3
((1, (2,)), (2, (2,)))                                                         97       2     1
((4, (4,)),)                                                                   95       1     1
((0, (1,)), (1, (1,)))                                                         95       2     1
((2, (5,)),)                                                                   92       1     1
((1, (4,)),)                                                                   89       1     1
((4, (1, 3)),)                                                                 82       2     2
((0, (3, 2)), (1, (2,)), (2, (3,)))                                            75       4     2
((4, (3, 2)),)                                                                 69       2     2
((3, (4, 3)),)                                                                 62       2     2
((4, (1, 1, 2)),)                                                              62       3     3
((0, (3, 3)), (1, (3,)), (2, (4,)))                                            62       4     2
((4, (5,)),)                                                                   59       1     1
((0, (2, 2)), (1, (2,)), (2, (4,)))                                            59       4     2
((0, (3, 2, 3)), (3, (2, 3)))                                                  53       5     3
((1, (2,)), (2, (2,)), (3, (1,)))                                              52       3     1
((1, (2,)), (2, (4,)), (3, (3, 2)))                                            48       4     2
((2, (1,)),)                                                                   48       1     1
((1, (4,)), (2, (4,)))                                                         47       2     1
((4, (1, 2, 2, 2)),)                                                           46       4     4
((3, (3, 3, 2, 3)),)                                                           45       4     4
((4, (1, 4)),)                                                                 44       2     2
((0, (2, 4)), (3, (4,)))                                                       43       3     2
((3, (2, 2, 3, 3)),)                                                           41       4     4
((3, (5,)),)                                                                   39       1     1
((3, (2, 3, 3, 3)),)                                                           37       4     4
((1, (3,)), (2, (5,)))                                                         37       2     1
((4, (1, 1, 3)),)                                                              36       3     3
((1, (3, 2)), (2, (3, 4)))                                                     36       4     2
((0, (1, 3)), (3, (3,)))                                                       35       3     2
((0, (1,)), (1, (1,)), (2, (3,)))                                              33       3     1
((1, (4,)), (2, (4,)), (3, (4,)))                                              31       3     1
((4, (4, 2)),)                                                                 29       2     2
((0, (2,)), (1, (2,)), (2, (2,)), (3, (1,)))                                   28       4     1
((0, (2, 2)), (1, (2,)), (2, (2,)))                                            28       4     2
((4, (1, 5)),)                                                                 28       2     2
((4, (3, 1, 1)),)                                                              26       3     3
((1, (2,)), (2, (3,)), (3, (2, 2, 3, 2)))                                      25       6     4
((1, (4,)), (2, (5,)))                                                         24       2     1
((4, (4, 1, 1)),)                                                              23       3     3
((0, (4,)), (1, (3,)), (2, (5,)))                                              22       3     1
((0, (2, 2, 3)), (1, (2, 3)), (2, (3, 4)))                                     22       7     3
((4, (1, 3, 2, 2)),)                                                           20       4     4
((3, (2, 2, 2, 3, 3)),)                                                        19       5     5
((4, (1, 1, 3, 2)),)                                                           18       4     4
((4, (1, 1, 4)),)                                                              18       3     3
((1, (2,)), (2, (1,)), (3, (1,)))                                              17       3     1
((1, (1,)), (2, (2,)), (3, (1,)))                                              17       3     1
((3, (3,)), (4, (1, 3, 2)))                                                    16       4     3
((4, (1, 2, 3, 2)),)                                                           16       4     4
((2, (1, 5)),)                                                                 16       2     2
((0, (2, 2, 2, 2)), (1, (2, 2, 2)), (2, (4, 3, 3)))                            16      10     4
((4, (1, 4, 1, 1)),)                                                           15       4     4
((0, (3, 3, 3)), (1, (3, 3)), (2, (4, 4)))                                     15       7     3
((1, (5,)),)                                                                   15       1     1
((0, (4,)), (1, (4,)), (2, (5,)))                                              15       3     1
((0, (4, 3)), (1, (3,)), (2, (4,)))                                            13       4     2
((4, (1, 2, 5, 1)),)                                                           13       4     4
((1, (2,)), (2, (4,)), (4, (1, 1, 2, 2)))                                      12       6     4
((1, (5,)), (3, (5,)))                                                         12       2     1
((1, (4,)), (2, (4,)), (3, (5,)))                                              12       3     1
((0, (3, 2, 3)), (1, (2, 2)), (2, (3, 3)))                                     12       7     3
((1, (4,)), (2, (4,)), (3, (4, 3)))                                            12       4     2
((3, (2, 2, 4, 3)),)                                                           12       4     4
((4, (1, 4, 2)),)                                                              11       3     3
((0, (4,)), (1, (2,)), (2, (5,)))                                              11       3     1
((0, (3, 2, 3)), (1, (2, 3)), (2, (4, 3)))                                     11       7     3
((0, (2, 4)), (1, (4,)), (3, (5,)))                                            10       4     2
((4, (1, 1, 5, 1)),)                                                            9       4     4
((4, (1, 1, 3, 2, 2)),)                                                         9       5     5
((3, (3, 3, 4, 2)),)                                                            9       4     4
((0, (5,)),)                                                                    9       1     1
((2, (1,)), (3, (1, 4)))                                                        8       3     2
((3, (2, 2, 3, 2, 3, 2, 2)),)                                                   8       7     7
((1, (4,)), (2, (3, 5)))                                                        8       3     2
((1, (4,)), (2, (3, 4)))                                                        8       3     2
((3, (2, 3, 3, 2, 3, 2, 2)),)                                                   8       7     7
((0, (1, 2, 1)), (1, (1,)))                                                     8       4     3
((1, (5,)), (2, (4,)), (3, (5,)))                                               8       3     1
((1, (2,)), (2, (2, 1)), (3, (1, 1)))                                           6       5     2
((4, (2, 2, 2, 2, 1, 2, 2, 2)),)                                                6       8     8
((1, (3, 1)), (2, (2,)))                                                        6       3     2
((1, (2,)), (2, (1, 5)))                                                        5       3     2
((1, (2,)), (2, (1, 2)), (3, (1,)))                                             5       4     2
((3, (2, 3, 3, 3, 2, 3, 3)),)                                                   5       7     7
((1, (3,)), (2, (1,)), (3, (1,)))                                               5       3     1
((4, (4, 2, 2, 2)),)                                                            4       4     4
((3, (2, 3, 3, 4, 2, 3)),)                                                      4       6     6
((4, (1, 2, 4, 3, 1, 1)),)                                                      4       6     6
((4, (2, 2, 2, 5, 1)),)                                                         3       5     5
((3, (3, 2, 2, 2, 2, 4)),)                                                      3       6     6
((4, (1, 1, 3, 3, 1, 2, 2)),)                                                   3       7     7
((0, (2, 2, 3, 2, 2, 2, 2)), (1, (2, 3, 2, 2, 2)), (2, (3, 4, 4, 3, 3)))        3      17     7
((4, (1, 1, 5, 1, 2, 5, 1)),)                                                   2       7     7
((1, (5, 1)), (3, (2, 2)))                                                      2       4     2
