                            support  length  time
((0, (2,)), (1, (2,)))          280       2     1
((0, (3,)), (1, (2,)))          237       2     1
((0, (3,)), (1, (3,)))          210       2     1
((0, (4,)), (1, (3,)))          168       2     1
((1, (3,)),)                    117       1     1
((0, (2,)),)                     85       1     1
((0, (4,)), (1, (4,)))           84       2     1
((0, (1,)), (1, (1,)))           72       2     1
((0, (2,)), (1, (1,)))           63       2     1
((0, (5,)), (1, (4,)))           60       2     1
((0, (3,)),)                     58       1     1
((1, (4,)),)                     50       1     1
((0, (4,)), (1, (2,)))           46       2     1
((0, (5,)),)                     36       1     1
((0, (1,)),)                     32       1     1
((1, (2,)),)                     31       1     1
((0, (5,)), (1, (5,)))           20       2     1
((0, (4,)), (1, (5,)))           18       2     1
((1, (1,)),)                     15       1     1
((0, (1, 2)), (1, (2, 2)))        9       4     2
((0, (1, 2)), (1, (2,)))          6       3     2
((1, (5,)),)                      5       1     1
((0, (4,)),)                      1       1     1
