                            support  length  time
((1, (2,)),)                    618       1     1
((0, (3,)),)                    505       1     1
((1, (3,)),)                    495       1     1
((0, (2,)),)                    443       1     1
((0, (4,)),)                    317       1     1
((0, (2,)), (1, (2,)))          289       2     1
((0, (3,)), (1, (2,)))          237       2     1
((0, (3,)), (1, (3,)))          210       2     1
((1, (4,)),)                    194       1     1
((0, (4,)), (1, (3,)))          168       2     1
((1, (1,)),)                    150       1     1
((0, (1,)),)                    119       1     1
((0, (5,)),)                    116       1     1
((0, (4,)), (1, (4,)))           84       2     1
((0, (1,)), (1, (1,)))           72       2     1
((0, (2,)), (1, (1,)))           66       2     1
((0, (5,)), (1, (4,)))           60       2     1
((0, (4,)), (1, (2,)))           46       2     1
((1, (5,)),)                     43       1     1
((0, (5,)), (1, (5,)))           20       2     1
((0, (4,)), (1, (5,)))           18       2     1
((0, (1, 2)), (1, (2,)))         15       3     2
((0, (1, 2)), (1, (2, 2)))        9       4     2
