((0, (358,)),) 	 (15, 1, 1)
((0, (468,)),) 	 (7, 1, 1)
((0, (757,)),) 	 (12, 1, 1)
((0, (85,)),) 	 (14, 1, 1)
((0, (551,)),) 	 (6, 1, 1)
((0, (65,)),) 	 (18, 1, 1)
((0, (437,)),) 	 (8, 1, 1)
((0, (457,)),) 	 (4, 1, 1)
((0, (417,)),) 	 (5, 1, 1)
((0, (536,)),) 	 (9, 1, 1)
((0, (804,)),) 	 (8, 1, 1)
((0, (673,)),) 	 (10, 1, 1)
((0, (683,)),) 	 (8, 1, 1)
((0, (924,)),) 	 (7, 1, 1)
((0, (324,)),) 	 (5, 1, 1)
((0, (373,)),) 	 (5, 1, 1)
((0, (619,)),) 	 (11, 1, 1)
((0, (700,)),) 	 (6, 1, 1)
((0, (185,)),) 	 (15, 1, 1)
((0, (186,)),) 	 (19, 1, 1)
((0, (187,)),) 	 (22, 1, 1)
((0, (188,)),) 	 (16, 1, 1)
((0, (189,)),) 	 (17, 1, 1)
((0, (6,)),) 	 (22, 1, 1)
((0, (408,)),) 	 (7, 1, 1)
((0, (939,)),) 	 (7, 1, 1)
((0, (524,)),) 	 (9, 1, 1)
((0, (752,)),) 	 (12, 1, 1)
((0, (630,)),) 	 (15, 1, 1)
((0, (251,)),) 	 (11, 1, 1)
((0, (161,)),) 	 (18, 1, 1)
((0, (486,)),) 	 (15, 1, 1)
((0, (529,)),) 	 (14, 1, 1)
((0, (290,)),) 	 (7, 1, 1)
((0, (920,)),) 	 (8, 1, 1)
((0, (5,)),) 	 (26, 1, 1)
((0, (620,)),) 	 (8, 1, 1)
((0, (997,)),) 	 (8, 1, 1)
((0, (145,)),) 	 (14, 1, 1)
((0, (146,)),) 	 (16, 1, 1)
((0, (147,)),) 	 (15, 1, 1)
((0, (148,)),) 	 (15, 1, 1)
((0, (149,)),) 	 (18, 1, 1)
((0, (412,)),) 	 (2, 1, 1)
((0, (652,)),) 	 (8, 1, 1)
((0, (23,)),) 	 (22, 1, 1)
((0, (419,)),) 	 (10, 1, 1)
((0, (83,)),) 	 (15, 1, 1)
((0, (917,)),) 	 (3, 1, 1)
((0, (1000,)),) 	 (16, 1, 1)
((0, (38,)),) 	 (10, 1, 1)
((0, (167,)),) 	 (21, 1, 1)
