((0, (4,)),) 	 (415, 1, 1)
((0, (2,)),) 	 (325, 1, 1)
((0, (3,)),) 	 (563, 1, 1)
((0, (1,)),) 	 (93, 1, 1)
((0, (5,)),) 	 (104, 1, 1)
((1, (4,)),) 	 (472, 1, 1)
((1, (3,)),) 	 (462, 1, 1)
((1, (2,)),) 	 (328, 1, 1)
((1, (5,)),) 	 (90, 1, 1)
((1, (1,)),) 	 (148, 1, 1)
((0, (5,)), (1, (5,))) 	 (22, 2, 1)
((0, (2,)), (1, (2,))) 	 (100, 2, 1)
((0, (5,)), (1, (4,))) 	 (44, 2, 1)
*((0, (3,)), (1, (3,))) 	 (210, 2, 1)
*((0, (3,)), (1, (4,))) 	 (154, 2, 1)
*((0, (4,)), (1, (4,))) 	 (176, 2, 1)
((0, (3,)), (1, (5,))) 	 (22, 2, 1)
*((0, (3,)), (1, (2,))) 	 (135, 2, 1)
((0, (4,)), (1, (2,))) 	 (59, 2, 1)
((0, (1,)), (1, (1,))) 	 (36, 2, 1)
((0, (4,)), (1, (5,))) 	 (36, 2, 1)
((0, (2,)), (1, (1,))) 	 (46, 2, 1)
((0, (3,)), (1, (1, 2))) 	 (8, 3, 2)
((0, (4,)), (1, (3, 4))) 	 (32, 3, 2)
((0, (3,)), (1, (1, 5))) 	 (7, 3, 2)
((0, (4, 4)), (1, (3, 4))) 	 (15, 4, 2)
((0, (4, 3)), (1, (3, 3))) 	 (28, 4, 2)
